Title2,Title3
Total Recreation Visits for Nov 2020,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Current%20Year%20Monthly%20and%20Annual%20Summary%20Report%20(1979%20-%20Present)

Field1,Field2,Field3,Field4,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20
NOV 2019,NOV 2020,YTD 2019,YTD 2020,International Historic Site,,,,,,,,International Historic Site Total,0,0,0,"11,613","6,915","-4,698"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,International Historic Site,Saint Croix Island IHS,0,0,0,"11,613","6,915","-4,698",International Historic Site Total,0,0,0,"11,613","6,915","-4,698"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,,,,,,,,National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,,,,,,,,National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,,,,,,,,National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,,,,,,,,National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,,,,,,,,National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,,,,,,,,National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,,,,,,,,National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,,,,,,,,National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,,,,,,,,National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,,,,,,,,National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,Antietam NB,"16,173","2,889","-13,284","273,372","81,526","-191,846",National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,Big Hole NB,506,506,0,"45,566","39,503","-6,063",National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,Cowpens NB,"14,719","20,171","5,452","211,406","209,560","-1,846",National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,Fort Donelson NB,"14,153","31,202","17,049","241,131","311,537","70,406",National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,Fort Necessity NB,"25,101","25,101",0,"300,352","216,152","-84,200",National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,Monocacy NB,"7,175","7,175",0,"136,278","113,272","-23,006",National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,Moores Creek NB,"5,839","2,968","-2,871","71,804","56,496","-15,308",National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,Petersburg NB,"16,718","16,718",0,"220,439","261,239","40,800",National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,Stones River NB,"21,261","34,289","13,028","268,427","275,075","6,648",National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield,Wilson's Creek NB,"7,297","16,185","8,888","222,444","259,618","37,174",National Battlefield Total,"128,942","157,204","28,262","1,991,219","1,823,978","-167,241"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield Park,,,,,,,,National Battlefield Park Total,"197,177","340,500","143,323","3,382,544","3,219,652","-162,892"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield Park,,,,,,,,National Battlefield Park Total,"197,177","340,500","143,323","3,382,544","3,219,652","-162,892"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield Park,,,,,,,,National Battlefield Park Total,"197,177","340,500","143,323","3,382,544","3,219,652","-162,892"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield Park,,,,,,,,National Battlefield Park Total,"197,177","340,500","143,323","3,382,544","3,219,652","-162,892"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield Park,Kennesaw Mountain NBP,"133,205","261,249","128,044","2,505,683","2,238,681","-267,002",National Battlefield Park Total,"197,177","340,500","143,323","3,382,544","3,219,652","-162,892"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield Park,Manassas NBP,"39,415","50,207","10,792","478,184","519,745","41,561",National Battlefield Park Total,"197,177","340,500","143,323","3,382,544","3,219,652","-162,892"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield Park,Richmond NBP,"12,129","12,269",140,"184,769","166,321","-18,448",National Battlefield Park Total,"197,177","340,500","143,323","3,382,544","3,219,652","-162,892"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Battlefield Park,River Raisin NBP,"12,428","16,775","4,347","213,908","294,905","80,997",National Battlefield Park Total,"197,177","340,500","143,323","3,382,544","3,219,652","-162,892"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Historic Site,,,,,,,,National Historic Site Total,"510,561","369,213","-141,348","8,330,683","4,399,480","-3,931,203"
NOV 2019,NOV 2020,YTD 2019,YTD 2020,National Historic Site,,,,,,,,National Historic Site Total,"510,561","369,213","-141,348","8,330,683","4,399,480","-3,931,203"
