National Park Service - Listing of Acreage - 9/30/2020,,,,,,,,,,,,,
Area Name,Region,State,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,,,
A LINCOLN BIRTHPL NHP,1,KY,344.50,0.00,0.00,344.50,0.00,0.00,0.00,344.50,,,
ACADIA NP,1,ME,"37,477.50","10,707.90",21.77,"48,207.17",48.22,821.24,869.46,"49,076.63",,,
ADAMS NHP,1,MA,9.17,0.00,0.00,9.17,4.00,10.65,14.65,23.82,,,
AFRICAN BURIAL GROUND NM,1,NY,0.35,0.00,0.00,0.35,0.00,0.00,0.00,0.35,,,
AGATE FOSSIL BEDS NM,5,NE,"2,270.33",459.75,0.00,"2,730.08",24.43,303.36,327.79,"3,057.87",,,
ALAGNAK WILD RVR,11,AK,"26,417.85",0.00,0.00,"26,417.85","2,265.00","1,981.94","4,246.94","30,664.79",,,
ALIBATES FLINT QUARRIES N,6,TX,"1,079.23",0.00,0.00,"1,079.23",0.00,291.74,291.74,"1,370.97",,,
ALLEGHENY PRTGE RR NHS,1,PA,"1,255.02",0.00,0.00,"1,255.02",16.25,13.00,29.25,"1,284.27",,,
AMISTAD NRA,6,TX,"55,532.07","1,045.11",919.42,"57,496.60",401.49,"5,047.06","5,448.55","62,945.15",,,
ANDERSONVILLE NHS,2,GA,499.88,1.00,0.00,500.88,7.89,6.84,14.73,515.61,,,
ANDREW JOHNSON NHS,2,TN,16.68,0.00,0.00,16.68,0.00,0.00,0.00,16.68,,,
ANIAKCHAK N PRESERVE,11,AK,"458,809.35",0.00,0.00,"458,809.35","5,147.00",161.58,"5,308.58","464,117.93",,,
ANIAKCHAK NM,11,AK,"137,176.00",0.00,0.00,"137,176.00",0.00,0.00,0.00,"137,176.00",,,
ANTIETAM NB,1,MD,"1,986.55",757.76,0.00,"2,744.31",20.98,463.60,484.58,"3,228.89",,,
APOSTLE ISLANDS NL,3,WI,"42,160.70",0.00,0.00,"42,160.70","27,165.31",51.42,"27,216.73","69,377.43",,,
APPALACHIAN NS TRAIL,"1, 2",ME TO GA 4/,"109,023.54","14,650.61","58,598.64","182,272.79","48,960.40","9,780.00","58,740.40","241,013.19",,,
APPOMATTOX CRT HS NHP,1,VA,"1,700.30",0.00,0.00,"1,700.30",2.12,72.18,74.30,"1,774.60",,,
ARCHES NP,7,UT,"76,545.95",0.00,0.00,"76,545.95",133.03,0.00,133.03,"76,678.98",,,
ARKANSAS POST NMEM,4,AR,649.91,0.00,14.00,663.91,0.00,93.60,93.60,757.51,,,
"ARL HOUSE, R E LEE MEM",1,VA,29.12,0.00,0.00,29.12,0.00,0.00,0.00,29.12,,,
ASSATEAGUE ISLAND NS,1,MD-VA 2/,"8,983.42",102.16,"9,842.69","18,928.27","22,389.33",28.90,"22,418.23","41,346.50",,,
AZTEC RUINS NM,7,NM,266.78,0.00,0.00,266.78,6.78,44.84,51.62,318.40,,,
BADLANDS NP,5,SD,"111,485.13","122,324.00",0.00,"233,809.13",39.24,"8,907.57","8,946.81","242,755.94",,,
BANDELIER NM,7,NM,"33,654.44",0.00,0.00,"33,654.44",0.00,22.23,22.23,"33,676.67",,,
BELMONT-PAUL WOMENS EQLTY NM,1,DC,0.34,0.00,0.00,0.34,0.00,0.00,0.00,0.34,,,
BENT'S OLD FORT NHS,7,CO,735.60,0.00,0.00,735.60,7.40,55.54,62.94,798.54,,,
BERING LAND BRIDGE N PRES,11,AK,"2,651,327.60",0.00,0.00,"2,651,327.60",0.00,"46,063.41","46,063.41","2,697,391.01",,,
BIG BEND NP,6,TX,"775,273.38",0.00,0.00,"775,273.38","2,606.87","23,282.96","25,889.83","801,163.21",,,
BIG CYPRESS ADDITION,2,FL 5/,"141,539.47",0.00,0.00,"141,539.47","3,541.14","1,030.08","4,571.22","146,110.69",,,
BIG CYPRESS N PRESERVE,2,FL 5/,"535,798.83",0.00,0.00,"535,798.83","37,814.36",840.13,"38,654.49","574,453.32",,,
