Title1,Textbox33,Title2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visitation By State and by Park for Year: 2019,This report documents the number of recreation visitors and visitor days for all NPS units that reported public use data in 2019 and displays the percent change from the previous year.,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Visitation%20By%20State%20and%20By%20Park%20(2017%20-%20Last%20Calendar%20Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Field1,Field2,Textbox22,Field4,Textbox24,TotalNonRecreationVisits,Textbox98,TotalRecreationVisitorHours,Textbox103,TotalNonRecreationVisitorHours,Textbox109,ConcessionerLodgingOvernights,Textbox115,ConcessionerCampingOvernights,Textbox121,TentOvernights,Textbox127,RecreationVehicleOvernights,Textbox133,BackcountryOvernights,Textbox139,NonRecreationOvernights,Textbox144,MiscellaneousOvernights,Textbox151,State2,RecVisitors1,Textbox23,RecDays1,Textbox25,Textbox11,Textbox99,Textbox74,Textbox104,Textbox69,Textbox110,Textbox56,Textbox116,Textbox51,Textbox122,Textbox46,Textbox128,Textbox41,Textbox134,Textbox36,Textbox140,Textbox94,Textbox145,Textbox89,Textbox152,Textbox28,Textbox29,Textbox30,Textbox31,Textbox12,Textbox100,Textbox75,Textbox105,Textbox70,Textbox111,Textbox57,Textbox117,Textbox52,Textbox123,Textbox47,Textbox129,Textbox42,Textbox135,Textbox37,Textbox141,Textbox95,Textbox146,Textbox90,Textbox153
Alabama,Horseshoe Bend NMP,"45,372",-6.43%,"11,749",24.70%,0,-100.00%,"140,988",24.69%,0,-100.00%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,219,216",19.42%,"302,645",9.29%,"641,224",-62.46%,"3,631,761",9.29%,"641,224",-35.10%,0,,0,,0,,0,,0,,0,,0,,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alabama,Little River Canyon NPRES,"649,986",47.33%,"132,309",25.32%,0,,"1,587,719",25.32%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,219,216",19.42%,"302,645",9.29%,"641,224",-62.46%,"3,631,761",9.29%,"641,224",-35.10%,0,,0,,0,,0,,0,,0,,0,,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alabama,Natchez Trace PKWY,"440,724",-1.04%,"147,863",-1.07%,"641,224",2.09%,"1,774,356",-1.07%,"641,224",2.09%,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,219,216",19.42%,"302,645",9.29%,"641,224",-62.46%,"3,631,761",9.29%,"641,224",-35.10%,0,,0,,0,,0,,0,,0,,0,,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alabama,Russell Cave NM,"16,642",-23.02%,"2,406",-19.77%,0,,"28,875",-19.77%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,219,216",19.42%,"302,645",9.29%,"641,224",-62.46%,"3,631,761",9.29%,"641,224",-35.10%,0,,0,,0,,0,,0,,0,,0,,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alabama,Tuskegee Airmen NHS,"30,097",12.18%,"3,762",12.20%,0,,"45,145",12.18%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,219,216",19.42%,"302,645",9.29%,"641,224",-62.46%,"3,631,761",9.29%,"641,224",-35.10%,0,,0,,0,,0,,0,,0,,0,,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alabama,Tuskegee Institute NHS,"36,395",-2.91%,"4,556",-25.57%,0,,"54,678",-25.56%,0,,0,,0,,0,,0,,0,,0,,0,,Subtotal Alabama,"1,219,216",19.42%,"302,645",9.29%,"641,224",-62.46%,"3,631,761",9.29%,"641,224",-35.10%,0,,0,,0,,0,,0,,0,,0,,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alaska,Aniakchak NM & PRES,100,0.00%,460,-2.13%,0,,"5,520",-2.13%,0,,0,,0,,0,,0,,230,-2.13%,0,,0,,Subtotal Alaska,"3,218,301",10.21%,"2,114,247",4.21%,"813,443",,"25,371,039",4.21%,"468,680",,"18,676",,"26,382",,"6,170",,0,,"64,387",-14.08%,"22,767",,"14,938",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alaska,Bering Land Bridge NPRES,"2,642",0.00%,660,0.00%,"1,128",0.00%,"7,926",0.00%,"9,024",0.00%,0,,0,,0,,0,,"1,123",0.00%,482,,0,33.89%,Subtotal Alaska,"3,218,301",10.21%,"2,114,247",4.21%,"813,443",,"25,371,039",4.21%,"468,680",,"18,676",,"26,382",,"6,170",,0,,"64,387",-14.08%,"22,767",,"14,938",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alaska,Cape Krusenstern NM,"16,226",7.55%,"3,819",10.47%,"7,800",1.30%,"45,828",10.46%,"62,400",1.30%,0,,0,,0,,0,,"6,425",1.98%,"5,925",,0,39.41%,Subtotal Alaska,"3,218,301",10.21%,"2,114,247",4.21%,"813,443",,"25,371,039",4.21%,"468,680",,"18,676",,"26,382",,"6,170",,0,,"64,387",-14.08%,"22,767",,"14,938",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alaska,Denali NP & PRES,"601,152",1.09%,"552,891",1.35%,"787,826",0.48%,"6,634,699",1.35%,"196,956",0.48%,0,,"26,382",-4.37%,0,,0,,"26,211",10.37%,0,,0,,Subtotal Alaska,"3,218,301",10.21%,"2,114,247",4.21%,"813,443",,"25,371,039",4.21%,"468,680",,"18,676",,"26,382",,"6,170",,0,,"64,387",-14.08%,"22,767",,"14,938",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alaska,Gates of the Arctic NP & PRES,"10,518",9.67%,"8,530",-44.89%,0,,"102,366",-44.89%,0,,0,,0,,0,,0,,"4,058",-46.33%,0,,0,,Subtotal Alaska,"3,218,301",10.21%,"2,114,247",4.21%,"813,443",,"25,371,039",4.21%,"468,680",,"18,676",,"26,382",,"6,170",,0,,"64,387",-14.08%,"22,767",,"14,938",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
Alaska,Glacier Bay NP & PRES,"672,087",12.41%,"713,718",11.18%,489,-24.07%,"8,564,620",11.18%,"70,700",-25.63%,"14,408",15.49%,0,,744,-4.98%,0,,"4,211",-27.89%,"2,840",-15.45%,"14,938",-26.14%,Subtotal Alaska,"3,218,301",10.21%,"2,114,247",4.21%,"813,443",,"25,371,039",4.21%,"468,680",,"18,676",,"26,382",,"6,170",,0,,"64,387",-14.08%,"22,767",,"14,938",,"327,516,623",2.92%,"119,163,976",2.04%,"169,448,644",,"1,429,969,877",2.04%,"92,910,271",,"3,227,317",,"1,264,154",,"3,503,369",,"2,466,682",,"1,948,828",,"34,600",,"1,415,112",
