Name,Textbox3
Acadia NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT SAND BEACH,2020,"2,761","3,072","5,577",0,0,"22,253","55,397","77,397","58,395","60,090","10,451",
TRAFFIC COUNT AT SAND BEACH,2019,"1,620","1,876","3,673","8,625","25,714","51,944","75,628","75,542","60,667","47,346","5,951","2,907"
TRAFFIC COUNT AT SAND BEACH,2018,"2,576","2,713","4,490","9,300","28,645","52,604","75,831","76,602","62,366","47,341","5,195","2,859"
TRAFFIC COUNT AT SAND BEACH,2017,"3,561","3,345","3,849","11,101","25,473","50,576","75,152","76,926","61,430","56,664","6,992","2,690"
TRAFFIC COUNT AT SAND BEACH,2016,"4,029","3,950","5,482","12,377","25,455","49,466","76,086","80,472","62,015","45,932","7,292","3,253"
TRAFFIC COUNT AT SAND BEACH,2015,"2,744","2,310","3,104","7,933","22,031","40,029","67,696","73,911","52,359","38,262","6,356","3,174"
TRAFFIC COUNT AT SAND BEACH,2014,"2,168","2,411","3,074","7,133","17,514","38,027","63,301","71,306","46,565","34,602","3,740","3,071"
TRAFFIC COUNT AT SAND BEACH,2013,"2,372","2,083","3,823","5,766","15,345","35,023","61,945","68,701","44,047","8,361","5,219","1,609"
TRAFFIC COUNT AT SAND BEACH,2012,"2,574","2,611","4,322","7,377","18,268","34,813","60,572","64,388","43,912","30,908","4,717","2,342"
TRAFFIC COUNT AT SAND BEACH,2011,"2,100","2,008","3,521","7,094","15,316","33,204","62,322","64,066","42,748","28,796","4,204","2,418"
TRAFFIC COUNT AT SAND BEACH,2010,"2,196","2,855","4,527","7,105","19,873","32,262","60,586","69,978","46,597","32,164","4,412","1,911"
TRAFFIC COUNT AT SAND BEACH,2009,"1,951","2,131","3,495","7,397","15,123","27,240","50,224","64,689","42,493","28,875","5,538","1,857"
TRAFFIC COUNT AT SAND BEACH,2008,"2,367","2,418","3,197","6,689","14,707","29,915","52,277","56,420","34,759","26,929","4,064","2,040"
TRAFFIC COUNT AT SAND BEACH,2007,"2,368","2,181","3,349","7,443","15,233","30,719","51,101","59,767","40,316","28,313","5,115","1,941"
TRAFFIC COUNT AT SAND BEACH,2006,"2,904","2,895","4,053","7,337","13,960","26,929","52,625","55,911","36,263","26,905","4,035","2,728"
TRAFFIC COUNT AT SAND BEACH,2005,"2,430","2,697","3,528","7,485","12,576","30,552","52,061","57,185","35,030","23,362","4,756","2,399"
TRAFFIC COUNT AT SAND BEACH,2004,"2,542","2,821","3,875","7,260","14,973","36,223","52,256","56,996","38,997","27,515","4,061","2,410"
TRAFFIC COUNT AT SAND BEACH,2003,"2,523","2,538","5,301","7,536","14,811","33,843","59,739","64,981","40,582","29,234","5,957","2,695"
TRAFFIC COUNT AT SAND BEACH,2002,"3,147","3,522","5,365","8,123","18,387","36,489","62,921","70,122","43,627","30,627","4,903","2,772"
TRAFFIC COUNT AT SAND BEACH,2001,"3,115","3,204","5,524","8,620","17,678","36,529","61,532","69,385","41,213","28,751","5,612","3,312"
TRAFFIC COUNT AT SAND BEACH,2000,"4,500","3,582","5,524","8,984","18,785","35,782","60,230","65,025","41,978","29,044","4,515","3,122"
TRAFFIC COUNT AT SAND BEACH,1999,"3,284","4,104","5,147","9,618","19,305","34,876","62,293","69,142","47,738","29,813","5,135","3,486"
TRAFFIC COUNT AT SAND BEACH,1998,"3,150","3,100","4,410","9,500","17,557","32,310","62,091","76,281","42,484","28,148","5,910","3,451"
TRAFFIC COUNT AT SAND BEACH,1997,"3,101","3,165","4,335","8,890","15,961","35,899","68,989","83,681","44,295","31,010","6,250","3,548"
TRAFFIC COUNT AT SAND BEACH,1996,"3,293","3,112","5,415","8,823","17,903","35,159","62,446","78,944","47,629","30,754","5,947","3,548"
TRAFFIC COUNT AT SAND BEACH,1995,"2,963","3,523","4,610","9,934","18,719","38,228","69,091","82,900","49,255","29,042","5,636","2,659"
TRAFFIC COUNT AT SAND BEACH,1994,"2,538","3,094","4,151","6,054","20,191","34,263","68,148","79,960","47,629","30,492","5,760","3,918"
TRAFFIC COUNT AT SAND BEACH,1993,"3,283","2,384","4,004","5,947","21,496","32,793","66,974","80,001","46,631","36,464","5,760","3,015"
TRAFFIC COUNT AT SAND BEACH,1992,"2,769","3,210","4,683","6,933","17,914","31,049","62,401","68,399","43,804","23,620","5,264","2,977"
TRAFFIC COUNT AT SAND BEACH,1991,"2,327","2,639","4,958","9,098","17,423","32,487","66,204","71,218","42,481","26,435","5,097","2,477"
TRAFFIC COUNT AT SAND BEACH,1990,"2,685","2,752","4,686","8,280","15,881","32,000","61,942","71,547","40,003","24,085","6,109","2,000"
TRAFFIC COUNT AT SCHOODIC,2020,"1,950","1,800","2,600","7,560","5,788","8,373","15,608","18,203","15,478","10,958","2,750",
TRAFFIC COUNT AT SCHOODIC,2019,"1,950","1,800","2,600","3,300","7,453","14,872","23,171","23,884","18,807","11,517","2,750","1,800"
TRAFFIC COUNT AT SCHOODIC,2018,"1,950","1,800","2,600","3,300","8,144","15,733","23,940","23,940","16,062","10,168","2,750","1,800"
TRAFFIC COUNT AT SCHOODIC,2017,"1,950","1,750","2,600","3,300","7,889","14,300","23,126","24,208","18,715","11,213","2,750","1,800"
TRAFFIC COUNT AT SCHOODIC,2016,"1,950","1,755","2,600","3,300","6,006","13,475","23,342","24,123","17,742","10,863","2,750","1,800"
TRAFFIC COUNT AT SCHOODIC,2015,"1,950","1,755","2,802","3,344","5,239","9,937","16,366","18,607","13,845","9,490","2,814","1,827"
TRAFFIC COUNT AT SCHOODIC,2014,"1,927","1,389","2,588","3,200","5,069","8,345","13,582","16,421","8,640","7,199","2,700","1,827"
TRAFFIC COUNT AT SCHOODIC,2013,"1,955","1,785","2,505","3,003","4,719","8,731","14,851","16,365","9,870","2,266","2,782","1,474"
TRAFFIC COUNT AT SCHOODIC,2012,"1,944","2,094","2,764","3,397","5,419","8,272","14,844","15,720","10,841","7,297","2,988","2,038"
TRAFFIC COUNT AT SCHOODIC,2011,"2,034","1,752","2,673","3,689","5,086","8,814","16,018","16,434","10,708","7,170","2,722","1,919"
TRAFFIC COUNT AT SCHOODIC,2010,"1,902","2,160","3,754","3,549","5,904","8,557","15,204","16,541","12,685","6,785","3,119","1,956"
TRAFFIC COUNT AT SCHOODIC,2009,"1,771","1,703","2,540","3,278","5,076","7,858","15,292","19,136","14,118","6,833","2,900","1,995"
TRAFFIC COUNT AT SCHOODIC,2008,"1,748","1,813","2,311","3,091","4,625","7,164","13,490","15,389","8,877","6,595","2,546","1,923"
TRAFFIC COUNT AT SCHOODIC,2007,"2,545","2,208","2,842","4,055","5,385","8,270","14,033","17,569","11,249","8,504","3,212","1,641"
TRAFFIC COUNT AT SCHOODIC,2006,"2,120","1,851","2,531","3,341","4,948","7,381","15,013","15,752","9,933","8,221","3,121","2,366"
TRAFFIC COUNT AT SCHOODIC,2005,"1,631","1,661","2,297","3,235","4,830","8,345","14,490","15,136","9,327","6,047","2,436","1,790"
TRAFFIC COUNT AT SCHOODIC,2004,"1,770","2,034","2,508","3,118","5,239","8,298","13,585","16,626","11,610","7,056","2,441","1,740"
TRAFFIC COUNT AT SCHOODIC,2003,"5,042","5,428","5,475","5,140","5,042","9,011","14,930","15,998","11,856","8,125","1,260","1,558"
TRAFFIC COUNT AT SCHOODIC,2002,"11,647","15,928","15,928","15,622","15,524","17,670","24,654","26,597","19,991","18,325","1,160","12,245"
TRAFFIC COUNT AT SCHOODIC,2001,"11,647","15,928","15,928","15,622","15,524","17,670","24,654","26,597","21,824","18,325","11,600","12,245"
TRAFFIC COUNT AT SCHOODIC,2000,"12,657","15,928","15,928","15,622","15,524","17,670","24,654","26,597","19,991","16,378","11,497","12,245"
TRAFFIC COUNT AT SCHOODIC,1999,"9,726","2,212","15,928","15,622","5,735","9,360","15,686","30,200","11,610","22,386","12,053","12,245"
TRAFFIC COUNT AT SCHOODIC,1998,"13,045","13,400","14,500","15,536","12,694","21,765","25,421","30,200","22,800","22,000","16,000","11,961"
TRAFFIC COUNT AT SCHOODIC,1997,"13,045","13,400","14,200","15,366","11,540","21,765","15,686","30,198","22,800","21,907","16,000","13,826"
TRAFFIC COUNT AT SCHOODIC,1996,"13,045","12,393","14,195","15,366","13,679","21,336","15,686","28,489","22,900","21,808","15,680","13,826"
TRAFFIC COUNT AT SCHOODIC,1995,"1,891","13,496","15,800","15,989","19,033","21,336","27,829","32,450","22,900","21,008","15,460","11,796"
TRAFFIC COUNT AT SCHOODIC,1994,"1,891","13,069","15,293","15,900","17,982","9,360","24,799","29,500","11,610","13,365","15,460","11,814"
TRAFFIC COUNT AT SCHOODIC,1993,"14,244","13,069","15,293","15,831","17,935","9,360","19,928","29,500","11,610","12,492","3,630","14,456"
TRAFFIC COUNT AT SCHOODIC,1992,"14,243","13,293","15,171","15,353","17,935","6,578","19,928","29,376","21,781","18,210","14,027","14,456"
TRAFFIC COUNT AT SCHOODIC,1991,"13,857","13,082","15,397","3,510","5,735","9,360","21,209","28,826","21,738","19,155","14,027","12,133"
TRAFFIC COUNT AT SCHOODIC,1990,"13,316","12,102","15,018","15,058","17,773","18,863","26,028","29,644","19,671","17,598","13,822","12,775"

