Name,Textbox3
Arches NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Total Vehicles entering Park,2020,"11,821","17,602","30,199",0,"5,123","60,626","71,777","60,873","75,433","74,032",,
Total Vehicles entering Park,2019,"8,957","12,404","48,683","62,075","77,937","80,044","75,595","66,414","72,792","60,779","30,459","16,367"
Total Vehicles entering Park,2018,"13,218","16,662","49,688","61,540","76,917","75,982","74,023","65,659","72,394","59,750","30,678","17,403"
Total Vehicles entering Park,2017,"8,873","15,853","47,326","57,145","67,916","68,984","69,555","63,890","66,209","55,339","30,194","18,374"
Total Vehicles entering Park,2016,"8,439","13,788","43,906","55,570","72,014","74,475","74,352","66,669","70,603","58,893","28,693","13,657"
Total Vehicles entering Park,2015,"8,533","14,200","37,963","50,638","63,771","66,293","68,489","60,492","58,014","45,639","20,164","11,224"
Total Vehicles entering Park,2014,"7,056","9,270","32,968","44,563","58,739","59,809","59,505","59,788","56,153","46,266","19,203","10,667"
Total Vehicles entering Park,2013,"4,576","6,710","27,028","39,475","52,918","53,925","54,434","51,013","53,607","22,859","17,938","8,473"
Total Vehicles entering Park,2012,"6,189","7,413","26,585","37,597","49,131","49,073","50,585","46,989","47,287","37,977","14,978","7,422"
Total Vehicles entering Park,2011,"4,226","5,364","22,808","35,204","49,726","53,715","51,407","48,011","46,235","35,985","12,660","6,251"
Total Vehicles entering Park,2010,"3,597","4,915","20,990","34,256","50,642","52,594","50,961","48,715","47,030","35,211","11,895","5,220"
Total Vehicles entering Park,2009,"4,844","6,421","24,486","32,857","49,325","49,771","47,830","47,253","45,615","34,475","13,016","5,445"
Total Vehicles entering Park,2008,"3,774","5,565","24,414","32,667","46,821","43,908","42,694","45,206","42,400","31,536","12,080","5,478"
Total Vehicles entering Park,2007,"4,362","6,347","23,338","32,662","39,837","38,419","39,472","36,840","41,417","30,790","12,552","5,197"
Total Vehicles entering Park,2006,"5,299","8,508","24,777","30,669","39,259","36,021","35,798","37,575","38,485","28,389","11,544","5,579"
Total Vehicles entering Park,2005,"4,080","6,659","23,048","26,202","39,507","39,389","37,983","36,790","30,119","25,161","10,494","5,371"
Total Vehicles entering Park,2004,"4,748","4,713","21,443","28,411","40,256","33,606","33,469","29,634","33,261","23,321","8,745","4,879"
Total Vehicles entering Park,2003,"5,489","5,609","18,214","25,588","37,786","36,542","34,191","35,570","35,315","29,215","8,804","4,992"
Total Vehicles entering Park,2002,"4,132","7,138","20,936","27,800","39,125","36,383","34,851","35,274","34,609","27,178","9,514","5,882"
Total Vehicles entering Park,2001,"4,321","5,284","20,075","26,561","39,686","35,534","36,276","35,375","33,491","24,458","10,883","3,992"
Total Vehicles entering Park,2000,"4,775","5,905","19,112","27,988","38,062","37,364","39,240","37,313","36,132","26,200","8,069","4,968"
Total Vehicles entering Park,1999,"4,916","6,310","22,626","24,983","42,470","41,933","42,168","44,336","41,520","28,139","10,559","5,537"
Total Vehicles entering Park,1998,"4,347","5,072","19,054","27,216","42,600","41,509","40,555","42,989","40,560","27,542","8,884","4,386"
Total Vehicles entering Park,1997,"3,900","5,505","23,393","25,314","40,802","40,231","43,840","46,551","41,252","26,732","8,013","4,757"
Total Vehicles entering Park,1996,"3,332","5,902","21,327","28,439","41,121","39,612","42,552","45,695","42,581","25,454","8,074","5,694"
Total Vehicles entering Park,1995,"4,599","6,520","19,297","27,947","39,313","41,834","48,918","45,499","42,352","26,425","7,396","2,087"
Total Vehicles entering Park,1994,"4,100","5,096","19,528","26,800","36,983","35,079","39,275","41,045","38,676","24,538","6,849","4,913"
Total Vehicles entering Park,1993,"2,515","3,547","16,124","27,047","37,099","36,611","42,061","42,138","39,525","24,231","7,764","3,366"
Total Vehicles entering Park,1992,"2,810","4,431","14,551","24,585","33,783","33,915","37,064","36,142","35,679","24,638","6,932","2,609"

