Name,Textbox3
Black Canyon of the Gunnison NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2020,0,0,0,0,"1,433","1,969","3,431","2,076","3,034","2,594",,
TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2019,0,0,0,0,770,"1,147",977,843,"1,317",664,916,0
TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2018,0,0,0,614,"1,790","1,810",943,825,"1,113","1,134",931,0
TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2017,0,0,0,711,"1,535","2,018","1,734","1,844","2,242","1,286",772,203
TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2016,0,0,0,"1,560","3,240","3,725","2,320","2,631","2,199","1,355",872,0
TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2015,0,0,0,950,"3,340","2,179","2,832","2,559","2,669","1,785",395,0
TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2014,0,0,0,"1,232","3,233","2,100","2,760","2,480","2,654","1,652",0,0
TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2013,10,0,0,275,"2,124","1,990","2,668","2,519","1,827",230,0,2
TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2012,0,0,0,"1,854","1,821","4,398","3,462","2,470","2,835","1,368",0,0
TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2011,5,0,48,743,"1,681","2,656","3,502","2,832","1,984","1,859",0,4
TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2010,5,8,22,578,589,"1,033","2,386",0,"2,085","1,731",238,0
TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2009,0,0,4,914,"1,641","1,941","2,712","1,022","1,597","1,739",772,17
TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2008,3,7,10,24,"1,580",43,"2,492","3,210",0,546,45,5
TRAFFIC COUNT AT NORTH RIM DRIVE COUNTER,2007,14,0,694,732,"1,704","2,436","2,990","2,766","2,546","1,564",780,3
