Name,Textbox3
Grand Canyon NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT (DESERT VIEW),2020,"12,086","12,937","15,013",0,0,0,0,0,0,0,,
TRAFFIC COUNT (DESERT VIEW),2019,"10,650","8,998","25,938","31,530","37,040","33,218","35,052","34,998","31,970","30,354","16,517","13,656"
TRAFFIC COUNT (DESERT VIEW),2018,"11,838","12,107","27,425","28,726","34,185","31,648","34,639","34,507","32,023","26,234","19,000","16,174"
TRAFFIC COUNT (DESERT VIEW),2017,"8,395","10,438","25,079","28,763","31,924","39,534","35,381","34,697","31,306","28,927","18,648","16,710"
TRAFFIC COUNT (DESERT VIEW),2016,"8,411","8,400","27,021","24,137","31,288","31,624","35,204","33,707","30,869","28,496","17,360","13,275"
TRAFFIC COUNT (DESERT VIEW),2015,"8,376","9,973","21,886","22,848","28,653","28,662","33,769","32,271","27,501","24,062","14,228","12,050"
TRAFFIC COUNT (DESERT VIEW),2014,"6,756","9,606","17,088","19,429","23,386","23,193","28,924","29,798","29,798","21,889","13,119","11,246"
TRAFFIC COUNT (DESERT VIEW),2013,"6,174","5,784","15,156","16,057","21,909","23,123","26,868","29,347","24,109","12,123","9,594","9,594"
TRAFFIC COUNT (DESERT VIEW),2012,"6,083","6,422","14,074","18,647","23,300","23,504","27,321","27,229","23,823","20,480","12,274","8,471"
TRAFFIC COUNT (DESERT VIEW),2011,"5,731","5,237","13,798","17,542","20,577","23,695","27,028","27,288","22,678","18,370","9,592","6,776"
TRAFFIC COUNT (DESERT VIEW),2010,"5,016","5,477","13,947","16,907","22,033","26,190","28,256","33,245","23,744","19,239","9,787","6,570"
TRAFFIC COUNT (DESERT VIEW),2009,"6,179","6,235","14,988","18,332","22,134","24,307","27,898","27,915","22,968","20,085","10,220","6,150"
TRAFFIC COUNT (DESERT VIEW),2008,"5,855","7,274","17,761","20,883","28,934","26,581","29,520","39,336","22,585","26,075","10,080","6,488"
TRAFFIC COUNT (DESERT VIEW),2007,"5,970","8,143","19,559","23,775","26,113","28,295","32,653","36,422","30,717","28,517","14,373","9,369"
TRAFFIC COUNT (DESERT VIEW),2006,"8,547","9,761","16,954","21,720","25,367","28,330","30,023","27,038","26,179","23,229","13,732","7,497"
TRAFFIC COUNT (DESERT VIEW),2005,"5,884","6,723","18,502","17,546","25,481","31,114","34,201","32,419","25,634","20,901","12,667","10,079"
TRAFFIC COUNT (DESERT VIEW),2004,"6,325","7,293","16,475","20,624","24,775","26,641","24,870","25,604","25,765","17,716","11,067","7,848"
TRAFFIC COUNT (DESERT VIEW),2003,"7,541","7,392","14,408","15,191","22,543","28,847","27,453","24,892","22,143","17,200","10,121","7,830"
TRAFFIC COUNT (DESERT VIEW),2002,"6,323","7,318","15,446","16,512","19,241","21,545","23,239","21,874","19,311","17,059","10,801","7,238"
TRAFFIC COUNT (DESERT VIEW),2001,"5,343","6,304","13,119","17,845","18,569","22,346","25,226","24,369","18,845","15,935","9,757","7,109"
TRAFFIC COUNT (DESERT VIEW),2000,"6,836","7,688","13,307","19,022","21,861","23,898","27,877","34,490","29,828","18,539","8,707","7,201"
TRAFFIC COUNT (DESERT VIEW),1999,"7,736","8,208","16,967","17,312","23,956","28,035","33,118","35,557","33,980","20,177","15,755","17,620"
TRAFFIC COUNT (DESERT VIEW),1998,"6,601","5,932","13,540","24,851","23,965","27,056","29,456","30,555","21,984","20,863","10,007","8,529"
TRAFFIC COUNT (DESERT VIEW),1997,"5,438","7,223","8,401","17,976","25,218","27,305","33,037","33,468","26,035","21,676","10,194","7,195"
TRAFFIC COUNT (DESERT VIEW),1996,"10,077","7,981","16,871","20,921","25,756","28,995","31,718","14,551","24,218","27,582","3,020","6,060"
TRAFFIC COUNT (DESERT VIEW),1995,"5,824","7,628","15,164","20,921","25,756","45,952","35,243","35,493","23,175","26,388","9,131","7,575"
TRAFFIC COUNT (DESERT VIEW),1994,"10,575","6,199","26,637","19,167","21,546","38,293","34,848","35,533","20,548","21,226","7,790","7,426"
TRAFFIC COUNT (DESERT VIEW),1993,"5,187","6,309","14,634","21,631","26,437","39,738","48,462","49,140","22,603","21,888","11,870","4,424"
TRAFFIC COUNT (DESERT VIEW),1992,"5,227","6,823","13,440","20,248","26,565","27,587","29,436","32,073","31,087","21,945","12,237","6,971"
TRAFFIC COUNT (DESERT VIEW),1991,"5,020","6,857","11,275","13,627","21,987","27,269","29,610","31,831","25,910","20,281","9,193","6,338"
TRAFFIC COUNT (NORTH RIM),2020,0,0,0,0,0,0,0,"3,166","19,368",0,,
TRAFFIC COUNT (NORTH RIM),2019,0,0,0,0,"11,529","22,410","22,347","19,490","22,011","16,893",0,0
TRAFFIC COUNT (NORTH RIM),2018,0,0,0,0,"13,637","22,379","22,725","20,276","22,217","18,000","2,397",0
TRAFFIC COUNT (NORTH RIM),2017,0,0,0,0,"14,000","24,500","29,285","24,265","24,958","18,100",0,0
TRAFFIC COUNT (NORTH RIM),2016,0,0,0,0,"13,715","23,732","26,581","22,059","23,770","17,239",0,0
TRAFFIC COUNT (NORTH RIM),2015,0,0,0,0,"13,000","20,732","22,034","20,451","21,040","14,273",0,0
TRAFFIC COUNT (NORTH RIM),2014,0,0,0,0,"10,500","18,500","20,165","18,848","17,692","12,418",0,0
TRAFFIC COUNT (NORTH RIM),2013,0,0,0,0,"10,807","36,777","20,034","19,293","17,695",0,"1,500",0
TRAFFIC COUNT (NORTH RIM),2012,0,0,0,0,"10,694","18,575","18,718","16,522","17,312","11,378","1,816",0
TRAFFIC COUNT (NORTH RIM),2011,0,0,0,0,"10,039","19,060","20,049","19,868","18,196","11,015","1,714",0
TRAFFIC COUNT (NORTH RIM),2010,0,0,0,0,"11,613","20,458","20,827","19,712","19,283","11,490","2,009",0
TRAFFIC COUNT (NORTH RIM),2009,0,0,0,0,"12,238","20,702","21,200","19,562","19,678","11,800","2,659",0
TRAFFIC COUNT (NORTH RIM),2008,0,0,0,0,"10,826","19,271","19,380","18,272","19,444","10,877","3,299",0
TRAFFIC COUNT (NORTH RIM),2007,0,0,0,0,"10,546","14,314","17,936","18,109","20,467","9,185",0,0
TRAFFIC COUNT (NORTH RIM),2006,0,0,0,0,"9,949","14,321","15,672","15,176","18,533","7,789",0,0
TRAFFIC COUNT (NORTH RIM),2005,0,0,0,0,"11,565","17,363","20,639","18,210","15,825","7,362",0,0
TRAFFIC COUNT (NORTH RIM),2004,0,0,0,0,"10,419","18,955","20,778","19,815","18,832","10,654",0,0
TRAFFIC COUNT (NORTH RIM),2003,0,0,0,0,"13,054","21,540","22,323","20,116","16,388","11,053",0,0
TRAFFIC COUNT (NORTH RIM),2002,0,0,0,0,"13,223","19,870","20,530","20,125","18,272","12,014","2,508",0
