Name,Textbox3
Great Basin NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT BAKER CREEK,2020,359,190,255,97,450,"2,062","3,072","2,311","2,959","2,334",240,
TRAFFIC COUNT AT BAKER CREEK,2019,42,158,249,555,"1,489","3,285","3,357","3,238","2,888","1,081",266,140
TRAFFIC COUNT AT BAKER CREEK,2018,216,179,"2,001",834,"2,002","3,064","3,612","2,306","4,067","1,494",363,158
TRAFFIC COUNT AT BAKER CREEK,2017,179,179,302,801,"2,155","3,230","3,395","2,504","1,104","2,396",499,138
TRAFFIC COUNT AT BAKER CREEK,2016,102,205,926,926,"2,243","2,320","5,602","3,987","3,746","2,426",499,187
TRAFFIC COUNT AT BAKER CREEK,2015,112,236,372,767,"1,934","2,123","4,154","1,849","3,405","1,797",307,177
TRAFFIC COUNT AT BAKER CREEK,2014,142,164,298,691,"1,808","2,044","7,462","1,621","2,079","1,687",372,168
TRAFFIC COUNT AT BAKER CREEK,2013,112,127,233,436,"1,310","1,823","6,702","1,567","1,942",381,328,172
TRAFFIC COUNT AT BAKER CREEK,2012,126,155,191,482,"1,154","1,821","6,918","1,842","2,341",739,318,169
TRAFFIC COUNT AT BAKER CREEK,2011,107,124,201,495,"1,009","1,901","6,804","1,802","2,203",716,296,179
TRAFFIC COUNT AT BAKER CREEK,2010,118,147,194,488,997,"2,058","3,118","1,890","1,663",618,272,152
TRAFFIC COUNT AT BAKER CREEK,2009,134,135,175,400,"1,011","1,690","2,285","1,662","1,791",549,333,141
TRAFFIC COUNT AT BAKER CREEK,2008,192,148,254,350,880,"1,524","1,705","1,611","1,012",477,214,131
TRAFFIC COUNT AT BAKER CREEK,2007,179,142,263,599,"1,621","3,922","3,816","3,261","2,619","1,417",269,332
TRAFFIC COUNT AT BAKER CREEK,2006,128,138,240,369,"1,164","3,789","4,265","3,125","2,651","1,453",232,241
TRAFFIC COUNT AT BAKER CREEK,2005,0,0,0,576,"1,240","4,636","5,213","3,420","2,753","1,551",224,235
TRAFFIC COUNT AT BAKER CREEK,2004,202,235,252,"1,152","3,299","2,728","3,433","2,821","1,844",653,196,196
TRAFFIC COUNT AT BAKER CREEK,2003,0,0,63,403,"2,188","2,785","4,101","2,038","3,656",529,92,188
TRAFFIC COUNT AT BAKER CREEK,2002,0,0,245,230,"1,191","1,659","2,950","2,138","1,436",423,330,277
TRAFFIC COUNT AT BAKER CREEK,2001,0,0,0,151,"1,879","2,698","2,837","1,578","1,083",430,220,0
TRAFFIC COUNT AT BAKER CREEK,2000,0,0,0,915,"2,588","3,897","4,053","3,095","2,599",865,0,0
TRAFFIC COUNT AT BAKER CREEK,1999,0,0,0,395,"2,796","3,478","4,484","3,339","2,837","1,166",207,46
TRAFFIC COUNT AT BAKER CREEK,1998,0,0,0,0,"2,062","1,297","4,170","3,084","1,576",595,441,154
TRAFFIC COUNT AT BAKER CREEK,1997,0,0,0,0,0,453,298,"3,843",0,739,0,0
TRAFFIC COUNT AT BAKER CREEK,1996,0,0,0,0,"2,168","3,391","5,038","3,137",0,0,0,0
TRAFFIC COUNT AT BAKER CREEK,1995,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT BAKER CREEK,1994,45,0,0,835,"4,857","5,129","7,240","3,147","4,388","1,349",11,0
TRAFFIC COUNT AT BAKER CREEK,1993,0,0,"10,544","1,217","5,532","8,298","11,483","7,919","6,119","2,672",170,0
TRAFFIC COUNT AT BAKER CREEK,1992,0,0,0,"1,110","2,915","2,515","5,892",685,"-23,383","3,530",548,49
TRAFFIC COUNT AT GREAT BASIN VC,2020,"1,196","1,230","1,242",388,"1,553","4,471","6,577","5,982","7,211","6,126","1,302",
TRAFFIC COUNT AT GREAT BASIN VC,2019,131,527,"1,029","2,008","4,212","7,362","6,570","5,179","6,627","4,143","1,932",965
TRAFFIC COUNT AT GREAT BASIN VC,2018,859,566,"1,438","4,031","4,151","5,545","6,046","4,823","7,933","2,093",939,938
TRAFFIC COUNT AT GREAT BASIN VC,2017,703,"1,021","1,181","3,009","3,942","6,629","6,796","6,060","7,698","3,995","1,055",813
TRAFFIC COUNT AT GREAT BASIN VC,2016,321,826,"2,694","2,695","2,281","4,920","5,974","5,774","5,862","2,190","1,189",673
TRAFFIC COUNT AT GREAT BASIN VC,2015,401,924,"1,074","2,070","4,177","4,501","5,590","4,109","5,329","1,622",947,904
TRAFFIC COUNT AT GREAT BASIN VC,2014,423,746,957,"1,905","3,892","4,345","5,490","4,202","6,194","1,522","1,197",736
TRAFFIC COUNT AT GREAT BASIN VC,2013,401,640,737,"1,789","3,556","4,086","5,150","3,968","6,512","1,134","1,119",755
