Name,Textbox3
Great Sand Dunes NP & PRES,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT MEDANO PASS ROAD,2020,0,0,0,0,0,0,0,0,0,0,0,
TRAFFIC COUNT AT MEDANO PASS ROAD,2019,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2018,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2017,0,0,0,0,0,100,400,350,290,200,100,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2016,0,0,0,0,0,201,59,291,0,0,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2015,0,0,0,0,0,12,293,274,290,165,38,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2014,0,0,0,0,110,245,226,226,176,168,40,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2013,0,0,0,0,246,249,78,168,249,28,57,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2012,0,0,0,0,290,279,396,242,428,58,41,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2011,0,0,0,0,263,380,218,268,0,15,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2010,0,0,0,0,248,0,0,502,473,298,15,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2009,0,0,0,0,153,109,832,651,580,337,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2008,0,0,0,0,139,599,868,584,610,480,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2007,0,0,0,0,155,712,983,654,809,583,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2006,0,0,0,0,540,197,727,631,798,599,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2005,0,0,0,0,23,143,159,106,48,13,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2004,0,0,0,0,12,66,136,116,97,22,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2003,0,0,0,0,36,102,123,119,31,29,183,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2002,0,0,0,0,15,78,163,116,65,15,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2001,0,0,0,0,7,77,131,57,67,2,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,2000,0,0,0,0,10,50,108,50,13,5,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,1999,0,0,0,0,10,77,109,53,75,0,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,1998,0,0,0,0,9,72,104,102,79,0,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,1997,0,0,0,0,8,62,57,45,60,11,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,1996,0,0,0,3,58,63,100,80,63,7,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,1995,0,0,0,0,2,3,38,46,51,12,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,1994,0,0,0,0,29,23,94,33,30,6,0,0
TRAFFIC COUNT AT MEDANO PASS ROAD,1993,0,0,0,0,40,44,45,24,61,12,15,0
TRAFFIC COUNT AT MEDANO PASS ROAD,1992,0,0,0,0,91,181,136,176,54,47,12,0
TRAFFIC COUNT AT MEDANO PASS ROAD,1991,0,0,0,0,913,"1,361","1,360","1,453","1,391",476,0,0
TRAFFIC COUNT AT PARK ENTRANCE,2020,"2,792","2,557","7,080","2,513",0,"25,868","32,770","31,073","26,207","21,722","7,724",
TRAFFIC COUNT AT PARK ENTRANCE,2019,"2,432","2,301","7,036","10,641","23,658","39,889","32,817","25,918","20,810","13,048","3,890","2,523"
TRAFFIC COUNT AT PARK ENTRANCE,2018,"2,026","2,479","9,434","8,949","22,681","25,643","25,395","23,023","19,680","11,900","4,661","2,432"
TRAFFIC COUNT AT PARK ENTRANCE,2017,"1,830","2,853","8,798","9,774","23,083","31,426","30,515","23,200","18,576","12,017","4,603","3,370"
TRAFFIC COUNT AT PARK ENTRANCE,2016,"1,027","1,669","3,763","6,010","17,930","25,014","25,187","18,793","18,638","12,610","4,737","2,250"
TRAFFIC COUNT AT PARK ENTRANCE,2015,980,713,"3,140","4,630","12,560","19,526","17,718","17,051","14,014","9,161","1,861","1,283"
TRAFFIC COUNT AT PARK ENTRANCE,2014,990,751,"3,529","4,738","10,401","16,137","17,291","16,646","12,107","8,839","1,995","1,362"
TRAFFIC COUNT AT PARK ENTRANCE,2013,997,724,"4,029","4,646","11,693","15,592","16,449","12,844","11,752","2,891","2,282","1,426"
TRAFFIC COUNT AT PARK ENTRANCE,2012,"1,086","1,043","4,103","4,334","12,334","16,143","16,254","13,459","10,462","5,603","2,535","1,395"
TRAFFIC COUNT AT PARK ENTRANCE,2011,"1,015","1,215","3,731","4,194","14,569","18,590","19,541","14,139","10,662","5,993","2,284","1,466"
TRAFFIC COUNT AT PARK ENTRANCE,2010,943,"1,143","3,606","3,917","14,684","18,558","19,355","14,498","10,959","6,296","2,280","1,451"
TRAFFIC COUNT AT PARK ENTRANCE,2009,843,"1,284","3,703","3,859","14,095","20,435","19,435","14,839","10,178","5,724","2,341","1,383"
TRAFFIC COUNT AT PARK ENTRANCE,2008,818,"1,009","3,657","3,953","12,795","17,985","18,447","14,577","10,040","5,231","2,443","1,231"
