Name,Textbox3
Kenai Fjords NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT EXIT GLACIER,2020,0,0,0,0,"1,429","5,512","7,368","7,667","5,577","1,622",0,
TRAFFIC COUNT AT EXIT GLACIER,2019,0,0,0,0,"4,996","13,501","18,359","16,050","6,211","1,421",0,0
TRAFFIC COUNT AT EXIT GLACIER,2018,0,0,0,0,"5,057","12,831","17,097","15,173","7,287","1,086",0,0
TRAFFIC COUNT AT EXIT GLACIER,2017,0,0,0,0,"4,806","13,012","17,475","14,425","6,453","1,623",0,0
TRAFFIC COUNT AT EXIT GLACIER,2016,0,0,0,93,"7,184","13,297","18,132","15,111","7,369","1,431",0,0
TRAFFIC COUNT AT EXIT GLACIER,2015,0,0,0,0,"6,189","11,887","16,437","14,924","6,270","1,650",190,0
TRAFFIC COUNT AT EXIT GLACIER,2014,0,0,0,0,"4,957","11,581","15,765","15,765","5,582","1,015",0,0
TRAFFIC COUNT AT EXIT GLACIER,2013,0,0,0,0,"1,770","11,384","15,837","13,053","4,799",414,0,0
TRAFFIC COUNT AT EXIT GLACIER,2012,0,0,0,0,"1,949","12,285","15,376","12,761","4,038",0,0,0
TRAFFIC COUNT AT EXIT GLACIER,2011,0,0,0,0,"4,715","11,564","16,999","11,128","4,579",0,0,0
TRAFFIC COUNT AT EXIT GLACIER,2010,0,0,0,0,"3,721","11,790","14,888","12,147","4,326",0,0,0
TRAFFIC COUNT AT EXIT GLACIER,2009,0,0,0,0,"4,078","8,617","8,617","9,951","2,298",594,0,0
TRAFFIC COUNT AT EXIT GLACIER,2008,0,0,0,0,581,"10,290","12,667","12,735","4,335",282,0,0
TRAFFIC COUNT AT EXIT GLACIER,2007,0,0,0,0,"1,316","10,338","13,506","12,735","3,936",935,0,0
TRAFFIC COUNT AT EXIT GLACIER,2006,0,0,0,0,"1,631","9,536","12,849","8,931","4,302",0,0,0
TRAFFIC COUNT AT EXIT GLACIER,2005,0,0,0,75,"2,719","9,423","12,803","10,287","4,436","1,089",140,0
TRAFFIC COUNT AT EXIT GLACIER,2004,0,0,0,0,"1,544","9,692","12,700","11,513","5,135",436,5,0
TRAFFIC COUNT AT EXIT GLACIER,2003,0,0,0,161,"3,473","8,992","12,333","10,737","4,363","2,287",459,0
TRAFFIC COUNT AT EXIT GLACIER,2002,0,0,0,0,"3,317","9,193","13,263","10,039","3,717",220,224,148
TRAFFIC COUNT AT EXIT GLACIER,2001,0,0,0,0,"2,178","10,785","13,090","10,400","4,129",939,0,0
TRAFFIC COUNT AT EXIT GLACIER,2000,0,0,0,0,"2,957","7,926","11,392","10,083","4,856",949,221,20
TRAFFIC COUNT AT EXIT GLACIER,1999,0,0,0,0,"2,322","10,958","15,108","11,377","4,551",816,0,0
TRAFFIC COUNT AT EXIT GLACIER,1998,0,0,0,0,"8,054","11,788","12,202","13,702","11,041","3,502",0,0

