Name,Textbox3
Mesa Verde NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2020,"3,066","3,254","4,551",0,"2,744","16,100","16,554","18,686","18,364","15,295",,
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2019,92,"1,813","6,421","12,896","23,915","32,394","34,881","26,937","27,369","18,663","4,563","3,579"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2018,"3,656","3,303","8,693","13,933","26,071","30,094","32,356","26,488","26,871","17,361","5,580","3,733"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2017,"2,623","2,623","8,641","13,949","26,293","33,608","36,485","29,590","28,478","19,151","6,065","4,957"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2016,"2,927","3,567","8,605","11,924","24,178","32,550","37,092","29,458","29,513","19,751","6,068","3,429"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2015,"2,706","2,675","6,233","12,342","22,261","29,331","34,764","27,944","25,704","16,962","4,800","3,935"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2014,"2,798","2,924","7,128","11,789","21,170","26,906","31,063","26,969","18,400","13,857","4,432","2,390"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2013,"2,636","2,561","6,054","9,656","20,878","25,976","30,153","25,572","22,036","3,895","4,756","3,463"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2012,"3,051","2,855","6,199","10,267","20,828","26,101","30,371","24,967","22,001","15,212","4,507","3,300"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2011,"2,864","2,671","6,194","10,069","23,500","33,250","35,500","30,500","25,500","13,923","4,322","3,567"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2010,"2,182","2,362","5,591","10,922","22,222","33,000","34,344","30,236","24,988","15,298","4,686","3,702"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2009,"2,529","2,676","6,369","10,159","22,040","32,984","36,144","30,585","25,540","15,043","5,092","3,057"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2008,"2,168","2,974","7,811","10,502","24,677","32,316","34,285","30,602","26,043","14,708","4,364","2,564"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2007,"2,248","3,197","7,774","10,482","23,869","31,782","34,056","32,461","26,752","13,018","5,578","4,123"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2006,"2,664","3,326","5,952","10,993","23,659","32,814","36,476","31,104","27,674","13,909","5,611","4,324"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2005,"2,659","2,596","7,200","9,994","22,700","30,294","33,160","28,276","22,287","12,719","5,051","3,791"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2004,"2,277","2,358","7,066","10,613","20,515","28,153","33,655","28,668","23,154","14,910","4,521","3,430"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2003,"2,805","2,539","5,465","10,810","20,248","29,215","30,498","28,861","22,282","16,495","5,225","3,072"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2002,"2,942","3,214","6,231","9,786","23,588","26,978","26,175","18,327","19,918","14,184","4,446","3,168"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2001,"3,546","3,344","7,003","11,544","22,105","30,576","38,363","33,861","23,904","15,984","5,465","3,030"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,2000,"2,978","2,951","6,348","11,348","23,319","31,432","25,888","21,523","24,864","15,767","5,077","3,757"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,1999,"3,081","3,261","8,519","10,473","25,744","36,635","45,879","42,237","32,096","18,128","5,635","3,816"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,1998,"2,523","2,468","6,095","10,987","25,311","35,007","44,415","39,839","31,154","18,599","4,000","3,606"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,1997,"2,329","2,487","7,284","11,000","24,701","36,977","48,007","43,427","30,075","17,421","4,442","2,890"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,1996,"2,354","2,820","7,454","12,381","27,509","36,583","48,892","34,441","29,183","17,911","4,882","3,071"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,1995,"2,564","3,291","7,324","11,759","25,445","34,683","54,422","44,120","32,488","19,012","4,882","1,753"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,1994,"3,025","2,066","8,149","11,287","27,092","37,789","50,841","47,444","32,367","21,108","4,499","3,349"
TRAFFIC COUNT AT MAIN ENTRANCE ON HWY 10,1993,"2,080","2,454","6,145","13,008","30,729","39,330","51,366","48,385","35,425","21,855","4,753","3,011"
TRAFFIC COUNT AT WETHERILL,2020,0,0,0,0,0,0,0,0,0,0,,
TRAFFIC COUNT AT WETHERILL,2019,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT WETHERILL,2018,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT WETHERILL,2017,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT WETHERILL,2016,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT WETHERILL,2015,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT WETHERILL,2014,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT WETHERILL,2013,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT WETHERILL,2012,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT WETHERILL,2011,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT WETHERILL,2010,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT WETHERILL,2009,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT WETHERILL,2008,0,0,0,0,"1,014","4,081","4,441",0,0,0,0,0
TRAFFIC COUNT AT WETHERILL,2007,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT WETHERILL,2006,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT WETHERILL,2005,0,0,0,0,0,"474,464","481,007","487,290",0,0,0,0
TRAFFIC COUNT AT WETHERILL,2004,0,0,0,0,433,"2,993","3,050","2,702",501,0,0,0
TRAFFIC COUNT AT WETHERILL,2003,0,0,0,0,610,"14,003","2,700","17,027",0,0,0,0
TRAFFIC COUNT AT WETHERILL,2002,0,0,0,0,"5,970","3,386","6,221","3,623","1,500",0,0,0
TRAFFIC COUNT AT WETHERILL,2001,0,0,0,0,521,734,"3,682","3,571",535,0,0,0
TRAFFIC COUNT AT WETHERILL,2000,0,0,0,0,679,"3,948","3,799",0,0,0,0,0
TRAFFIC COUNT AT WETHERILL,1999,0,0,0,0,"1,380","10,009","5,196","4,125",557,0,0,0
TRAFFIC COUNT AT WETHERILL,1998,0,0,0,0,"1,380","118,425","53,054","31,281",0,0,0,0
TRAFFIC COUNT AT WETHERILL,1997,0,0,0,0,"1,623","9,551","11,871","10,628",978,0,0,0
TRAFFIC COUNT AT WETHERILL,1996,0,0,0,0,"1,715","11,025","13,930","8,884",0,0,0,0
TRAFFIC COUNT AT WETHERILL,1995,0,0,0,0,149,"9,709","11,140","10,286",562,0,0,0
TRAFFIC COUNT AT WETHERILL,1994,0,0,0,0,938,"9,039","15,250","12,635","1,611",0,0,0
TRAFFIC COUNT AT WETHERILL,1993,0,0,0,0,0,0,0,0,0,0,0,0

