NPS Public Use Statistics Query Builder,,,,,,,,,,,
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Public%20Use%20Statistics%20(1979%20-%20Last%20Calendar%20Year),,,,,,,,,,,
,,,,,,,,,,,
Park,Unit Code,Park Type,Region,State,Year,Month,Recreation Visits,Recreation Hours,Tent Campers,RV Campers,Backcountry Campers
Acadia NP,ACAD,National Park,Northeast ,ME,2019,1,"8,532","56,311",0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2019,2,"9,154","60,414",0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2019,3,"20,161","133,064",0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2019,4,"68,046","394,023",0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2019,5,"226,156","1,670,692","10,416","3,327",0
Acadia NP,ACAD,National Park,Northeast ,ME,2019,6,"490,720","3,731,975","23,721","10,383",263
Acadia NP,ACAD,National Park,Northeast ,ME,2019,7,"756,439","5,049,909","36,135","11,853",357
Acadia NP,ACAD,National Park,Northeast ,ME,2019,8,"759,735","5,159,613","39,093","11,637",396
Acadia NP,ACAD,National Park,Northeast ,ME,2019,9,"603,273","3,807,421","22,425","15,174",185
Acadia NP,ACAD,National Park,Northeast ,ME,2019,10,"436,194","2,778,987","9,195","5,322",83
Acadia NP,ACAD,National Park,Northeast ,ME,2019,11,"46,011","276,064",0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2019,12,"12,865","77,191",0,0,0
Arches NP,ARCH,National Park,Intermountain ,UT,2019,1,"21,499","66,975",48,55,0
Arches NP,ARCH,National Park,Intermountain ,UT,2019,2,"30,239","90,766",0,0,2
Arches NP,ARCH,National Park,Intermountain ,UT,2019,3,"132,191","432,543",578,451,64
Arches NP,ARCH,National Park,Intermountain ,UT,2019,4,"168,788","610,290","1,612","2,130",46
Arches NP,ARCH,National Park,Intermountain ,UT,2019,5,"217,474","763,628","1,720","2,271",64
Arches NP,ARCH,National Park,Intermountain ,UT,2019,6,"225,206","792,881","2,754","1,828",59
Arches NP,ARCH,National Park,Intermountain ,UT,2019,7,"208,993","753,288","2,916","1,855",23
Arches NP,ARCH,National Park,Intermountain ,UT,2019,8,"184,890","652,632","2,025","1,704",47
Arches NP,ARCH,National Park,Intermountain ,UT,2019,9,"207,857","729,850","2,128","1,650",28
