Name,Textbox3
Badlands NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT INTERIOR ENTRANCE,2020,"2,982","2,771","4,123","4,348","10,960","19,095","24,575","25,407","12,240","5,766","3,660",
TRAFFIC COUNT AT INTERIOR ENTRANCE,2019,"2,221","2,800","3,636","7,383","13,881","23,521","27,472","24,153","18,784","7,938","3,878","3,074"
TRAFFIC COUNT AT INTERIOR ENTRANCE,2018,"2,890","2,885","3,821","5,313","18,391","30,177","21,741","18,793","14,448","6,032","3,226","2,790"
TRAFFIC COUNT AT INTERIOR ENTRANCE,2017,"2,992","3,039","4,425","5,696","11,169","19,363","22,681","22,633","14,255","7,233","3,939","2,790"
TRAFFIC COUNT AT INTERIOR ENTRANCE,2016,"2,987","3,249","4,445","5,665","10,952","18,928","23,074","21,641","15,450","7,846","4,036","2,979"
TRAFFIC COUNT AT INTERIOR ENTRANCE,2015,"3,050","2,800","4,123","5,340","10,726","18,045","22,052","23,477","12,915","7,003","3,856","3,227"
TRAFFIC COUNT AT INTERIOR ENTRANCE,2014,"2,385","2,577","3,588","5,292","9,464","15,092","15,945","19,461","11,268","6,142","3,601","3,322"
TRAFFIC COUNT AT INTERIOR ENTRANCE,2013,"3,211","2,966","3,916","4,900","9,654","16,204","19,241","20,031","11,954","5,182","3,794","2,481"
TRAFFIC COUNT AT INTERIOR ENTRANCE,2012,"2,479","2,719","4,250","5,792","8,166","9,945","13,725","14,916","8,571","4,051","3,540","3,078"
TRAFFIC COUNT AT INTERIOR ENTRANCE,2011,"2,348","2,373","4,423","4,661","8,166","14,347","17,863","17,969","12,385","5,609","3,505","3,013"
TRAFFIC COUNT AT INTERIOR ENTRANCE,2010,"2,568","2,365","1,700","4,834","9,111","16,307","20,471","22,296","12,130","5,830","3,466","2,721"
TRAFFIC COUNT AT INTERIOR ENTRANCE,2009,"2,332","2,275","2,780","6,814","9,893","17,970","22,944","20,118","12,657","4,928","3,666","2,499"
TRAFFIC COUNT AT INTERIOR ENTRANCE,2008,"2,569","2,344","2,967","2,216","8,226","14,792","20,326","19,564","12,555","5,209","2,534","2,291"
TRAFFIC COUNT AT INTERIOR ENTRANCE,2007,"2,804","2,402","3,474","4,862","9,214","16,159","18,144","18,564","10,246","5,679","3,217","2,497"
