Name,Textbox3
Big Bend NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2020,"6,080","6,462","7,736",0,0,"3,085",0,"1,463","3,110","5,747",,
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2019,"3,392","5,791","11,143","7,253","5,227","3,319","3,120","2,648","2,946","5,687","6,682","6,403"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2018,"4,535","5,517","9,871","5,968","4,945","2,877","2,773","2,500","2,723","4,697","6,046","5,403"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2017,"5,037","5,533","10,009","6,394","5,135","3,172","2,953","2,391","2,723","4,527","6,182","5,539"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2016,"4,322","4,922","9,136","5,662","5,109","3,266","2,727","2,300","2,800","4,948","6,048","5,714"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2015,"3,937","4,105","7,802","5,806","4,517","3,048","4,895","2,479","3,187","3,908","5,112","4,852"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2014,"3,800","3,208","5,854","4,341","3,217","2,121","2,050","2,017","1,960","3,163","3,638","3,341"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2013,"3,255","3,386","5,739","4,523","3,009","2,077","1,902","1,789","1,829","5,872","3,082","2,913"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2012,"3,141","2,787","4,827","3,638","2,499","2,119","1,856","1,587","1,763","2,496","3,673","2,585"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2011,"2,763","2,537","7,587","4,680","2,800","2,484","2,082","1,867","1,812","2,661","3,470","2,161"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2010,"3,348","3,431","5,887","4,790","3,367","2,694","2,247","2,534","3,690","4,454","3,848","2,500"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2009,"3,624","3,258","5,279","4,057","2,512","2,323","2,360","2,030","1,405","3,439","3,539","2,632"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2008,"3,409","4,344","5,733","4,212","2,760","1,913","1,690","1,641","1,815","2,664","2,841","2,702"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2007,"3,246","3,406","5,746","4,526","2,875","2,377","2,593","2,222","2,409","2,717","3,752","2,183"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2006,"3,425","3,571","6,015","4,224","2,446","2,070","1,867","1,524","1,822","2,751","4,028","2,250"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2005,"3,725","3,835","6,511","4,803","3,086","2,654","1,955","1,787","1,965","2,336","3,684","2,243"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2004,"4,072","3,715","4,547","3,228","2,932","2,451","1,956","1,772","2,175","2,872","3,859","2,986"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2003,"4,111","3,638","6,494","4,754","3,269","2,370","2,227","1,816","2,095","3,080","3,502","3,204"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2002,"4,294","4,303","7,293","5,044","3,428","2,982","2,382","2,195","1,596","2,923","3,531","3,025"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2001,"3,457","4,042","7,715","6,224","4,410","2,996","2,262","1,909","2,122","3,074","4,702","2,356"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,2000,"2,690","4,430","6,695","4,076","3,204","2,964","2,430",0,"2,114","3,879","4,091","2,546"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,1999,"2,690","4,430","6,695","5,519","3,718","2,655","1,816","1,889","2,498","3,192","2,922","3,546"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,1998,"3,371","4,311","7,201","5,078","4,341","2,914","1,803","1,817","2,438","3,192","2,922","3,546"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,1997,"3,537","3,998","6,542","4,011","3,541","3,168","2,734","2,232","2,019","3,221","3,493","4,436"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,1996,"2,248","3,815","7,479","2,443","3,714","3,855","2,734","2,652","2,763","3,095","4,189","3,240"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,1995,"4,555","4,500","10,898","5,294","3,273","2,638","2,484","1,970","2,324","3,152","3,558","1,563"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,1994,"4,269","4,509","8,958","6,871","3,584","4,848","2,725","2,268","2,830","2,942","4,780","1,968"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,1993,"4,035","3,766","9,423","7,076","3,765","4,191","2,748","3,640","3,275","2,832","4,890","3,949"
TRAFFIC COUNT AT ROUTE 11-PERS.GAP,1992,"3,746","3,950","7,274","7,381","4,233","3,743","2,980","2,729","2,621","3,452","3,526","3,142"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2020,"9,350","11,323","13,794",0,0,"6,487",0,"2,635","6,386","12,272",,
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2019,"7,056","9,423","18,037","10,000","8,000","4,354","4,722","3,641","4,709","9,337","11,103","9,800"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2018,"7,316","9,541","16,616","11,057","7,784","4,488","4,275","3,679","5,057","7,878","10,484","9,718"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2017,"7,357","9,160","16,067","11,018","7,960","5,266","4,503","3,611","4,399","7,895","9,943","8,974"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2016,"8,661","10,664","10,000","7,500","9,292","3,500","3,200","3,620","3,900","4,600","9,940","6,000"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2015,"6,836","9,765","15,994","9,600","6,347","3,043","3,350","3,930","2,917","4,409","9,940","5,700"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2014,"6,320","5,424","13,036","9,220","5,260","6,479","3,245","3,938","6,143","7,427","2,630","4,382"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2013,"4,994","13,000","8,137","7,343","10,900","4,216","3,203","3,332","3,331","5,066","5,066","5,122"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2012,"4,796","13,262","6,714","6,021","10,865","4,895","3,450","3,400","4,162","4,997","5,179","3,810"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2011,"16,041","11,868","6,375",859,"11,304","5,215","3,500","3,500","7,121","10,729","11,000","4,248"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2010,"5,466","5,561","17,240","14,055","7,525","2,324","3,500","9,768","1,290","1,139","14,575","7,101"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2009,"9,982","6,500","11,500","14,995","6,850","6,486","4,113","3,857","6,200","5,296","8,500","8,600"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2008,"4,915","6,605","12,051","14,842","12,095","5,522","3,526","3,568","6,002","7,265","8,176","8,492"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2007,"5,092","9,599","22,331","8,200","3,379","3,929","4,975","3,039","5,926","9,281","6,641","9,015"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2006,"2,742","6,174","10,268","9,342","6,436","4,760","3,496","5,594","2,982","5,449","10,332","3,318"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2005,"5,959","8,662","10,354","14,950","6,344","11,315","4,564","13,508","8,626","4,036","8,084","6,039"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2004,"3,790","5,618","10,850","15,236","4,188","4,188","4,663","8,864","6,553","6,084","10,037","10,288"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2003,"5,780","5,508","10,537","10,227","4,229","4,383","3,376","3,739","3,564","5,142","7,502","6,811"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2002,"7,109","6,247","11,468","8,272","7,339","4,267","3,410","3,639","3,935","6,114","5,331","6,268"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2001,"4,943","7,100","13,221","8,662","8,058","3,322","3,880","2,614","3,972","3,823","7,920","3,202"
TRAFFIC COUNT AT ROUTE 13-MAVERICK,2000,"5,883","8,185","4,320","3,693","2,660","2,961","3,558","2,657","4,993","4,993","7,228","3,441"
