Name,Textbox3
Bryce Canyon NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT ENTRANCE STATION,2020,"12,773","14,838","19,539","1,843","31,079","61,326","68,488","62,073","81,766","85,030","34,418",
TRAFFIC COUNT AT ENTRANCE STATION,2019,"13,352","10,641","29,953","60,159","78,907","82,213","84,178","83,917","86,281","68,963","26,118","16,922"
TRAFFIC COUNT AT ENTRANCE STATION,2018,"12,661","13,928","39,295","61,372","83,011","82,930","86,940","82,001","85,188","64,591","28,846","17,500"
TRAFFIC COUNT AT ENTRANCE STATION,2017,"10,063","12,093","32,473","46,060","80,168","74,122","85,434","85,862","82,897","65,127","29,303","19,639"
TRAFFIC COUNT AT ENTRANCE STATION,2016,"9,423","12,677","36,241","50,679","76,701","82,180","84,035","82,617","82,666","66,588","26,777","15,244"
TRAFFIC COUNT AT ENTRANCE STATION,2015,"8,486","11,056","24,449","48,077","67,515","93,499","80,986","76,505","75,076","55,799","18,957","13,432"
TRAFFIC COUNT AT ENTRANCE STATION,2014,"7,259","8,136","21,558","39,829","57,567","67,261","70,366","74,334","67,677","50,602","18,621","11,642"
TRAFFIC COUNT AT ENTRANCE STATION,2013,"5,846","6,717","20,643","35,204","59,794","65,942","72,869","67,125","63,500","26,696","15,000","9,791"
TRAFFIC COUNT AT ENTRANCE STATION,2012,"6,402","7,164","16,823","37,408","56,659","61,512","68,718","66,480","73,007","44,813","14,620","8,793"
TRAFFIC COUNT AT ENTRANCE STATION,2011,"5,614","5,938","14,311","32,492","50,398","62,224","69,159","69,705","61,101","42,338","13,041","8,349"
TRAFFIC COUNT AT ENTRANCE STATION,2010,"5,390","6,132","15,423","30,010","57,375","59,394","75,700","68,304","65,501","34,543","12,248","6,480"
TRAFFIC COUNT AT ENTRANCE STATION,2009,"5,621","6,551","15,131","32,912","53,903","58,253","66,621","64,893","59,669","42,161","13,987","6,909"
TRAFFIC COUNT AT ENTRANCE STATION,2008,"4,722","6,020","17,651","29,324","39,960","55,627","57,856","54,645","46,882","31,912","12,500","7,100"
TRAFFIC COUNT AT ENTRANCE STATION,2007,"4,890","5,992","15,703","32,080","46,823","50,749","51,629","54,226","48,828","35,788","13,546","6,451"
TRAFFIC COUNT AT ENTRANCE STATION,2006,"5,682","6,526","12,484","29,773","43,428","42,859","46,998","46,445","41,535","30,891","13,035","7,014"
TRAFFIC COUNT AT ENTRANCE STATION,2005,"4,646","7,065","15,841","22,249","44,298","50,886","55,420","52,080","46,681","31,251","12,482","7,158"
TRAFFIC COUNT AT ENTRANCE STATION,2004,"5,379","5,471","15,421","31,002","45,969","50,059","53,686","53,236","51,289","32,540","9,598","6,499"
TRAFFIC COUNT AT ENTRANCE STATION,2003,"6,389","5,965","13,483","25,943","41,378","51,089","49,878","52,219","49,520","39,721","12,466","6,834"
TRAFFIC COUNT AT ENTRANCE STATION,2002,"8,384","9,381","18,360","29,907","45,207","49,548","50,829","46,991","48,047","34,963","11,459","7,418"
TRAFFIC COUNT AT ENTRANCE STATION,2001,"9,269","9,356","16,406","28,779","46,483","52,191","57,394","57,212","47,698","35,242","14,159","8,276"
TRAFFIC COUNT AT ENTRANCE STATION,2000,"6,187","7,157","13,999","33,644","43,280","53,855","60,520","64,065","52,349","32,021","13,876","10,395"
TRAFFIC COUNT AT ENTRANCE STATION,1999,"7,458","6,884","18,209","25,650","36,945","51,163","62,314","70,391","62,977","41,698","14,843","6,430"
TRAFFIC COUNT AT ENTRANCE STATION,1998,"6,036","5,699","14,880","26,012","48,828","60,304","70,421","67,205","68,242","47,205","20,786","7,500"
TRAFFIC COUNT AT ENTRANCE STATION,1997,"5,528","7,024","29,453","28,262","50,516","57,256","62,156","72,935","63,008","44,102","12,335","6,512"
TRAFFIC COUNT AT ENTRANCE STATION,1996,"10,284","10,963","28,781","35,737","47,509","59,059","57,265","79,278","60,808","46,527","11,460","21,216"
TRAFFIC COUNT AT ENTRANCE STATION,1995,"5,840","8,183","14,003","29,702","49,743","60,544","71,776","70,654","66,132","38,890","7,921","5,679"
TRAFFIC COUNT AT ENTRANCE STATION,1994,"7,174","4,886","13,782","24,738","48,235","62,890","100,598","71,418","59,640","30,916","9,082","7,370"
TRAFFIC COUNT AT ENTRANCE STATION,1993,"4,031","5,142","11,476","28,257","52,696","59,200","76,050","72,884","65,265","35,837","11,496","6,220"
TRAFFIC COUNT AT RAINBOW GATE,2015,0,0,,,,,,,,,,
TRAFFIC COUNT AT RAINBOW GATE,2014,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT RAINBOW GATE,2013,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT RAINBOW GATE,2012,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT RAINBOW GATE,2011,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT RAINBOW GATE,2010,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT RAINBOW GATE,2009,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT RAINBOW GATE,2008,0,0,0,0,"50,126",0,0,0,0,0,0,0
TRAFFIC COUNT AT RAINBOW GATE,2007,0,0,0,0,0,0,0,0,0,0,0,0
