Name,Textbox3
Canyonlands NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT ELEPHANT HILL,2020,0,0,458,0,130,628,322,328,724,"1,296",,
TRAFFIC COUNT AT ELEPHANT HILL,2019,60,112,500,"1,510",0,600,192,138,500,710,348,88
TRAFFIC COUNT AT ELEPHANT HILL,2018,16,46,892,"1,030","1,120",124,296,136,302,278,288,44
TRAFFIC COUNT AT ELEPHANT HILL,2017,16,58,622,"1,136",520,204,194,116,308,386,138,56
TRAFFIC COUNT AT ELEPHANT HILL,2016,0,0,526,906,488,224,160,130,272,348,132,38
TRAFFIC COUNT AT ELEPHANT HILL,2015,12,72,280,896,604,222,120,138,316,392,142,8
TRAFFIC COUNT AT ELEPHANT HILL,2014,0,36,308,748,412,224,194,208,126,420,62,36
TRAFFIC COUNT AT ELEPHANT HILL,2013,0,0,456,592,708,224,166,82,122,264,96,0
TRAFFIC COUNT AT ELEPHANT HILL,2012,0,0,408,"1,508",846,362,126,122,434,228,150,12
TRAFFIC COUNT AT ELEPHANT HILL,2011,0,10,400,850,884,624,634,722,744,924,78,0
TRAFFIC COUNT AT ELEPHANT HILL,2010,0,0,636,884,684,326,130,160,608,774,84,20
TRAFFIC COUNT AT ELEPHANT HILL,2009,0,28,444,744,"1,080",326,316,166,416,424,160,6
TRAFFIC COUNT AT ELEPHANT HILL,2008,0,20,670,"1,024",720,286,230,240,296,494,168,14
TRAFFIC COUNT AT ELEPHANT HILL,2007,0,48,230,"1,004",978,288,260,186,576,430,180,28
TRAFFIC COUNT AT ELEPHANT HILL,2006,30,70,332,"1,266",588,270,160,300,326,474,116,120
TRAFFIC COUNT AT ELEPHANT HILL,2005,42,108,694,800,940,454,202,252,420,504,164,58
TRAFFIC COUNT AT ELEPHANT HILL,2004,114,226,178,"2,206","1,318",428,182,300,880,580,142,64
TRAFFIC COUNT AT ELEPHANT HILL,2003,52,140,214,"1,232","1,236",392,418,300,"2,608","1,036",354,90
TRAFFIC COUNT AT ELEPHANT HILL,2002,26,152,710,634,876,698,574,262,"2,892",616,324,80
TRAFFIC COUNT AT ELEPHANT HILL,2001,8,80,744,"1,230",902,448,372,244,428,760,576,18
TRAFFIC COUNT AT ELEPHANT HILL,2000,30,88,414,"1,048",860,0,324,270,892,478,214,60
TRAFFIC COUNT AT ELEPHANT HILL,1999,68,136,582,868,"1,130",638,336,996,490,624,296,8
TRAFFIC COUNT AT ELEPHANT HILL,1998,114,106,470,"1,480","1,010",784,610,528,538,596,172,32
TRAFFIC COUNT AT ELEPHANT HILL,1997,50,176,714,"1,536","1,094",746,472,622,664,638,222,26
TRAFFIC COUNT AT ELEPHANT HILL,1996,42,106,"1,324","1,060","1,094",954,358,232,242,262,202,124
TRAFFIC COUNT AT ELEPHANT HILL,1995,132,112,590,964,"1,828",650,682,"1,366",576,"2,992",52,24
TRAFFIC COUNT AT ELEPHANT HILL,1994,184,96,772,688,"1,348",598,344,430,640,592,140,180
TRAFFIC COUNT AT ELEPHANT HILL,1993,0,0,796,"1,340","1,316",0,252,544,412,650,270,78
TRAFFIC COUNT AT ELEPHANT HILL,1992,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT ELEPHANT HILL,1991,8,110,"1,126",0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT HORSESHOE CANYON,2020,21,35,66,0,263,169,73,56,324,392,,
TRAFFIC COUNT AT HORSESHOE CANYON,2019,34,55,187,472,372,271,71,63,209,261,198,68
TRAFFIC COUNT AT HORSESHOE CANYON,2018,46,126,199,421,364,161,46,83,184,219,203,61
TRAFFIC COUNT AT HORSESHOE CANYON,2017,37,53,286,396,461,170,85,195,209,398,172,71
TRAFFIC COUNT AT HORSESHOE CANYON,2016,19,41,430,"1,008",587,260,30,87,212,400,159,36
TRAFFIC COUNT AT HORSESHOE CANYON,2015,29,81,283,622,467,203,64,128,175,346,156,38
TRAFFIC COUNT AT HORSESHOE CANYON,2014,24,78,251,512,494,175,29,71,214,428,102,52
TRAFFIC COUNT AT HORSESHOE CANYON,2013,41,41,244,483,471,161,97,103,261,346,188,31
TRAFFIC COUNT AT HORSESHOE CANYON,2012,52,68,218,470,428,144,91,89,238,419,156,36
TRAFFIC COUNT AT HORSESHOE CANYON,2011,18,35,236,457,529,431,115,81,199,388,138,29
TRAFFIC COUNT AT HORSESHOE CANYON,2010,13,12,138,241,423,233,112,74,173,289,125,24
TRAFFIC COUNT AT HORSESHOE CANYON,2009,20,46,173,404,398,250,108,99,244,339,195,28
TRAFFIC COUNT AT HORSESHOE CANYON,2008,31,25,287,397,391,223,86,105,178,385,130,37
TRAFFIC COUNT AT HORSESHOE CANYON,2007,61,71,189,498,378,182,81,99,179,349,136,41
