Name,Textbox3
Capitol Reef NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Total Traffic Count at Bullfrog,2020,258,258,610,671,"1,460","1,166",450,664,"1,814","1,854",760,
Total Traffic Count at Bullfrog,2019,157,447,"2,595",174,"1,639",807,551,823,643,"1,253",555,575
Total Traffic Count at Bullfrog,2018,189,276,907,"1,578","1,116",751,564,780,798,605,548,495
Total Traffic Count at Bullfrog,2017,128,208,684,"1,080","1,129",952,608,667,620,"1,713",133,262
Total Traffic Count at Bullfrog,2016,112,222,565,740,990,564,504,487,609,854,567,848
Total Traffic Count at Bullfrog,2015,170,158,391,694,793,411,568,315,638,581,369,72
Total Traffic Count at Bullfrog,2014,137,227,313,678,866,454,327,591,677,523,981,196
Total Traffic Count at Bullfrog,2013,120,103,494,489,925,604,337,530,339,687,180,245
Total Traffic Count at Bullfrog,2012,187,190,340,668,814,690,420,518,586,753,357,102
Total Traffic Count at Bullfrog,2011,157,142,280,528,901,813,559,496,722,771,222,119
Total Traffic Count at Bullfrog,2010,39,30,303,629,842,685,592,394,701,608,425,119
Total Traffic Count at Bullfrog,2009,39,202,539,539,297,541,552,573,801,701,452,227
Total Traffic Count at Bullfrog,2008,214,252,589,447,"1,243",702,931,445,"1,131","1,048",565,215
Total Traffic Count at Bullfrog,2007,114,117,290,"1,081","1,160","1,094","1,322","1,041",640,"1,095",599,201
Total Traffic Count at Bullfrog,2006,160,131,359,811,843,902,"1,007",629,940,356,309,79
Total Traffic Count at Bullfrog,2005,214,69,327,751,"1,236","1,023",738,750,949,793,318,124
Total Traffic Count at Bullfrog,2004,184,151,588,704,"1,047",837,"1,028",794,721,536,164,283
Total Traffic Count at Bullfrog,2003,182,196,412,926,"1,120",878,655,625,912,805,281,183
Total Traffic Count at Bullfrog,2002,224,405,650,"1,306","1,814",878,998,963,"1,458","1,481",348,154
Total Traffic Count at Bullfrog,2001,268,98,405,"1,088","1,535","1,319","1,018","1,353","1,039",750,355,248
Total Traffic Count at Bullfrog,2000,195,212,401,987,"1,367","1,041",922,"1,094",793,"1,089",246,154
Total Traffic Count at Bullfrog,1999,"1,001","1,023","1,372","1,057","2,190",982,"1,396","1,004","1,062","1,065",847,178
Total Traffic Count at Bullfrog,1998,56,298,610,"1,033","1,246","1,338","1,662","1,162",950,824,606,960
Total Traffic Count at Bullfrog,1997,169,148,721,948,"1,375","1,358",985,"1,277","1,505","1,086",396,361
Total Traffic Count at Bullfrog,1996,420,586,432,834,"1,487","1,370","1,157","1,614","1,270",755,344,165
Total Traffic Count at Bullfrog,1995,205,266,538,859,"1,213",811,"1,055",945,"1,115",838,430,228
Total Traffic Count at Bullfrog,1994,152,113,391,807,"1,003",639,521,837,970,612,302,171
Total Traffic Count at Bullfrog,1993,200,23,258,756,"1,119",711,644,483,627,737,338,282
Total Traffic Count at Bullfrog,1992,4,4,"1,227","1,428","1,330","1,168","1,001","1,018","1,153","1,783",248,203
Total Traffic Count at Burr Trail,2020,414,232,697,739,"2,185","1,810",731,858,"1,404","3,698","1,260",
Total Traffic Count at Burr Trail,2019,192,210,"2,962",995,"2,844","1,543","1,043","1,467","1,044","2,251",781,807
Total Traffic Count at Burr Trail,2018,193,302,"1,453","2,327","1,955","1,337","1,026","1,362","1,505","1,741",916,286
Total Traffic Count at Burr Trail,2017,162,231,"1,214","1,862","2,065","1,936",867,"1,513","1,641","2,556","1,590",376
