Name,Textbox3
Carlsbad Caverns NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT MAIN ENTRANCE,2020,"9,781","1,762","6,703","1,000","1,100","3,450","7,376","6,490","6,219","7,919","3,188",
TRAFFIC COUNT AT MAIN ENTRANCE,2019,"1,398","9,011","18,832","14,805","17,002","20,548","22,681",0,"11,990","14,000","9,500","10,890"
TRAFFIC COUNT AT MAIN ENTRANCE,2018,"9,057","9,488","21,696","13,495","16,187","20,350","22,462","15,328","11,990","14,357","9,943","6,122"
TRAFFIC COUNT AT MAIN ENTRANCE,2017,"8,237","9,104","22,141","16,371","19,290","22,592","27,520","16,701","13,356","13,956","11,769","10,784"
TRAFFIC COUNT AT MAIN ENTRANCE,2016,"5,581","5,859","17,067","10,975","17,152","21,308","28,598","17,150","14,862","15,626","10,603","10,890"
TRAFFIC COUNT AT MAIN ENTRANCE,2015,"4,939","7,233","16,935","12,927","15,967","21,425","27,305","18,420","9,245","13,587","7,682","7,994"
TRAFFIC COUNT AT MAIN ENTRANCE,2014,"7,264","7,322","15,112","12,845","14,351","18,306","21,850","17,535","8,189","11,418","7,303","9,124"
TRAFFIC COUNT AT MAIN ENTRANCE,2013,"6,292","6,955","16,780","11,081","14,537","19,155","22,794","17,004","11,228","4,630","7,952","8,151"
TRAFFIC COUNT AT MAIN ENTRANCE,2012,"6,506","6,371","14,524","11,468","13,619","18,658","21,620","15,100","11,037","10,845","7,834","8,034"
TRAFFIC COUNT AT MAIN ENTRANCE,2011,"9,204","7,379","1,859","10,570","14,261","16,142","17,730","22,552","10,625","10,795","7,659","6,998"
TRAFFIC COUNT AT MAIN ENTRANCE,2010,"9,785","7,449","26,000","12,500","15,000","21,500","26,500","17,938","13,091","7,455","7,661","7,661"
TRAFFIC COUNT AT MAIN ENTRANCE,2009,"7,840","7,682","24,047","13,431","15,929","23,848","26,963","18,743","12,607","11,772","8,042","5,542"
TRAFFIC COUNT AT MAIN ENTRANCE,2008,"3,547","7,529","17,899","11,718","16,957","19,525","23,215","16,985","7,624","14,424","7,906","8,338"
TRAFFIC COUNT AT MAIN ENTRANCE,2007,"5,891","6,958","15,670","13,157","16,026","20,320","26,111","18,725","13,861","11,963","8,074","6,700"
TRAFFIC COUNT AT MAIN ENTRANCE,2006,"6,520","7,472","16,382","13,890","15,083","18,726","25,441","14,767","12,169","12,096","8,142","6,866"
TRAFFIC COUNT AT MAIN ENTRANCE,2005,"11,585","9,746","25,341","12,577","20,770","17,253","27,500","16,579","11,209","9,977","7,559","8,449"
TRAFFIC COUNT AT MAIN ENTRANCE,2004,"6,692","8,500","16,904","14,082","16,937","20,713","27,950","17,435","13,721","12,151","7,809","8,088"
TRAFFIC COUNT AT MAIN ENTRANCE,2003,"7,821","7,957","16,967","13,334","16,442","24,074","31,170","20,727","17,088","9,139","8,724","10,797"
TRAFFIC COUNT AT MAIN ENTRANCE,2002,0,0,0,0,0,0,"11,462","20,885","14,079","13,012","8,628","9,195"
TRAFFIC COUNT AT MAIN ENTRANCE,2001,"6,258","7,756","16,020","13,515","17,847","21,426","27,880","18,000",0,0,0,0
TRAFFIC COUNT AT MAIN ENTRANCE,2000,"7,679","9,423","17,219","14,322","17,457","22,244","26,946","17,961","13,594","12,066","7,283","6,646"
TRAFFIC COUNT AT MAIN ENTRANCE,1999,0,0,"19,093","16,794","20,495","28,625","34,375","22,179","16,121","14,813","10,477","8,439"
TRAFFIC COUNT AT MAIN ENTRANCE,1998,"9,209","9,951","18,733","16,820","20,963","27,629","34,136","23,867","17,448","13,500",0,"15,757"
TRAFFIC COUNT AT MAIN ENTRANCE,1997,"9,889","9,373","20,529","14,847","21,819","25,780","37,588","25,906","16,889","-309,254","10,380","8,379"
TRAFFIC COUNT AT MAIN ENTRANCE,1996,"8,344","10,682","19,715","18,524","30,536","37,359","26,199","18,500","17,042","12,103","10,215","9,223"
TRAFFIC COUNT AT MAIN ENTRANCE,1995,"9,257","10,719","20,492","17,420","24,029","29,447","24,298","35,672","16,407","6,582","7,800","7,102"
TRAFFIC COUNT AT MAIN ENTRANCE,1994,"7,081","9,780","19,642","16,085","23,000","21,858","35,000",0,0,"5,236","10,343","9,991"
TRAFFIC COUNT AT MAIN ENTRANCE,1993,"8,882","9,958","17,740","31,845","18,594","19,141","30,777","16,013","19,059","16,199","10,719","6,538"
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2020,503,456,825,759,892,"1,832",784,859,885,928,933,
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2019,577,673,"1,215","1,965","1,268","1,576","1,835","1,348","1,902","1,714","1,137",722
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2018,466,704,"1,254","3,167","1,361","5,719","6,732",930,"1,169","9,690",865,471
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2017,466,485,961,"3,162","7,989",784,874,630,646,580,"7,281",434
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2016,712,440,"1,792","1,810","3,134","1,409","3,210",296,"1,022",843,580,434
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2015,630,234,"1,190","1,910","2,421","1,611","3,414","1,260","1,006",916,720,259
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2014,846,943,"1,044","1,851","2,272","1,578","1,529","1,294","2,000",218,220,296
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2013,547,483,588,"1,891","1,587","1,381","1,489","2,600","4,054",508,896,649
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2012,527,762,985,"2,166","1,793","1,030","1,001",922,314,"1,194",785,684
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2011,551,942,"1,518","1,609","1,504","1,580","1,288",101,966,"1,600",749,747
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2010,450,600,"1,074","1,008","1,050","1,300","1,826","1,056",257,"4,431","4,541","1,490"
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2009,462,643,"1,074","1,120","1,047","1,300",982,746,966,811,800,445
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2008,338,421,"1,033","1,340","1,677","1,186","1,256",856,922,738,833,871
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2007,485,383,700,"1,001",933,"1,463","1,237",951,875,822,544,107
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2006,815,952,"1,277","1,997","1,310","1,971",163,"1,008",664,930,537,341
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2005,670,796,"1,502","1,618",243,"1,133","1,236","1,396",782,"1,252",964,582
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2004,624,0,725,630,"1,406",936,"1,144",880,787,662,614,364
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2003,515,677,192,"2,168","1,299","1,710","1,825","1,232",937,972,769,798
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2002,0,0,0,0,0,0,0,0,0,0,0,"2,896"
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2001,507,561,25,21,6,120,3,0,22,80,0,0
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,2000,701,75,878,"1,668","2,242",100,"1,452","1,303","1,079",567,462,502
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,1999,0,484,"1,094","1,327","1,054","1,341","1,045",206,879,676,702,676
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,1998,773,573,676,"1,664","1,936",893,"1,240",951,899,759,715,0
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,1997,656,0,"1,852",664,"2,063","1,205","1,947","1,284","1,662","1,167",653,502
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,1996,753,926,"1,235","1,547","2,086","1,430","1,760",0,"3,003","1,156",815,643
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,1995,"1,446","1,028",935,"1,559","1,568","2,237","1,133","1,089","1,197",999,925,596
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,1994,775,545,217,0,0,0,0,0,0,"8,669","8,992",0
TRAFFIC COUNT AT RATTLESNAKE SPRINGS,1993,0,0,0,0,"1,737",0,0,0,0,0,0,0

