Name,Textbox3
Crater Lake NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2020,"1,343","1,289","2,210",286,339,"16,246","34,908","53,000","6,848","6,848",,
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2019,"1,200",937,"2,000","6,624","18,670","31,582","40,719","34,935","23,994","11,179","5,808","2,966"
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2018,"3,546","3,077","4,643","8,246","17,502","31,087","39,593","27,868","24,322","14,344","7,348","1,600"
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2017,765,554,"3,445","5,946","15,077","50,000","50,000","35,623","24,675","10,497","3,829","3,564"
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2016,"1,230","2,834","3,542","8,059","14,584","28,365","43,861","38,020","28,264","10,304","4,081","1,970"
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2015,"4,146","3,413","5,509","6,687","12,644","19,800","30,000","22,544","25,866","9,918","5,047","1,016"
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2014,"2,965","1,815","6,232","4,002","8,756","17,352","25,180","25,000","19,000","9,000","3,800","4,000"
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2013,0,"2,200","3,809","5,100","7,194","16,304","24,597","22,099","16,929","2,774","3,417","3,683"
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2012,"3,150","2,225","1,850","11,036","8,064","15,746","23,526","22,103","16,172","6,800",0,0
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2011,"2,513","2,495","1,736","3,231","7,359","16,018","24,147","23,684","16,757","7,580","2,196",0
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2010,"1,906","2,053","3,502","2,968","10,113","16,320","25,790","24,681","17,361","7,371","3,481","1,858"
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2009,"2,116","1,866","2,222","4,098","10,092","15,345","24,498","24,330","15,740","6,893","3,073","1,516"
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2008,"4,625","4,955",696,"10,526","8,055","16,179","21,212","21,759","14,418","6,200","2,751","1,451"
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2007,"5,221",0,"2,200","8,481","8,772","15,400","23,085","22,275","15,069","9,358","9,358","1,693"
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2006,"1,300","1,395","1,737","3,730","8,015","15,460","22,380","20,854","15,708","7,246","10,000","1,700"
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2005,"2,010","2,356","3,730","3,989","9,198","16,266","20,071","20,014","13,718","7,057","10,368","1,481"
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2004,"1,989","1,435","3,882","4,386","9,636","16,480","22,048","21,384","16,086","8,020","2,354",300
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2003,"1,904","2,669","1,180","1,203","10,358","16,819","23,256","23,741","14,813","23,118","2,634","2,154"
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2002,"2,020","1,937","2,995","4,537","10,389","15,913","24,464","19,992","16,036","8,670","4,347","2,578"
TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,2001,"2,718","2,012","4,188","4,257","14,100","14,430","22,091","20,915","14,032","7,381","3,246","5,815"
