Name,Textbox3
Cuyahoga Valley NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2019,757,805,"1,525",717,761,939,"1,596","2,084","1,024",860,660,847
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2018,758,766,"1,454",673,"1,400",893,"2,969",906,892,727,641,901
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2017,743,780,"1,447",772,"1,638",896,"1,115",994,986,904,643,596
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2016,763,867,"1,837",713,"2,139","2,999","3,218","4,351","1,195",948,695,"1,043"
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2015,763,813,"1,751","2,374","2,592","2,889","3,328","4,049","1,174",935,626,"1,026"
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2014,762,921,"1,801","2,409","2,615","3,234","4,216","3,958","1,196","2,050","1,226",939
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2013,762,724,"1,960","2,616","2,427","2,994","3,715","3,956","2,800","1,159","1,403","1,047"
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2012,754,765,"1,961","2,701","2,554","3,613","4,717","4,346","3,015","1,549","1,329",982
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2011,652,684,911,"1,439","2,247","3,096","4,918","3,685","2,275","2,998","1,231","1,135"
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2010,881,543,"4,137","1,787","2,481","2,699","3,808","4,537","3,110","3,239","1,185","1,024"
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2009,881,"1,856","2,129","3,147","3,368","5,970","5,426","3,258","1,841","2,040","1,572",752
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2008,881,770,935,"1,404","2,119","3,014","3,963","4,028","1,841","1,957","2,013",962
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2007,"1,011",811,"1,790","1,813","1,726","2,566","2,840","2,916","3,416","1,817",952,962
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2006,567,970,981,"1,806","1,593","2,129","1,790","2,086","1,625","1,786",626,"1,097"
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2005,691,619,716,"1,402","2,000","1,892","1,648","1,907","1,324","1,699",940,624
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2004,654,953,"1,123","1,138","1,707","2,297","2,370","1,680","1,641","1,788","1,013",673
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2003,680,615,"1,044","1,403","1,831","1,910","1,896","1,713","1,298",315,672,604
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2002,970,938,400,"1,100","1,843","1,799","1,963","1,901","1,528","1,692","2,004",690
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2001,804,349,"2,500","1,016",596,"1,439","1,987","1,931","1,622","1,813","1,297",973
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,2000,"4,550","2,985","2,100","2,814","3,000","6,531","2,043","2,906",963,923,541,"2,912"
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,1999,"2,218","1,738","2,103","5,088","7,532","4,096","4,204","2,983","2,890",914,"1,896","2,194"
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,1998,800,"2,297","1,207","2,092","3,009","2,014","2,900","1,691",557,"2,650","1,500","1,400"
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,1997,773,"3,130",595,"1,450","1,000","2,000","3,005","3,405","1,502",508,"1,500","1,400"
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,1996,"1,829",242,200,"1,420",388,"1,975","2,491",250,593,"2,432","1,400","2,432"
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,1995,165,242,"1,210","1,400","12,379","2,178","2,291",314,550,"2,340","1,416",370
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,1994,799,"1,112","1,210","1,494","1,674","1,872","2,219","1,853",874,"3,960","1,461",245
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,1993,"1,979",637,"1,060","2,536","2,024","2,193","2,222","1,853","1,887","5,731","1,416","2,407"
ADJ TRAFFIC COUNT AT BLUE HEN FALLS,1992,0,0,341,564,805,925,"1,251","2,093","2,510","3,177",882,"1,374"
ADJ TRAFFIC COUNT AT BOSTON STORE,2019,360,349,545,388,467,666,"1,593","1,225","1,051",541,448,539
ADJ TRAFFIC COUNT AT BOSTON STORE,2018,301,367,548,410,641,438,"2,038",426,476,565,524,570
ADJ TRAFFIC COUNT AT BOSTON STORE,2017,471,266,766,383,994,417,464,300,"1,220",484,462,434
ADJ TRAFFIC COUNT AT BOSTON STORE,2016,331,412,847,355,"1,382","2,286","2,276","2,950","1,456",575,358,613
ADJ TRAFFIC COUNT AT BOSTON STORE,2015,235,324,789,"1,350","1,478","1,989","3,124","2,616","1,373",528,367,659
ADJ TRAFFIC COUNT AT BOSTON STORE,2014,403,466,818,"1,541","1,585","2,054","2,289","2,560","1,931","1,178",235,575
ADJ TRAFFIC COUNT AT BOSTON STORE,2013,379,447,934,"1,324","1,605","2,080","3,499","2,557","1,909",439,326,614
ADJ TRAFFIC COUNT AT BOSTON STORE,2012,307,633,892,"1,422","1,482","1,906","2,334","2,491","2,362","1,196",302,598
