Name,Textbox3
Death Valley NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Adj Traffic Count Phinney Canyon,2020,0,0,0,0,0,0,0,0,0,0,0,
Traffic Count at Ashford Road,2020,"1,702","1,721","1,647",372,107,90,382,268,301,590,"1,937",
Traffic Count at Ashford Road,2019,"1,543","1,656","2,871","2,719","2,441","1,417","1,650","1,644","1,345","1,260","1,816","1,471"
Traffic Count at Ashford Road,2018,"1,520","1,942","2,757","2,222","2,339","1,295","1,652","2,271","1,759","2,587","1,586","1,583"
Traffic Count at Ashford Road,2017,"1,538","1,372","2,409","2,554","2,153","1,389","2,185","2,724",821,"1,793","1,756","2,343"
Traffic Count at Ashford Road,2016,0,0,0,0,0,0,0,"1,307","2,102","1,811","3,926","2,007"
Traffic Count at Ashford Road,2015,"2,012","1,915","3,010","2,590","2,627","3,014","2,964","1,759","1,806",383,0,0
Traffic Count at Ashford Road,2014,"1,903","1,789","2,764","2,619","11,978","2,223","2,085","2,431","1,387","1,307","1,382","1,758"
Traffic Count at Ashford Road,2013,"1,770","1,621","2,471","2,455","1,956","2,019",974,0,0,0,"1,279","1,247"
Traffic Count at Ashford Road,2012,"3,200","3,205","2,453","2,467","1,877","2,071","2,245","1,930","1,290","1,139","1,279","1,115"
Traffic Count at Ashford Road,2011,"2,357",650,123,31,"1,053","5,723","5,723",0,"1,294",11,0,"1,840"
Traffic Count at Ashford Road,2010,"2,357",650,123,31,"1,053","5,723","5,723",883,"1,294",11,767,89
Traffic Count at Ashford Road,2009,327,125,123,31,"1,053","5,723",883,"1,377","1,294",943,767,89
Traffic Count at Ashford Road,2008,64,109,123,31,"2,524",103,"5,723","3,010","5,141",80,0,89
Traffic Count at Ashford Road,2007,46,"1,200","2,957",44,176,152,77,"2,950",38,67,79,81
