Name,Textbox3
Everglades NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Adjusted traffic count at Main Entrance / Homestead,2020,"4,006","31,901","18,575",0,"5,577","12,961","6,023","10,679","1,067","2,154",,
Adjusted traffic count at Main Entrance / Homestead,2019,"7,934","13,096","28,845","22,416","11,061","8,960",860,"9,916","11,086","10,698","19,363","20,326"
Traffic Count at Buttonwood Bridge,2020,0,0,,,,,,,,,,
Traffic Count at Buttonwood Bridge,2019,0,0,0,0,0,0,0,"5,561","4,395","6,316","6,316","6,316"
Traffic Count Shark Valley,2020,"8,267","7,419","7,841",0,0,"8,387","4,397","2,075","2,175","2,267",,
Traffic Count Shark Valley,2019,"3,814","3,551","4,000","4,329","4,329","3,086","3,086","3,688","2,234","2,307","5,265","6,134"
Traffic Count Shark Valley,1993,"8,721","10,239","11,758","8,301","8,496","7,049","8,131","6,133","3,085","3,805","3,217","5,628"
Traffic Count Shark Valley,1992,"10,123","13,153","13,485","9,606","8,008","4,508","4,898","5,000",0,0,"2,422","8,323"
Traffic Count Shark Valley,1991,"8,480","8,178","8,178","5,893","6,571","8,064","4,398","4,880","4,111","6,723","10,139","11,618"
Traffic Count Gulf Coast,2020,"6,310","8,442","4,828",0,"1,806","1,790","2,169","1,570","1,407","1,033",,
Traffic Count Gulf Coast,2019,"9,193",588,"4,176","4,182","4,177","1,569","1,569","2,293","1,734","2,750","3,952","7,037"
Traffic Count Gulf Coast,1993,"12,035","14,580","13,385","10,346","7,994","7,101","6,634","6,358","6,814","8,657","10,158","11,688"
Traffic Count Gulf Coast,1992,"13,644","16,417","15,618","15,209","9,992","7,089","6,170","4,950","2,178","8,662","9,376","9,830"
Traffic Count Gulf Coast,1991,"8,424","8,448","10,365","8,754","7,312","4,669","4,592","5,263","4,407","5,313","6,325","6,192"
Traffic Count East Everglades,2020,392,291,378,260,932,752,568,637,501,371,,
Traffic Count East Everglades,2019,315,315,315,315,315,315,315,315,315,315,315,561
Traffic Count East Everglades,1993,0,0,0,0,0,0,0,0,0,0,0,0
Traffic Count East Everglades,1992,0,0,0,0,0,0,0,0,0,0,0,0
Traffic Count East Everglades,1991,0,0,0,0,0,0,0,0,0,0,0,0

