Name,Textbox3
Glacier NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT BELLY RIVER,2012,0,0,0,0,0,0,0,0,,,,
TRAFFIC COUNT AT BELLY RIVER,2011,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT BELLY RIVER,2010,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT BELLY RIVER,2009,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT BELLY RIVER,2008,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT BELLY RIVER,2007,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT BELLY RIVER,2006,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT BELLY RIVER,2005,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT BELLY RIVER,2004,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT BELLY RIVER,2003,0,0,0,0,0,0,843,0,0,0,0,0
TRAFFIC COUNT AT BELLY RIVER,2002,0,0,0,0,0,"1,200","1,550","1,457","1,200",0,0,0
TRAFFIC COUNT AT BELLY RIVER,2001,0,0,0,0,"1,907","8,941","28,100","13,797","11,448",0,0,0
TRAFFIC COUNT AT BELLY RIVER,2000,0,0,0,0,"1,144","9,206","29,879","26,261","10,741",0,0,0
TRAFFIC COUNT AT BELLY RIVER,1999,0,0,0,0,"1,543","11,283","34,657","26,671","10,485",0,0,0
TRAFFIC COUNT AT BELLY RIVER,1998,0,0,0,0,"1,978","13,534","36,052","30,630","6,580",0,0,0
TRAFFIC COUNT AT CAMAS,2020,0,0,0,0,0,"6,817","17,946","16,256","11,763","5,537","1,277",
TRAFFIC COUNT AT CAMAS,2019,0,0,0,"2,126","4,553","9,234","12,764","11,078","7,925","3,396",722,0
TRAFFIC COUNT AT CAMAS,2018,0,0,0,0,"5,269","9,101","13,298","10,653","8,514","3,976","1,011",777
