Name,Textbox3
Grand Teton NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT BUFFALO ENTRANCE,2020,"5,092","5,176","6,051",0,"21,103","61,457","90,644","88,368","83,181","41,204",,
TRAFFIC COUNT AT BUFFALO ENTRANCE,2019,"5,881","3,856","7,057","10,014","43,104","75,669","90,679","76,010","68,652","25,153","6,873","4,806"
TRAFFIC COUNT AT BUFFALO ENTRANCE,2018,"6,054","5,174","6,342","9,342","43,419","78,952","93,588","79,760","70,283","25,600","5,710","5,568"
TRAFFIC COUNT AT BUFFALO ENTRANCE,2017,"4,773","4,720","5,922","9,602","38,039","77,819","89,986","84,215","65,246","25,180","5,929","5,787"
TRAFFIC COUNT AT BUFFALO ENTRANCE,2016,"4,914","5,503","6,238","9,235","38,804","79,101","91,196","71,620","65,215","24,800","7,332","4,556"
TRAFFIC COUNT AT BUFFALO ENTRANCE,2015,"5,289","6,216","7,049","8,322","33,048","69,166","84,341","70,961","61,701","23,916","5,040","4,392"
TRAFFIC COUNT AT BUFFALO ENTRANCE,2014,"5,233","4,118","5,189","6,903","29,444","62,107","77,843","64,155","46,774","20,007","5,148","4,572"
TRAFFIC COUNT AT BUFFALO ENTRANCE,2013,"4,359","4,674","5,330","7,892","28,482","54,939","63,801","65,230","53,390","9,543","5,103","4,177"
TRAFFIC COUNT AT BUFFALO ENTRANCE,2012,"4,474","4,352","5,204","7,458","25,869","57,078","76,316","67,262","53,490","27,636","4,783","3,088"
TRAFFIC COUNT AT BUFFALO ENTRANCE,2011,"3,505","4,395","4,724","5,008","20,596","54,272","75,968","65,063","52,789","19,920","4,431","4,232"
TRAFFIC COUNT AT BUFFALO ENTRANCE,2010,"4,443","4,925","5,976","6,033","23,969","59,003","80,035","72,525","55,764","22,273","5,336","3,509"
TRAFFIC COUNT AT BUFFALO ENTRANCE,2009,"5,327","4,883","5,246","6,293","26,492","58,223","74,450","64,954","50,578","17,903","4,844","4,004"
TRAFFIC COUNT AT BUFFALO ENTRANCE,2008,"4,354","4,876","4,830","5,832","25,963","60,688","70,359","62,730","48,036","18,694","6,091","4,504"
TRAFFIC COUNT AT BUFFALO ENTRANCE,2007,"4,980","4,804","5,466","7,481","26,230","58,097","77,054","64,816","52,089","17,257","5,865","3,912"
TRAFFIC COUNT AT BUFFALO ENTRANCE,2006,"4,813","4,859","5,015","5,460","22,395","54,375","71,942","59,963","47,369","16,513","5,721","4,440"
TRAFFIC COUNT AT BUFFALO ENTRANCE,2005,"5,150","5,129","5,563","6,162","20,451","54,462","73,567","63,307","43,575","17,176","6,182","4,181"
