Name,Textbox3
Great Smoky Mountains NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT BIG CREEK,2020,827,"1,130","1,261",0,"3,731","6,441","9,507","5,446","4,797",,,
TRAFFIC COUNT AT BIG CREEK,2019,31,170,"1,355","1,407","4,440","4,235","7,198","5,309","2,565","3,011","1,050",923
TRAFFIC COUNT AT BIG CREEK,2018,31,170,"1,355","2,465","4,230",607,"6,417","3,649","2,758","3,195",332,155
TRAFFIC COUNT AT BIG CREEK,2017,31,169,952,442,486,616,"7,826","5,022","2,931","3,574",332,155
TRAFFIC COUNT AT BIG CREEK,2016,31,169,420,201,552,616,675,527,680,"1,079",332,155
TRAFFIC COUNT AT BIG CREEK,2015,193,115,628,787,717,"1,435","1,115",856,529,777,340,155
TRAFFIC COUNT AT BIG CREEK,2014,425,605,566,"1,974","2,479","3,539","4,062","2,916","1,934","1,388",435,403
TRAFFIC COUNT AT BIG CREEK,2013,734,725,"1,458","2,069","3,900","3,207","4,307","3,064","1,924",908,750,435
TRAFFIC COUNT AT BIG CREEK,2012,734,725,"1,458","2,361","3,935","4,514","5,737","1,351","1,003",539,"1,047",800
TRAFFIC COUNT AT BIG CREEK,2011,495,773,"1,294","2,492","3,340","4,844","1,746","1,347",917,"2,624","1,047",800
TRAFFIC COUNT AT BIG CREEK,2010,"2,096",495,"1,438","2,563","3,045","2,749","5,410","3,723","2,635","2,784",520,286
TRAFFIC COUNT AT BIG CREEK,2009,605,495,"1,438","2,313",826,"2,749","2,801","3,345","2,696","3,166",852,506
TRAFFIC COUNT AT BIG CREEK,2008,605,495,"1,457","1,522","2,084","2,798","2,845","2,787","1,922","3,293",852,506
TRAFFIC COUNT AT BIG CREEK,2007,605,495,"1,066","1,548","3,097","3,273","3,612","2,761","2,084","2,118",852,506
