Name,Textbox3
Guadalupe Mountains NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT DOG CANYON,2020,147,135,206,0,0,70,86,39,20,214,,
TRAFFIC COUNT AT DOG CANYON,2019,106,49,428,336,236,195,202,152,49,397,133,141
TRAFFIC COUNT AT DOG CANYON,2018,49,44,65,141,154,81,134,"1,100",118,"1,085",127,75
TRAFFIC COUNT AT DOG CANYON,2017,82,93,182,149,129,132,79,89,84,57,49,48
TRAFFIC COUNT AT DOG CANYON,2016,89,116,176,145,270,18,174,99,126,151,142,78
TRAFFIC COUNT AT DOG CANYON,2015,26,111,233,101,0,0,344,77,192,148,156,56
TRAFFIC COUNT AT DOG CANYON,2014,76,96,117,107,137,139,136,143,112,144,184,33
TRAFFIC COUNT AT DOG CANYON,2013,54,43,145,126,118,114,145,131,328,60,129,53
TRAFFIC COUNT AT DOG CANYON,2012,72,154,180,137,149,116,171,104,107,251,111,51
TRAFFIC COUNT AT DOG CANYON,2011,88,137,184,148,110,96,122,104,109,139,123,65
TRAFFIC COUNT AT DOG CANYON,2010,80,80,178,158,169,396,147,161,141,177,160,81
TRAFFIC COUNT AT DOG CANYON,2009,111,146,281,189,218,181,196,197,205,217,181,86
TRAFFIC COUNT AT DOG CANYON,2008,129,120,157,110,169,138,149,156,135,159,150,131
TRAFFIC COUNT AT DOG CANYON,2007,93,94,166,126,135,157,154,184,149,184,165,125
TRAFFIC COUNT AT DOG CANYON,2006,105,105,173,133,143,132,168,138,156,245,166,90
TRAFFIC COUNT AT DOG CANYON,2005,101,93,181,133,143,136,179,-114,118,178,167,86
TRAFFIC COUNT AT DOG CANYON,2004,90,105,184,145,205,158,132,132,145,175,136,114
TRAFFIC COUNT AT DOG CANYON,2003,69,70,189,151,170,121,65,46,146,228,144,66
TRAFFIC COUNT AT DOG CANYON,2002,166,168,317,235,337,403,408,287,223,223,106,39
TRAFFIC COUNT AT DOG CANYON,2001,180,215,340,334,459,241,293,285,212,362,247,138
TRAFFIC COUNT AT DOG CANYON,2000,278,267,414,316,266,303,341,225,288,338,251,165
TRAFFIC COUNT AT DOG CANYON,1999,231,188,325,184,217,250,315,283,282,191,247,181
TRAFFIC COUNT AT DOG CANYON,1998,175,239,349,420,467,287,284,316,318,360,270,176
TRAFFIC COUNT AT DOG CANYON,1997,216,176,324,226,365,312,316,347,278,426,464,159
TRAFFIC COUNT AT DOG CANYON,1996,106,127,307,182,246,281,251,552,402,317,329,210
TRAFFIC COUNT AT DOG CANYON,1995,174,225,276,288,346,293,328,270,251,414,284,122
TRAFFIC COUNT AT DOG CANYON,1994,226,207,347,325,417,368,369,379,498,494,271,151
TRAFFIC COUNT AT DOG CANYON,1993,149,215,372,364,363,368,410,334,354,442,281,213
TRAFFIC COUNT AT DOG CANYON,1992,170,191,386,420,333,402,390,384,356,223,283,148
TRAFFIC COUNT AT FRIJOLE,2020,739,787,"1,010",0,0,163,497,491,730,"1,002",,
TRAFFIC COUNT AT FRIJOLE,2019,88,94,978,486,"1,914",596,579,433,582,"1,076",752,782
TRAFFIC COUNT AT FRIJOLE,2018,415,103,463,275,54,691,188,180,154,665,857,726
TRAFFIC COUNT AT FRIJOLE,2017,951,529,"2,698",689,564,488,477,336,370,688,695,532
TRAFFIC COUNT AT FRIJOLE,2016,342,446,825,572,485,454,389,383,491,613,704,570
TRAFFIC COUNT AT FRIJOLE,2015,450,310,734,819,479,453,801,346,80,550,448,426
TRAFFIC COUNT AT FRIJOLE,2014,262,320,646,"1,753",483,767,801,604,662,"1,075",875,500
TRAFFIC COUNT AT FRIJOLE,2013,296,437,686,572,541,414,357,337,387,214,591,452
TRAFFIC COUNT AT FRIJOLE,2012,525,624,"1,126",946,926,697,660,671,540,"1,856","1,149",359
TRAFFIC COUNT AT FRIJOLE,2011,582,"2,070","1,097",871,-646,818,889,735,908,"1,022",728,575
TRAFFIC COUNT AT FRIJOLE,2010,645,597,"1,253","1,314","1,054","1,137","1,298",673,814,"1,212","1,027",651
TRAFFIC COUNT AT FRIJOLE,2009,584,623,"1,148","1,020","1,083",880,"1,023",803,848,825,750,609
TRAFFIC COUNT AT FRIJOLE,2008,498,632,"1,069",911,889,729,752,684,968,816,730,542
TRAFFIC COUNT AT FRIJOLE,2007,459,452,983,832,816,731,887,720,736,952,736,465
