Name,Textbox3
Haleakala NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2020,"12,012","10,810","5,928",0,0,0,458,764,738,"1,813","7,127",
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2019,"29,843","10,751","13,928","12,032","13,827","14,077","15,687","14,619","14,821","12,994","11,418","14,160"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2018,"10,925","10,221","11,695","9,995","10,795","11,112","22,919","10,260","9,829","5,000","4,400","8,000"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2017,"10,816","9,054","11,745","10,389","10,783","11,028","12,000","8,924","8,924","5,026","4,432","10,128"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2016,"13,296","12,767","13,623","13,320","14,971","14,293","14,293","15,057","11,142","12,511","9,272","8,986"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2015,"12,713","10,389","12,366","12,302","14,173","13,947","15,268","12,868","11,920","9,206","10,364","11,517"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2014,"10,483","9,943","11,138","10,424","12,224","16,022","13,927","12,306","10,303","12,115","10,445","12,327"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2013,"27,167","26,603","31,244","8,005","23,285","33,755","33,407","37,686","31,490","13,106","25,985","27,102"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2012,"27,472","27,472","27,472","29,216","31,844","30,755","35,548","36,180","31,193","31,447","28,047","27,791"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2011,"25,312","24,375","28,722","27,548","31,160","30,996","27,472","27,472","27,472","27,472","27,472","27,472"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2010,"20,194","20,194","20,194","20,194","20,194","20,194","20,194","20,194","20,194","10,497","9,429","9,387"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2009,"20,194","20,194","20,194","20,194","20,194","20,194","20,194","20,194","20,194","20,194","20,194","20,194"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2008,"25,343","16,390","24,717","23,796","26,226","27,675","27,675","27,765","20,194","20,194","20,194","20,194"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2007,"25,343","16,390","24,717","23,796","26,226","27,673","29,082","32,667","20,194","25,327","1,900","19,622"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2006,"28,014","25,890","26,943","22,601","23,806","30,421","28,705","27,561","24,822","9,190",0,"19,622"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2005,"19,048","21,278","24,014","22,158","23,145","30,305","28,490","27,129","24,705","18,390","20,137","18,390"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2004,"22,113","22,112","27,043","23,247","24,201","24,978","25,212","24,728","22,797","20,076","20,483","22,049"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2003,"23,090","23,064","20,314","21,324","22,427","20,194","33,001","34,016","29,000","31,040","30,627","29,076"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2002,"20,195","29,313","20,752","18,503","26,788","51,032","53,962","52,470","19,672","30,590","25,792","20,012"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2001,"24,901","25,222","25,267","51,699","26,360","25,366","28,877","28,913","24,322","20,850","19,965","19,876"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",2000,"22,050","24,226","28,818","25,573","30,352","29,850","31,603","32,510","27,752","27,298","21,837","24,648"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",1999,"20,376","21,626","25,404","29,604","32,756","34,653","30,253","35,976","35,657","38,653","21,912","21,523"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",1998,"22,776","23,575","19,588","18,512","32,547","30,188","26,779","30,141","29,889","12,677","26,019","20,848"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",1997,"20,566","29,359","23,360","26,082","27,618","29,380","28,697","32,309","29,505","23,952","26,537","19,179"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",1996,"22,316","26,117","27,307","29,563","28,347","29,905","33,145","37,850","35,146","28,238","22,777","19,910"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",1995,"25,989","12,350","24,312","29,352","28,363","28,874","32,503","35,464","31,242","28,097","27,321","22,504"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",1994,"21,517","51,003","21,915","25,804","26,029","29,619","28,058","32,575","28,644","27,169","24,884","21,173"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",1993,"22,695","62,642","21,860","25,372","24,681","27,437","28,353","29,783","27,810","23,446","23,457","17,278"
"TRAFFIC COUNT AT COASTAL ENTRANCE (Kipahulu) 
pre 2010 was located on HWY 31",1992,"9,232","18,392","18,331","20,482","18,842","21,444","11,256","28,904","12,353","41,596","9,200","22,541"
TRAFFIC COUNT AT SUMMIT ENTRANCE,2020,"19,591","17,738","10,618",0,0,"2,230","4,951",704,"4,592","5,465","11,725",
TRAFFIC COUNT AT SUMMIT ENTRANCE,2019,21,"22,587","22,804","22,926","19,592","19,239","18,239","18,604","24,221","16,032","18,092","22,707"
