Name,Textbox3
Hawaii Volcanoes NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2020,"15,211","13,331","9,700",0,0,803,"2,382","1,928","1,500","1,729",,
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2019,0,0,0,0,"7,849","12,651","15,843","14,928","12,431","12,665","12,045","16,525"
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2018,"14,494","15,650","15,649","14,216",0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2017,"15,784","13,791","13,909","12,924","13,920","13,908","14,940","13,910","11,825","11,825","11,500","13,750"
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2016,"12,573","12,558","12,102","11,025","11,439","12,271","15,662","16,884","12,460","12,609","12,007","13,537"
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2015,"11,848","11,784","11,790","9,611","10,826","12,048","12,487","12,379","11,793","11,714","10,761","12,424"
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2014,"11,358","10,650","11,980","10,342","10,788","11,262","12,707","12,084","11,115","11,159","10,339","11,950"
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2013,"11,322","11,303","11,750","10,368","10,217","10,428","11,544","11,798","10,143","5,322","9,641","10,513"
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2012,"7,620","7,060","7,252","5,919","9,978","8,997","11,458","11,191","9,607","10,205","10,496","10,701"
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2011,"8,337","8,410","8,082","8,537","8,670","9,475","10,644","12,899","12,543","7,050","8,583","6,787"
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2010,"4,771","8,217","9,436","7,712","7,857","8,882","9,426","9,098","8,198","7,798","7,780","8,247"
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2009,"7,456","7,363","8,056","7,750","8,230","8,080","8,834","9,002","7,578","7,548","7,063","7,537"
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2008,"9,108","9,128","8,919","5,655","7,474","6,872","7,682","7,000","5,833","7,113","6,439","6,784"
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2007,0,884,0,"6,780","12,327","7,281","10,722","11,342","8,971","9,036","8,600","8,169"
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2006,0,0,0,0,0,0,0,0,0,"27,182","39,932",0
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2005,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2004,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2003,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2002,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2001,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),2000,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),1999,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),1998,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),1997,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),1996,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),1995,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),1994,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),1993,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),1992,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),1991,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CHAINS OF CRATER ROAD (INFO ONLY),1990,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT ENTRANCE LANE 1,2020,"30,947","28,783","18,286",0,0,"6,014","12,710","12,232","11,839",0,,
TRAFFIC COUNT AT ENTRANCE LANE 1,2019,"26,108","25,034","28,016","25,706","27,185","27,564","31,144","29,900","25,586","26,428","27,743","30,339"
TRAFFIC COUNT AT ENTRANCE LANE 1,2018,"38,389","36,757","40,845","37,354","12,261",0,0,0,"7,434","22,760","23,803","25,797"
TRAFFIC COUNT AT ENTRANCE LANE 1,2017,"41,705","33,784","40,080","37,291","38,199","39,495","43,336","39,394","32,797","33,825","33,343","34,693"
TRAFFIC COUNT AT ENTRANCE LANE 1,2016,"33,496","33,496","35,259","31,391","33,122","34,699","38,233","40,035","30,270","37,093","35,650","37,211"
TRAFFIC COUNT AT ENTRANCE LANE 1,2015,"34,070","32,511","35,145","35,422","42,781","37,699","40,518","37,675","28,996","32,639","29,280","32,980"
TRAFFIC COUNT AT ENTRANCE LANE 1,2014,"31,442","31,480","32,860","31,004","31,295","31,864","34,847","33,336","30,110","30,253","28,705","31,502"
TRAFFIC COUNT AT ENTRANCE LANE 1,2013,"31,308","28,973","30,835","28,473","28,925","31,186","35,954","29,801","30,369","17,066","29,100","31,451"
TRAFFIC COUNT AT ENTRANCE LANE 1,2012,"25,000","24,500","26,500","24,500","31,186","28,425","31,161","30,676","24,789","29,100","28,412","28,567"
TRAFFIC COUNT AT ENTRANCE LANE 1,2011,"24,912","24,553","27,080","23,718","23,962","26,173","30,582","28,694","23,047","23,977","24,500","23,000"
TRAFFIC COUNT AT ENTRANCE LANE 1,2010,"26,271","23,800","27,073","24,604","25,025","26,073","30,710","28,500","24,521","24,215","23,523","23,858"
TRAFFIC COUNT AT ENTRANCE LANE 1,2009,"22,890","21,281","23,502","22,303","23,862","27,805","27,654","25,922","22,334","20,665","20,581","24,047"
TRAFFIC COUNT AT ENTRANCE LANE 1,2008,"25,263","22,688","26,147","18,032","26,784","26,407","29,778","27,447","22,536","24,217","21,805","21,971"
TRAFFIC COUNT AT ENTRANCE LANE 1,2007,"27,384","25,755","26,403","28,077","28,002","29,247","31,170","28,700","24,290","26,289","24,737","24,458"
TRAFFIC COUNT AT ENTRANCE LANE 1,2006,"25,449","23,928","25,944","25,850","25,774","28,556","39,964","29,663","25,988","25,988","24,870","25,965"
TRAFFIC COUNT AT ENTRANCE LANE 1,2005,"24,678","25,735","24,678","22,599","22,599","22,599","28,320","42,013","44,239","30,577","50,528","33,660"
TRAFFIC COUNT AT ENTRANCE LANE 1,2004,"24,678","25,735","18,886","19,323","26,347","23,325","25,740","27,364","27,702","27,702","23,248","22,599"
TRAFFIC COUNT AT ENTRANCE LANE 1,2003,"24,678","25,735","18,886","19,323","26,347","23,325","25,740","27,364","27,702","27,702","23,248","22,599"
TRAFFIC COUNT AT ENTRANCE LANE 1,2002,"24,678","25,735","18,886","19,325","26,347","23,325","25,740","27,364","20,525","27,702","23,248","22,599"
TRAFFIC COUNT AT ENTRANCE LANE 1,2001,"24,678","25,735","18,886","19,325","26,347","23,325","25,740","27,364","20,525","27,702","23,248","22,599"
TRAFFIC COUNT AT ENTRANCE LANE 1,2000,"28,556","26,530","21,099","19,216","37,095","25,854","29,563","30,313","21,699","41,729","21,764","21,340"
TRAFFIC COUNT AT ENTRANCE LANE 1,1999,"25,784","25,388","20,474","18,874","33,048","24,975","28,160","29,293","24,632","36,268","22,499","22,168"
TRAFFIC COUNT AT ENTRANCE LANE 1,1998,"19,133","24,368","18,955","18,923","29,913","24,308","27,007","28,382","20,265","32,270","23,395","20,633"
TRAFFIC COUNT AT ENTRANCE LANE 1,1997,"40,751","29,834","23,867","19,853","48,324","28,278","33,523","33,265","20,199","56,649","19,399","21,220"
TRAFFIC COUNT AT ENTRANCE LANE 1,1996,"17,470","21,963","18,599","17,847","20,907","22,338","23,949","25,974","20,365","19,884","24,704","24,652"
TRAFFIC COUNT AT ENTRANCE LANE 1,1995,"19,603","21,307","17,615","19,069","20,507","22,309","23,548","25,907","20,232","20,278","26,083","16,028"
TRAFFIC COUNT AT ENTRANCE LANE 1,1994,"15,792","22,316","17,496","19,997","20,189","21,977","24,133","26,092","19,868","19,954","24,743","22,979"
TRAFFIC COUNT AT ENTRANCE LANE 1,1993,"24,101","22,267","20,685","14,475","22,020","22,732","24,168","25,924","20,997","19,422","23,285","24,893"
TRAFFIC COUNT AT ENTRANCE LANE 1,1992,"18,916","19,338","14,664","22,734","19,311","22,218","22,343","25,706","19,832","21,439","30,223","24,257"
TRAFFIC COUNT AT ENTRANCE LANE 1,1991,"36,671","49,897","17,139","22,782","19,237","20,981","25,890","26,648","18,777","19,000","20,723","19,785"
TRAFFIC COUNT AT ENTRANCE LANE 1,1990,"25,000","19,879","17,154","18,803","19,262","20,606","20,859","23,502","18,914","17,827","18,909","30,636"
TRAFFIC COUNT AT ENTRANCE LANE 2,2020,"20,070","19,214","10,830",0,0,"2,927","6,222","4,360","3,894",0,,
TRAFFIC COUNT AT ENTRANCE LANE 2,2019,"21,852","21,525","23,083","21,122","19,883","16,768","20,242","18,576","15,732","16,538","15,179","21,240"
TRAFFIC COUNT AT ENTRANCE LANE 2,2018,"33,029","31,228","34,222","32,960","10,197",0,0,0,"5,910","18,122","18,805","21,369"
TRAFFIC COUNT AT ENTRANCE LANE 2,2017,"32,600","30,840","32,494","28,097","29,803","30,396","32,859","30,517","27,474","28,760","24,632","32,021"
TRAFFIC COUNT AT ENTRANCE LANE 2,2016,"30,440","29,711","30,545","25,604","28,456","30,524","33,587","29,731","25,140","27,891","27,622","31,287"
TRAFFIC COUNT AT ENTRANCE LANE 2,2015,"26,607","25,342","28,037","27,696","33,371","26,636","28,049","25,613","25,215","24,916","23,654","28,343"
TRAFFIC COUNT AT ENTRANCE LANE 2,2014,"26,998","26,350","26,795","23,540","23,131","25,579","29,001","24,846","22,250","22,587","22,585","26,695"
TRAFFIC COUNT AT ENTRANCE LANE 2,2013,"24,681","24,342","26,713","23,675","23,068","23,437","26,681","23,381","21,509","12,046","21,094","23,179"
TRAFFIC COUNT AT ENTRANCE LANE 2,2012,"21,500","20,000","23,750","19,500","18,197","16,303","25,807","24,608","20,802","23,681","23,511","23,779"
TRAFFIC COUNT AT ENTRANCE LANE 2,2011,"23,803","19,750","24,369","18,571","19,502","23,425","24,466","24,090","20,730","18,600","21,000","19,500"
TRAFFIC COUNT AT ENTRANCE LANE 2,2010,"18,137","17,000","19,710","21,141","22,636","21,059","22,376","17,916","19,890","18,795","20,242","21,104"
TRAFFIC COUNT AT ENTRANCE LANE 2,2009,"17,853","19,338","23,264","21,113","18,466","18,561","21,759","19,159","17,438","15,155","17,142","18,524"
TRAFFIC COUNT AT ENTRANCE LANE 2,2008,"20,872","18,744","21,603","15,122","19,127","16,980","20,405","19,449","16,462","18,676","16,492","17,501"
TRAFFIC COUNT AT ENTRANCE LANE 2,2007,"23,321","20,894","22,205","21,900","21,303","18,900","24,005","21,502","18,598","18,593","18,881","19,859"
TRAFFIC COUNT AT ENTRANCE LANE 2,2006,"24,486","24,442","23,115","22,787","21,913","49,983","15,929","26,781","19,771","19,771","18,483","24,925"
TRAFFIC COUNT AT ENTRANCE LANE 2,2005,"19,203","20,454","19,203","14,462","14,462","14,462","19,372","30,649","31,546","38,126","35,354","22,459"
TRAFFIC COUNT AT ENTRANCE LANE 2,2004,"19,203","20,454","19,956","16,923","13,722","18,345","20,434","21,418","20,342","20,342","20,926","14,462"
TRAFFIC COUNT AT ENTRANCE LANE 2,2003,"19,203","20,454","19,956","16,923","13,722","18,345","20,434","21,418","20,342","20,342","20,926","14,462"
TRAFFIC COUNT AT ENTRANCE LANE 2,2002,"19,203","20,454","19,956","16,923","13,722","18,345","20,434","21,418","15,689","20,342","20,926","14,462"
TRAFFIC COUNT AT ENTRANCE LANE 2,2001,"19,203","20,454","19,956","16,923","13,722","18,345","20,434","21,418","15,689","20,342","20,926","14,462"
TRAFFIC COUNT AT ENTRANCE LANE 2,2000,"24,726","25,488","20,730","19,754","10,287","21,940","25,133","25,558","16,925","28,053","24,607","14,324"
TRAFFIC COUNT AT ENTRANCE LANE 2,1999,"21,918","23,555","19,381","18,231","11,596","20,500","23,259","23,962","20,043","25,033","23,239","14,924"
TRAFFIC COUNT AT ENTRANCE LANE 2,1998,"15,133","22,066","18,133","17,389","12,511","19,380","21,705","22,565","15,096","22,786","22,407","13,815"
TRAFFIC COUNT AT ENTRANCE LANE 2,1997,"37,127","30,844","24,675","23,644","6,753","25,941","30,436","30,147","15,637","36,341","28,177","14,233"
TRAFFIC COUNT AT ENTRANCE LANE 2,1996,"13,495","17,755","15,326","13,660","15,526","16,178","17,635","18,885","14,887","15,971","19,132","16,724"
TRAFFIC COUNT AT ENTRANCE LANE 2,1995,"15,664","17,595","14,398","14,864","15,254","16,022","17,045","18,665","14,764","16,046","19,913","10,488"
TRAFFIC COUNT AT ENTRANCE LANE 2,1994,"13,008","18,030","14,436","15,482","15,561","16,198","18,144","19,118","14,880","15,977","19,074","15,488"
TRAFFIC COUNT AT ENTRANCE LANE 2,1993,"17,733","17,642","17,143","10,634","15,765","16,318","17,718","18,873","14,989","15,890","18,409","14,772"
TRAFFIC COUNT AT ENTRANCE LANE 2,1992,"16,253","17,113","11,614","18,476","14,436","15,549","15,274","18,003","14,423","16,273","22,258","16,944"
TRAFFIC COUNT AT ENTRANCE LANE 2,1991,"16,971","16,057","14,550","17,337","16,482","16,728","21,441","20,479","15,229","15,767","16,555","14,747"
TRAFFIC COUNT AT ENTRANCE LANE 2,1990,"18,000","18,854","16,128","16,680","16,773","17,045","16,985","19,342","15,705","15,629","16,414","12,625"

