Name,Textbox3
Hot Springs NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2020,"6,955","6,262","13,021","9,357","11,208","12,396","15,001","17,799","10,991","10,983","8,366",
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2019,"6,856","6,206","12,445","9,873","11,462","12,342","15,979","15,748","10,991","10,167","8,228","6,106"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2018,"6,439","7,255","14,879","9,123","10,918","11,724","16,014","14,568","10,842","10,887","8,186","5,908"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2017,"6,805","7,187","13,947","9,873","11,462","12,404","15,029","14,113","10,634","11,987","7,828","6,793"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2016,"7,314","5,349","12,947","8,875","11,314","10,755","14,295","16,347","12,558","11,362","10,399","9,409"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2015,"7,362","5,315","10,885","9,040","10,885","14,755","13,689","12,912","10,943","10,513","7,190","5,562"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2014,"6,362","5,923","9,565","9,040","11,169","12,070","20,866","20,800","9,978","6,084","7,539","2,859"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2013,"4,352","5,225","9,379","8,789","9,760","8,634","16,193","8,670","10,098","4,100","7,974","4,917"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2012,"4,523","5,741","9,963","9,231","10,832","15,807","10,101","11,838","9,594","10,143","6,038","4,458"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2011,"4,439","4,373","9,454","8,263","11,500","12,500","10,624","11,750","9,612","8,523","7,112","5,749"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2010,"6,175","5,025","12,086","7,411","11,165","12,965","10,659","11,500","10,608","10,313","7,286","5,109"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2009,"6,225","6,031","11,319","9,207","10,502","12,000","7,623","11,668","9,578","11,800","9,600","5,283"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2008,"5,679","6,208","10,806","9,387","10,163","12,063","14,865","12,435","8,651","9,938","9,795","6,551"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2007,"3,643","5,106","10,347","9,049","6,150","12,577","16,000","10,500","5,323","10,312","8,444","6,433"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2006,"5,579","4,369","9,500","9,291","9,535","9,535","15,012","10,411","10,411","9,670","8,080","5,595"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2005,"4,600","5,200","9,608","9,675","10,107","11,000","16,000","10,325","9,673","8,941","7,951","5,454"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2004,"5,001","6,838","8,407","8,407","8,829","11,000","16,000","10,393","10,393","9,038","6,808","13,515"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2003,"4,465","4,146","9,916","10,784","11,405","9,501","1,992","11,622","9,256","9,236","8,250","4,944"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2002,"6,813","4,604","9,508","9,333","11,492","14,665","16,033","8,206","13,718","8,902","8,378","5,311"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2001,"3,130","5,163","7,915","10,899","8,751","12,313","13,976","16,057","12,591","10,879","8,955","5,461"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,2000,"3,440","5,064","7,846","15,462","7,833","10,433","18,337","10,985","9,876","10,005","6,075","1,439"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,1999,"4,267","5,951","8,459","10,856","11,955","13,514","17,410","12,920","11,634","10,575","8,868","3,561"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,1998,"5,561","6,592","17,323","11,613","13,135","15,478","17,217","13,787","11,978","11,477","10,254","4,448"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,1997,"4,163","6,959","12,672","10,730","11,826","14,699","19,213","15,456","11,805","13,915","8,055","5,835"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,1996,"3,839","5,640","10,882","11,591","13,194","15,897","18,642","15,458","12,813","12,935","8,142","6,877"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,1995,"5,630","6,123","11,501","12,056","14,174","16,027","20,971","15,795","13,817","13,287","9,441","4,298"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,1994,"4,524","6,455","12,473","11,905","13,509","15,967","20,702","17,154","14,507","13,108","8,959","8,038"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,1993,"4,649","7,547","12,291","12,965","15,026","16,088","20,848","16,090","13,354","13,751","8,647","6,721"
TRAFFIC COUNT AT HOT SPRINGS MOUNTAIN,1992,"6,302","8,510","13,560","12,691","14,842","16,813","20,721","19,080","12,917","15,322","8,517","6,314"
TRAFFIC COUNT AT WEST MOUNTAIN DRIVE (NORTH),2020,"7,897","7,722","11,040","9,267","10,287","10,696","12,322","14,874","12,885","12,747","9,676",
TRAFFIC COUNT AT WEST MOUNTAIN DRIVE (NORTH),2019,"11,510","10,063","12,015","9,057","10,126","10,380","12,384","13,148","10,924","9,817","8,107","7,401"
TRAFFIC COUNT AT WEST MOUNTAIN DRIVE (NORTH),2018,"11,575","9,400","11,995","9,146","10,050","10,755","12,141","12,251","10,660","10,217","8,744","7,011"
TRAFFIC COUNT AT WEST MOUNTAIN DRIVE (NORTH),2017,"11,663","9,208","11,375","8,673","10,407","10,755","12,326","12,232","11,148","10,385","8,078","7,733"
TRAFFIC COUNT AT WEST MOUNTAIN DRIVE (NORTH),2016,"10,263","5,127","10,375","9,869","9,691","9,722","12,061","13,811","13,504","10,537","8,252","7,890"
TRAFFIC COUNT AT WEST MOUNTAIN DRIVE (NORTH),2015,"12,150","15,518","9,440","9,589","11,162","11,869","12,696","12,482","9,520","9,838","8,382","8,239"
TRAFFIC COUNT AT WEST MOUNTAIN DRIVE (NORTH),2014,"11,899","11,064","8,259","8,007","9,320","8,801","12,695","14,962","9,787","8,107","7,078","6,134"
TRAFFIC COUNT AT WEST MOUNTAIN DRIVE (NORTH),2013,"11,899","6,084","8,482","9,591","9,672","7,363","10,927","7,767","9,339","3,436","6,913","5,058"
TRAFFIC COUNT AT WEST MOUNTAIN DRIVE (NORTH),2012,"12,105","8,248","10,406","11,156","12,191","11,430","13,252","12,137","9,325","9,026","9,270","8,500"
TRAFFIC COUNT AT WEST MOUNTAIN DRIVE (NORTH),2011,"10,974","7,500","11,240","11,002","12,552","11,001","13,500","10,767","11,215","9,511","9,030","8,055"
TRAFFIC COUNT AT WEST MOUNTAIN DRIVE (NORTH),2010,"12,412","7,361","13,813","10,377","12,077","12,211","13,104","11,776","1,238","11,487","9,625","13,449"
TRAFFIC COUNT AT WEST MOUNTAIN DRIVE (NORTH),2009,"10,548","9,525","10,592","11,736","11,623","12,262","13,639","13,503","7,100","11,500","7,500","10,989"
TRAFFIC COUNT AT WEST MOUNTAIN DRIVE (NORTH),2008,"9,963","10,197","11,915","11,511","12,512","12,034","12,765","12,505","10,243","11,111","10,927","8,946"
TRAFFIC COUNT AT WEST MOUNTAIN DRIVE (NORTH),2007,"16,467","6,382","15,514","14,956","26,351","15,300","14,905","28,445","14,685","14,722","12,549","10,410"
TRAFFIC COUNT AT WEST MOUNTAIN DRIVE (NORTH),2006,"10,894","10,085","14,621","15,342","14,933","14,933","16,337","16,155","16,155","15,507","13,833","12,675"
