Name,Textbox3
Indiana Dunes NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT BAILLY/CHELLBERG,2020,"1,962","2,739","4,853","4,914","6,450","6,925","3,361","7,746",,,,
TRAFFIC COUNT AT BAILLY/CHELLBERG,2019,"4,467","3,938","4,721","6,188","3,525","5,734","5,106","6,336","7,125","4,265","2,929","2,590"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2018,"4,195","4,208","8,913","6,059","5,631","5,094","8,236","4,748","8,426","10,343","4,069","1,761"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2017,"4,328","5,784","5,863","5,652","6,515","5,646","6,951","12,940","11,966","4,755","5,791","4,438"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2016,"4,262","4,896","8,969","9,202","10,584","7,538","6,421","5,888","7,444","7,970","6,612","4,084"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2015,"3,600","3,294","6,216","5,725","5,738","7,339","12,279","5,253","6,941","8,131","5,757","6,727"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2014,"2,451","1,335","5,611","5,493","5,954","5,548","5,730","5,242","5,375","7,807","4,473","3,655"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2013,"4,255","3,992","5,801","6,230","5,860","6,338","7,601","5,840","7,533","4,892","5,287","4,097"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2012,"4,116","4,590","7,292","6,247","6,323","6,936","6,312","5,916","7,769","15,517","5,596","4,252"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2011,"4,491","4,087","5,045","5,882","6,702","5,433","6,209","6,305","7,668","7,668","4,311","4,260"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2010,"4,425","4,324","7,031","7,862","7,353","5,900","7,679","6,220","8,617","8,779","6,023","3,823"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2009,"3,871","3,989","6,180","6,550","8,877","6,446","7,643","6,205","8,984","7,728","6,188","3,894"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2008,"3,724","4,387","5,714","6,113","6,386","5,909","6,433","6,536","6,947","8,290","5,260","3,506"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2007,"4,329","2,119","7,004","2,859","6,621","7,467","8,356","5,780","8,396","8,439","6,312","3,437"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2006,"1,743","2,936","5,219","4,865","5,127","6,703","2,187","6,146","7,449","6,753","5,264","2,199"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2005,"1,488","2,034","4,108","3,953","4,697","5,993","6,709","5,336","5,968","6,929","3,929","2,094"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2004,"1,189","2,411","4,071","4,223","3,893","5,154","5,781","5,627","11,846","6,240","2,615","1,949"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2003,"1,969","2,334","5,152","4,223","5,277","5,719","5,960","5,614","5,672","6,700","9,395","2,359"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2002,"2,923","3,016","6,291","3,413","4,952","5,195","4,978","6,209","9,168","15,820","4,117","1,918"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2001,"2,517","1,897","4,709","3,262","2,704","5,588","6,351","5,432","8,483","4,313","3,131","2,290"
TRAFFIC COUNT AT BAILLY/CHELLBERG,2000,"5,141","3,010","5,185","4,412","6,299","5,610","7,449","9,716","6,536","7,108","8,275","1,114"
TRAFFIC COUNT AT BAILLY/CHELLBERG,1999,"2,975","5,063","9,159","2,196","6,632","5,634","5,733","7,243","7,280","6,710","4,020","2,884"
TRAFFIC COUNT AT BAILLY/CHELLBERG,1998,"5,000","2,718","4,193","4,027","5,508","10,926","8,514","6,274","6,959","7,646","3,591","6,237"
TRAFFIC COUNT AT BAILLY/CHELLBERG,1997,"3,615","3,580","4,739","4,576","5,395","6,097","6,799","4,406","6,494","6,646","2,668","2,141"
TRAFFIC COUNT AT BAILLY/CHELLBERG,1996,"1,576","2,892","5,388","4,114","4,787","5,292","6,960","6,662","6,406","8,006","2,476","2,239"
TRAFFIC COUNT AT BAILLY/CHELLBERG,1995,"1,915","2,500","5,119","3,926","5,461","5,646","6,375","5,550","7,836","7,291","2,251",886
TRAFFIC COUNT AT BAILLY/CHELLBERG,1994,"1,490","2,208","4,871","5,089","5,812","5,455","6,100","6,780","10,552","8,539","2,807","2,422"
TRAFFIC COUNT AT BAILLY/CHELLBERG,1993,"2,628","2,416","3,979","3,173","4,750","4,288","4,746","5,319","5,517","6,742","2,246","1,804"
TRAFFIC COUNT AT BUELL VISITOR CENTER,2020,997,"1,118","1,139","1,046","1,852","2,281","3,169","2,866",,,,
TRAFFIC COUNT AT BUELL VISITOR CENTER,2019,"2,008","1,116","1,641","1,118","1,393","2,893","2,335","2,271","2,000",911,980,"1,008"
TRAFFIC COUNT AT BUELL VISITOR CENTER,2018,"2,115",980,"1,618","1,200","1,622","2,167","3,494","1,975","1,633","1,768",832,812
TRAFFIC COUNT AT BUELL VISITOR CENTER,2017,"1,061","1,363","1,373","1,486","1,555","2,194","2,869","4,939","3,739",819,"1,177","1,123"
TRAFFIC COUNT AT BUELL VISITOR CENTER,2016,"1,908","1,127","1,348","1,398","1,811","2,316","2,521","2,264","1,766","1,336","1,408","1,071"
TRAFFIC COUNT AT BUELL VISITOR CENTER,2015,"1,690","1,470","1,906","2,253","2,187","2,295","2,339","3,550","1,963",0,837,748
TRAFFIC COUNT AT BUELL VISITOR CENTER,2014,"1,325",954,"5,442","1,282","2,670","5,976","2,642","1,997","1,850",850,"1,465","1,726"
TRAFFIC COUNT AT BUELL VISITOR CENTER,2013,823,757,945,"1,153","2,440","1,820","4,396","9,950","2,277","4,180","1,334",589
TRAFFIC COUNT AT BUELL VISITOR CENTER,2012,908,944,"1,313","1,186","2,053","2,102","2,792","2,232","2,389","1,230",933,792
TRAFFIC COUNT AT BUELL VISITOR CENTER,2011,770,778,984,"1,137","1,386","1,351","2,720","1,538",175,"1,175",793,783
TRAFFIC COUNT AT BUELL VISITOR CENTER,2010,948,855,907,"1,111","1,620","1,557","2,810","2,126","1,287","1,289",817,814
TRAFFIC COUNT AT BUELL VISITOR CENTER,2009,"1,371","1,086","1,321","1,329","2,205","2,288","3,020","2,912","1,430","1,056",794,643
TRAFFIC COUNT AT BUELL VISITOR CENTER,2008,"1,533",989,"1,015","2,044","2,131","2,428","3,979","3,587","1,947","2,106","1,140","1,002"
TRAFFIC COUNT AT BUELL VISITOR CENTER,2007,"1,533",989,"1,732","1,897","2,704","2,997",437,"2,933","2,666","1,996","1,357","1,478"
TRAFFIC COUNT AT BUELL VISITOR CENTER,2006,"2,099","2,184","3,232","5,382","14,653","5,710","12,325","7,507","10,270","5,163","3,443","1,397"
TRAFFIC COUNT AT BUELL VISITOR CENTER,2005,"2,171","2,289","5,166","4,025","6,748","9,211","12,621","12,314","7,664","7,089","6,008","1,975"
TRAFFIC COUNT AT BUELL VISITOR CENTER,2004,"1,889","4,874","7,685","3,874","6,225","7,527","11,473","12,205","7,073","4,999","2,705","2,274"
TRAFFIC COUNT AT BUELL VISITOR CENTER,2003,"3,022","2,129","3,101","3,828","5,441","5,857","8,842","10,474","5,605","5,836","8,294","2,447"
TRAFFIC COUNT AT BUELL VISITOR CENTER,2002,"2,771","2,239","2,944","3,459","5,129","8,810","11,406","9,792","7,358","4,690","2,701","1,783"
TRAFFIC COUNT AT BUELL VISITOR CENTER,2001,"2,558","2,294","2,929","3,798","4,980","6,482","10,163","9,472","7,400","3,081","2,814","2,041"
TRAFFIC COUNT AT BUELL VISITOR CENTER,2000,"2,644","2,808","3,716","3,930","5,150","6,925","11,362","7,673","6,456","5,230","2,500","2,317"
TRAFFIC COUNT AT BUELL VISITOR CENTER,1999,"2,615","2,455","3,642","3,769","6,354","7,147","11,352","9,931","6,966","4,692","3,071","2,063"
TRAFFIC COUNT AT BUELL VISITOR CENTER,1998,"2,811","10,040","3,350","4,247","6,523","7,556","11,516","10,611","6,798","5,361","3,174","2,239"
TRAFFIC COUNT AT BUELL VISITOR CENTER,1997,"3,213","2,745","3,835","3,853","5,561","7,608","10,996","6,098","4,486","5,869","2,871","2,379"
TRAFFIC COUNT AT BUELL VISITOR CENTER,1996,"2,619","4,471","4,302","4,751","5,063","12,400","10,245","10,603","6,215","5,725","2,567","2,162"
TRAFFIC COUNT AT BUELL VISITOR CENTER,1995,"3,107","2,822","3,919","4,050","6,005","10,645","10,867","10,280","5,978","5,384","2,764","1,483"
TRAFFIC COUNT AT BUELL VISITOR CENTER,1994,"2,763","3,215","3,607","4,615","6,334","7,430","10,665","8,036","6,462","6,077","3,260","2,662"
TRAFFIC COUNT AT BUELL VISITOR CENTER,1993,"3,147","3,089","3,463","5,513","6,592","6,979","9,986","9,112","5,955","5,284","2,664","2,512"
TRAFFIC COUNT AT CENTRAL BEACH,2020,"2,544","2,368","3,583","5,177",178,0,0,0,,,,
TRAFFIC COUNT AT CENTRAL BEACH,2019,"2,172","1,437","1,329","10,206","3,787","10,237","9,579","6,388","4,107","9,234","2,037","1,219"
TRAFFIC COUNT AT CENTRAL BEACH,2018,"1,897","1,196",832,"3,643","2,618","8,230","16,121","8,138","4,860","3,696","1,034",419
TRAFFIC COUNT AT CENTRAL BEACH,2017,517,"1,381","1,959",0,0,"4,419","9,341","2,027","1,801","1,807","1,890",558
TRAFFIC COUNT AT CENTRAL BEACH,2016,0,0,0,0,0,0,"4,741","4,741","2,451","1,862",962,563
TRAFFIC COUNT AT CENTRAL BEACH,2015,0,0,0,0,"4,740",0,"3,189",0,0,0,0,0
TRAFFIC COUNT AT CENTRAL BEACH,2014,0,0,0,"1,029","4,265","8,578","12,237","11,046","5,843","3,355",164,0
TRAFFIC COUNT AT CENTRAL BEACH,2013,0,0,0,"1,635","4,019","7,934","15,287","11,170","6,343","1,292",954,0
TRAFFIC COUNT AT CENTRAL BEACH,2012,0,0,0,"1,266","6,914","9,469","11,381","8,655","4,793","3,649",774,0
TRAFFIC COUNT AT CENTRAL BEACH,2011,0,0,0,978,"4,842","9,344","12,909","11,024","5,042","5,042",0,0
TRAFFIC COUNT AT CENTRAL BEACH,2010,0,0,0,"2,013","8,598","10,284","14,126","11,943","6,126","4,120",898,0
TRAFFIC COUNT AT CENTRAL BEACH,2009,0,0,0,"1,810","6,615","8,617","14,277","10,516","6,867","2,977","1,330",0
TRAFFIC COUNT AT CENTRAL BEACH,2008,0,0,0,"1,726","4,632","8,583","13,826","13,367","5,153","3,392",837,0
TRAFFIC COUNT AT CENTRAL BEACH,2007,0,0,0,"3,704","5,809","10,406","14,650","10,000","7,605","3,981","1,056",0
TRAFFIC COUNT AT CENTRAL BEACH,2006,0,0,0,"1,665","6,240","6,862","14,357","9,957","4,579","2,824",717,0
TRAFFIC COUNT AT CENTRAL BEACH,2005,0,0,0,"3,205","5,699","12,159","16,132","10,826","6,265","3,878","1,209",0
TRAFFIC COUNT AT CENTRAL BEACH,2004,0,0,0,"1,716","5,229","8,884","13,993","10,432","7,499","3,463",0,0
TRAFFIC COUNT AT CENTRAL BEACH,2003,0,0,0,"1,208","4,175","7,986","11,741","12,150","4,691","3,483",28,0
TRAFFIC COUNT AT CENTRAL BEACH,2002,0,0,0,"3,158","4,261","9,215","12,938","10,436","6,301","2,448",865,0
TRAFFIC COUNT AT CENTRAL BEACH,2001,0,0,0,"3,770","5,321","9,225","14,567","10,033","6,128","1,976","1,099",0
TRAFFIC COUNT AT CENTRAL BEACH,2000,0,0,0,"3,201","6,003","7,995","14,188","10,104","5,582","3,706",945,0
TRAFFIC COUNT AT CENTRAL BEACH,1999,0,0,0,"2,823","7,031","8,659","12,328","9,252","5,898","3,111","1,232",0
TRAFFIC COUNT AT CENTRAL BEACH,1998,0,0,859,"3,308","7,857","10,369","14,605","10,933","6,922","3,099",932,0
TRAFFIC COUNT AT CENTRAL BEACH,1997,0,0,20,"2,679","4,186","8,478","11,987","5,424","4,157","3,245",804,0
TRAFFIC COUNT AT CENTRAL BEACH,1996,16,0,0,"2,274","4,020","6,926","10,135","10,707","4,957","3,423",618,0
TRAFFIC COUNT AT CENTRAL BEACH,1995,889,"1,188","2,177","2,274","4,092","8,195","11,825","9,197","4,968","2,522",930,338
TRAFFIC COUNT AT CENTRAL BEACH,1994,677,996,"1,608","3,160","5,575","7,230","9,959","6,654","4,544","3,034","1,221",957
TRAFFIC COUNT AT CENTRAL BEACH,1993,"1,182","1,246","1,645","2,294","4,683","6,144","9,653","9,004","3,555","2,634",898,680
TRAFFIC COUNT AT COWLES BOG,2020,"2,216","1,741",307,"4,080","4,572","3,911","3,361","3,885",,,,
TRAFFIC COUNT AT COWLES BOG,2019,"2,243","1,863","2,369","1,732","2,730","3,383","2,632","2,872","3,266",767,"1,667","1,427"
