Name,Textbox3
Joshua Tree NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT 29 PALMS,2020,"17,412","18,747","17,486",0,"8,112","18,000","9,156","9,800","13,000","17,974","25,134",
TRAFFIC COUNT AT 29 PALMS,2019,"10,800","15,914","30,859","24,656","17,964","17,357","9,483","10,096","11,678","15,791","17,165","17,897"
TRAFFIC COUNT AT 29 PALMS,2018,"14,725","15,829","25,749","19,731","16,218","10,197","8,886","10,130","8,926","15,298","18,374","17,314"
TRAFFIC COUNT AT 29 PALMS,2017,"15,943","17,754","28,014","26,359","14,291","8,501","8,630","9,635","10,226","15,321","16,779","16,646"
TRAFFIC COUNT AT 29 PALMS,2016,"11,325","14,362","18,312","12,706","17,060","6,811","12,158","12,158","10,723","16,586","15,726","16,776"
TRAFFIC COUNT AT 29 PALMS,2015,"9,454","10,928","14,195","12,425","9,663","6,192","6,621","6,982","7,727","10,153","11,754","13,047"
TRAFFIC COUNT AT 29 PALMS,2014,"7,744","9,101","12,448","12,453","8,376","5,212","5,563","6,720","6,453","8,014","9,939","9,571"
TRAFFIC COUNT AT 29 PALMS,2013,"6,539","7,513","14,258","13,532","9,123","5,750","5,394","6,360","1,317",0,"8,430","7,466"
TRAFFIC COUNT AT 29 PALMS,2012,"6,434","7,384","9,734","10,583","7,441","4,708","5,044","2,411","5,220","6,798","5,479","6,112"
TRAFFIC COUNT AT 29 PALMS,2011,"6,368","6,327","10,912","11,884","8,106","5,475","4,941","2,242","5,051","6,920","6,439","6,087"
TRAFFIC COUNT AT 29 PALMS,2010,"6,437","7,303","12,109","12,005","8,830","5,217","4,818","5,104","4,973","7,032","7,094","5,920"
TRAFFIC COUNT AT 29 PALMS,2009,"6,320","6,208","10,438","10,547","6,952","4,713","4,017","4,297","4,461","6,292","7,105","5,497"
TRAFFIC COUNT AT 29 PALMS,2008,"7,782","7,397","13,902","9,382","6,588","4,044","4,122","4,463","5,005","6,521","7,007","6,459"
TRAFFIC COUNT AT 29 PALMS,2007,"5,762","9,065","4,993","13,487","5,943","7,918","6,494","4,970","5,491","6,205","7,151","5,949"
TRAFFIC COUNT AT 29 PALMS,2006,"6,594","7,243","9,796","11,636","7,222","7,981","3,441","4,252","4,980","6,162","6,988","5,675"
TRAFFIC COUNT AT 29 PALMS,2005,"5,943","6,709","15,790","13,521","7,040","5,314","3,863","3,818","4,576","6,012","7,001","6,304"
TRAFFIC COUNT AT 29 PALMS,2004,"7,202","6,860","11,898","12,269","6,098","4,009","4,706","4,237","4,846","6,303","6,797","5,542"
TRAFFIC COUNT AT 29 PALMS,2003,"7,389","7,182","10,086","10,634","7,205","4,550","4,180","4,666","5,069","7,988","7,279","8,825"
TRAFFIC COUNT AT 29 PALMS,2002,"6,836","6,972","10,240","10,340","6,482","4,277","3,660","3,911","4,491","6,670","7,395","6,221"
TRAFFIC COUNT AT 29 PALMS,2001,"6,760","7,340","11,761","12,800","7,102","4,481","6,025","5,066","6,607","6,653","8,687","6,668"
TRAFFIC COUNT AT 29 PALMS,2000,"6,849","7,336","8,486","11,847","7,055","4,570","4,709","4,564","5,370","7,798","7,841","8,898"
TRAFFIC COUNT AT 29 PALMS,1999,"6,770","7,718","10,831","10,117","9,800","5,169","4,527","5,064","5,899","6,678","7,517","6,025"
TRAFFIC COUNT AT 29 PALMS,1998,"6,915","6,396","11,771","13,698","9,715","5,427","4,805","4,677","5,557","6,510","7,969","6,148"
TRAFFIC COUNT AT 29 PALMS,1997,"6,573","7,041","13,457","11,634","7,555","4,943","4,928","5,311","5,446","6,530","7,135","4,880"
TRAFFIC COUNT AT 29 PALMS,1996,"4,127","5,814","8,203","9,598","6,047","3,931","2,827","5,484","7,019","5,956","7,435","5,741"
TRAFFIC COUNT AT 29 PALMS,1995,"6,175","8,429","12,277","14,814","9,298","6,088","5,595","5,507","5,560","6,940","6,638","4,127"
TRAFFIC COUNT AT 29 PALMS,1994,"6,958","7,121","11,447","11,939","8,100","4,409","4,798","5,161","8,974","7,088","6,928","6,272"
TRAFFIC COUNT AT 29 PALMS,1993,"5,042","6,092","12,065","14,075","9,900","5,511","6,074","6,451","8,309","7,885","7,287","6,560"
TRAFFIC COUNT AT 29 PALMS,1992,"6,636","7,098","10,968","15,386","9,887","5,894","5,754","5,865","6,391","7,104","7,287","5,248"
TRAFFIC COUNT AT BLACK ROCK,2020,"5,218","6,271","4,000",0,"2,410","2,016","1,700","1,500","2,813","4,500","5,680",
TRAFFIC COUNT AT BLACK ROCK,2019,"6,000","5,831","8,010","8,346","5,338","1,808","1,814","1,242","2,406","4,955","4,855","5,218"
TRAFFIC COUNT AT BLACK ROCK,2018,"5,990","5,800","6,684","6,679","5,190","2,408",979,725,"2,408","4,929","5,416","4,943"
TRAFFIC COUNT AT BLACK ROCK,2017,"5,019","5,599","8,605","7,500","5,201","2,044","1,952","2,336","2,912","4,698","5,506","8,735"
TRAFFIC COUNT AT BLACK ROCK,2016,"4,196","4,910","6,674","5,077","4,788","2,072","2,199","2,199","3,617","2,710","5,303","4,980"
TRAFFIC COUNT AT BLACK ROCK,2015,"3,070","4,110","5,871","5,196","3,450","1,747","1,596","1,645","2,720","3,340","4,149","3,775"
TRAFFIC COUNT AT BLACK ROCK,2014,"2,655","2,453","1,608","3,249","1,105","1,268",939,"1,170","1,314","2,866","3,902","3,885"
TRAFFIC COUNT AT BLACK ROCK,2013,"2,143","2,197","1,447","2,654","1,105","1,230",983,766,"1,125","4,955","2,770","2,341"
TRAFFIC COUNT AT BLACK ROCK,2012,"2,192","2,292","3,927","2,289",951,"1,201","1,163","1,087","1,203","1,992","3,912","1,188"
TRAFFIC COUNT AT BLACK ROCK,2011,"2,168","2,261","3,818","2,347","1,098","1,201","1,243","1,167","1,156","2,267","3,718","1,897"
TRAFFIC COUNT AT BLACK ROCK,2010,669,914,"1,344","1,524",424,"1,174","1,275","1,659","1,170","2,245","3,659","1,882"
TRAFFIC COUNT AT BLACK ROCK,2009,"1,810","2,229","4,130","4,325","2,894","1,636","1,195","1,175","1,376","3,229","2,264",783
TRAFFIC COUNT AT BLACK ROCK,2008,"4,278","2,566","9,729","8,933","5,326","3,102","2,205","2,314","3,277","5,616","5,319","1,688"
TRAFFIC COUNT AT BLACK ROCK,2007,"2,626","2,911","4,225","4,382","2,738","1,728","1,138","1,850","1,037","4,450","6,988","3,512"
TRAFFIC COUNT AT BLACK ROCK,2006,"3,052","3,246","3,252","4,039","3,100","1,227","1,013","1,360","1,552","3,478","3,997","2,132"
TRAFFIC COUNT AT BLACK ROCK,2005,905,"1,963","5,180","3,642","2,616","1,658",823,"1,594","1,683","3,000","2,694","2,537"
TRAFFIC COUNT AT BLACK ROCK,2004,"2,144","4,433","3,706","4,098","3,098","3,870","1,269","1,268","1,617","2,278","2,625","1,244"
TRAFFIC COUNT AT BLACK ROCK,2003,"2,978","2,724","4,185","6,134","4,062","1,725","1,616","1,080","1,424","2,920","3,364","2,559"
TRAFFIC COUNT AT BLACK ROCK,2002,"1,734","1,368","1,804","3,963","2,628","1,488","2,341","1,457","1,340","3,281","3,140","2,066"
TRAFFIC COUNT AT BLACK ROCK,2001,"2,300","2,101","2,942","3,820","2,628","1,640","1,115","1,080","1,273","1,537","2,929","2,427"
TRAFFIC COUNT AT BLACK ROCK,2000,"1,750","2,812","3,190","3,344","2,473","1,380",927,"1,404","1,265","2,340","2,630","2,054"
TRAFFIC COUNT AT BLACK ROCK,1999,"1,017","1,900","3,801","3,520","3,659","1,149","1,212","1,245","1,316","2,050","2,879","1,572"
TRAFFIC COUNT AT BLACK ROCK,1998,"1,310","1,240","2,130","4,973","3,947","1,850","1,160","1,185","1,925","3,375","3,100","2,665"
TRAFFIC COUNT AT BLACK ROCK,1997,"1,250","1,238","4,025","2,051","1,850","1,423","1,387","1,135","1,120","2,946","2,342","1,209"
TRAFFIC COUNT AT BLACK ROCK,1996,824,"1,595","2,352","3,081","1,879","1,071",584,427,855,750,0,0
TRAFFIC COUNT AT BLACK ROCK,1995,"1,152",600,"2,935","4,259","2,622","1,491",148,"2,015","1,946","2,953","3,360",946
TRAFFIC COUNT AT BLACK ROCK,1994,"1,152",600,"2,900","3,500","2,200","1,035","1,461","1,089","2,598","1,887","2,653","1,263"
TRAFFIC COUNT AT BLACK ROCK,1993,654,593,"2,838","4,500","2,200","1,294","1,850","1,361","2,406","1,887","2,653","1,263"
TRAFFIC COUNT AT BLACK ROCK,1992,440,"1,628","2,580","4,438","2,164","1,294","1,851","1,361","1,850","1,700","2,653","1,010"
TRAFFIC COUNT AT COTTONWOOD,2020,"13,001","11,000","9,668",0,"3,911","5,700","5,307","5,999","6,265","7,000","14,280",
TRAFFIC COUNT AT COTTONWOOD,2019,"8,300","10,946","17,627","12,579","8,662","6,735","6,223","6,421","6,784","8,600","10,200","13,157"
TRAFFIC COUNT AT COTTONWOOD,2018,"11,580","10,888","14,708","10,066","9,077","6,376","5,859","6,161","5,958","4,599","8,968","15,024"
TRAFFIC COUNT AT COTTONWOOD,2017,"8,370","9,711","19,652","15,021","7,990","4,957","5,223","5,699","5,772","5,047","10,939","10,852"
TRAFFIC COUNT AT COTTONWOOD,2016,"8,655","10,690","14,698","6,655","8,148","4,285","5,364","5,364","5,583","7,919","8,399","9,415"
TRAFFIC COUNT AT COTTONWOOD,2015,"7,275","9,411","11,394","8,484","5,473","3,939","3,867","4,181","4,385","5,583","7,665","7,883"
TRAFFIC COUNT AT COTTONWOOD,2014,"4,458","5,955","7,754","6,307","4,762","3,110","5,502","5,350","3,927","4,409","6,169","6,652"
TRAFFIC COUNT AT COTTONWOOD,2013,"4,826","6,432","7,077","7,402","4,712","3,185","3,254","4,290","1,974","1,392",497,"3,955"
TRAFFIC COUNT AT COTTONWOOD,2012,"5,519","6,503","7,077","7,684","4,858","3,503","2,373","3,421","3,666","3,777",993,"2,976"
TRAFFIC COUNT AT COTTONWOOD,2011,"5,471","6,489","9,654","7,735","4,958","3,540","3,459","3,019","1,403",222,"6,582","5,387"
TRAFFIC COUNT AT COTTONWOOD,2010,"5,405","6,821","12,696","9,413","5,999","3,415","3,289","3,368","3,374","4,088","5,054","6,162"
TRAFFIC COUNT AT COTTONWOOD,2009,"4,783","4,893","9,740","6,611","6,611","3,151","3,187","2,947","6,165","4,319","5,123","5,286"
TRAFFIC COUNT AT COTTONWOOD,2008,"3,989","7,101","14,153","5,980","4,086","2,387","2,908","3,056","3,067","2,281","4,020","2,289"
TRAFFIC COUNT AT COTTONWOOD,2007,"4,091","5,867","6,921","5,826","3,481","2,456","2,427","2,900","2,711","3,397","4,007","4,127"
TRAFFIC COUNT AT COTTONWOOD,2006,"5,905","5,077","6,121","9,195","3,995","2,229","2,106","2,691","3,928","5,120","5,012","4,122"
TRAFFIC COUNT AT COTTONWOOD,2005,"3,631","5,037","14,774","8,585","4,366","5,051","3,013","2,932","2,573","3,529","3,604","3,706"
TRAFFIC COUNT AT COTTONWOOD,2004,"4,156","2,589","7,051","5,596","3,721","2,430","2,493","3,166","2,933","3,319","3,737","3,223"
TRAFFIC COUNT AT COTTONWOOD,2003,"4,277","4,465","6,367","7,351","5,062","2,700","2,272","2,430","2,654","3,547","3,645","4,317"
TRAFFIC COUNT AT COTTONWOOD,2002,"4,410","4,986","6,563","5,586","3,641","2,796","4,938","2,494","1,743","3,864","3,920","3,834"
TRAFFIC COUNT AT COTTONWOOD,2001,"3,891","4,895","9,213","8,581","3,907","2,802","5,475","3,550","2,632","3,786","5,633","4,922"
TRAFFIC COUNT AT COTTONWOOD,2000,"4,697","4,688","5,971","6,308","3,713","2,950","3,321","2,934","3,302","3,810","3,896","8,212"
TRAFFIC COUNT AT COTTONWOOD,1999,"4,230","4,817","7,733","5,691","5,158","3,463","3,091","3,534","3,832","3,750","4,279","3,640"
TRAFFIC COUNT AT COTTONWOOD,1998,"4,056","5,198","9,141","7,329","5,071","3,685","2,926","3,206","3,514","5,886","7,299","3,435"
TRAFFIC COUNT AT COTTONWOOD,1997,"5,369","4,544","9,360","6,890","4,400","2,918","3,257","3,528","3,595","3,770","5,622","3,366"
TRAFFIC COUNT AT COTTONWOOD,1996,"3,747","3,838","5,075","5,267","2,950","2,655","4,919","3,106","3,571","5,103","5,801","4,837"
TRAFFIC COUNT AT COTTONWOOD,1995,"3,312","6,330","8,925","9,769","5,330","4,814","3,564","3,582","2,390","3,614","3,781","2,598"
TRAFFIC COUNT AT COTTONWOOD,1994,"4,121","3,975","5,973","6,897","6,113","3,184","2,891","2,989","5,019","5,034","5,101","3,652"
TRAFFIC COUNT AT COTTONWOOD,1993,"2,986","4,120","9,926","7,857","7,400","3,980","3,659","3,736","4,647","3,768","3,587","4,029"
