Name,Textbox3
Kings Canyon NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT BIG STUMP,2020,"7,959","7,078","2,952",0,0,"22,403","36,247","33,015","15,542","15,068",,
TRAFFIC COUNT AT BIG STUMP,2019,"6,475","4,074","8,445","14,662","19,716","34,083","37,467","40,278","27,763","20,079","10,518","6,847"
TRAFFIC COUNT AT BIG STUMP,2018,"7,795","6,449","7,915","14,051","26,492","34,649","45,199","38,784","29,529","19,272","11,711","10,447"
TRAFFIC COUNT AT BIG STUMP,2017,"6,992","5,547","8,692","13,846","25,920","36,278","48,040","37,113","29,892","19,603","11,416","8,720"
TRAFFIC COUNT AT BIG STUMP,2016,"7,462","6,469","7,243","10,478","21,637","30,417","42,573","32,134","28,399","18,444","10,458","6,753"
TRAFFIC COUNT AT BIG STUMP,2015,"8,469","5,277","7,701","10,789","19,635","25,952","35,636","28,334","15,549","11,962","5,206","4,305"
TRAFFIC COUNT AT BIG STUMP,2014,"5,140","6,014","6,484","8,857","18,385","25,666","32,213","30,097","19,929","15,370","7,136","7,533"
TRAFFIC COUNT AT BIG STUMP,2013,"6,834","6,261","8,293","10,017","23,929","29,549","38,278","33,689","23,654","8,992","5,799","4,743"
TRAFFIC COUNT AT BIG STUMP,2012,"7,855","6,894","8,168","10,274","17,484","34,020","36,456","33,449","20,370","18,011","8,749","6,775"
TRAFFIC COUNT AT BIG STUMP,2011,"7,685","6,099","6,567","10,477","18,804","25,427","37,597","33,601","23,646","15,434","8,611","6,738"
TRAFFIC COUNT AT BIG STUMP,2010,"7,833","6,729","8,385","9,299","20,367","29,201","40,780","34,019","26,996","15,638","7,259","6,877"
TRAFFIC COUNT AT BIG STUMP,2009,"8,048","6,785","9,554","11,045","23,242","27,212","37,674","33,132","24,214","16,364","9,597","6,709"
TRAFFIC COUNT AT BIG STUMP,2008,"8,330","7,832","10,331","11,638","19,870","25,928","34,337","33,653","19,730","14,327","8,977","6,629"
TRAFFIC COUNT AT BIG STUMP,2007,"7,587","7,350","8,271","10,866","20,586","26,691","36,900","32,546","23,125","16,224","9,024","7,387"
TRAFFIC COUNT AT BIG STUMP,2006,"7,644","6,894","7,216","9,806","19,989","26,402","36,157","33,439","22,457","16,403","8,911","5,717"
TRAFFIC COUNT AT BIG STUMP,2005,"6,963","6,621","8,655","10,239","19,461","27,407","37,333","32,349","23,392","17,522","8,995","6,782"
TRAFFIC COUNT AT BIG STUMP,2004,"8,155","7,661","8,941","12,553","22,307","26,266","36,100","31,850","23,527","14,747","9,119","6,830"
TRAFFIC COUNT AT BIG STUMP,2003,"7,813","6,400","8,764","10,587","24,696","25,533","35,037","36,119","20,453","16,941","8,620","6,538"
TRAFFIC COUNT AT BIG STUMP,2002,"8,499","7,244","8,809","10,605","21,533","22,889","36,632","35,523","26,651","20,879","9,245","6,978"
TRAFFIC COUNT AT BIG STUMP,2001,"7,250","6,818","8,896","10,174","21,416","30,222","36,632","34,201","22,598","16,128","9,492","8,318"
TRAFFIC COUNT AT BIG STUMP,2000,"6,316","7,741","8,991","11,231","21,362","25,533","36,353","32,510","23,475","16,141","10,055","7,853"
TRAFFIC COUNT AT BIG STUMP,1999,"7,108","7,232","8,115","10,411","20,200","26,783","38,467","35,530","26,200","19,133","11,654","7,323"
TRAFFIC COUNT AT BIG STUMP,1998,"7,623","6,476","8,720","9,269","15,616","25,648","36,767","36,264","27,590","16,601","8,773","8,773"
TRAFFIC COUNT AT BIG STUMP,1997,"6,150","6,804","9,306","10,841","20,610","25,402","33,765","36,515","22,101","16,942","9,174","7,299"
TRAFFIC COUNT AT BIG STUMP,1996,"11,495","6,237","8,195","12,063","23,425","26,882","32,408","34,256","22,728","14,631","8,410","6,684"
TRAFFIC COUNT AT BIG STUMP,1995,"7,222","3,815","6,706","43,139","52,975","11,175","46,039","33,206","28,252","36,205","10,469","2,695"
TRAFFIC COUNT AT BIG STUMP,1994,"7,222","5,004","9,118","10,354","20,542","33,043","41,502","38,694","28,884","25,571","9,419","8,076"
TRAFFIC COUNT AT BIG STUMP,1993,"6,991","6,930","8,195","11,392","23,577","27,573","36,719","38,680","29,536","18,611","9,723","7,232"
TRAFFIC COUNT AT BIG STUMP,1992,"10,193","7,361","8,837","12,382","23,953","27,755","36,162","31,036","27,916","19,337","6,336","7,741"
TRAFFIC COUNT AT CEDAR GROVE,2020,0,0,0,0,0,0,"8,008","7,581","6,387",971,,
TRAFFIC COUNT AT CEDAR GROVE,2019,0,0,0,"1,232","6,623","6,296","8,221","7,786","6,551","1,014",570,57
TRAFFIC COUNT AT CEDAR GROVE,2018,0,0,0,"1,232","8,015","8,237","10,628","9,987","7,223","1,598",600,0
TRAFFIC COUNT AT CEDAR GROVE,2017,0,0,0,0,0,0,0,0,0,"2,087",0,297
TRAFFIC COUNT AT CEDAR GROVE,2016,0,0,0,0,"8,577","10,964","14,351","11,558","10,755","6,178","1,763",0
TRAFFIC COUNT AT CEDAR GROVE,2015,0,0,0,"3,753","7,879","9,442","12,481","5,513","6,487","-10,000",0,0
TRAFFIC COUNT AT CEDAR GROVE,2014,0,0,0,"2,405","7,639","1,388","2,580","10,848","7,467","4,996","1,090",0
TRAFFIC COUNT AT CEDAR GROVE,2013,0,0,0,0,"9,020","9,686","11,691","11,008","8,048","1,807",0,0
TRAFFIC COUNT AT CEDAR GROVE,2012,0,0,0,0,"6,959","9,707","12,037","11,011","3,361","5,005",0,0
TRAFFIC COUNT AT CEDAR GROVE,2011,0,0,0,304,144,"1,816","4,602","7,219","8,254","8,624","1,376",0
TRAFFIC COUNT AT CEDAR GROVE,2010,0,0,0,0,"8,319","10,160","11,897","10,918","9,231","4,154","1,467",0
TRAFFIC COUNT AT CEDAR GROVE,2009,0,0,0,832,"7,440","8,406","11,106","10,111","7,992","4,833",983,0
TRAFFIC COUNT AT CEDAR GROVE,2008,0,0,0,484,"7,826","8,142","11,058","10,554","7,500","9,693",0,0
TRAFFIC COUNT AT CEDAR GROVE,2007,0,0,0,484,"7,473","9,429","9,209","9,559","7,319","5,984",0,0
TRAFFIC COUNT AT CEDAR GROVE,2006,0,0,0,484,"6,159","8,281","12,957","10,246","8,144","3,952","2,037",0
TRAFFIC COUNT AT CEDAR GROVE,2005,0,0,0,0,"7,895","11,169","10,070","11,076","7,036","4,524","1,077",0
TRAFFIC COUNT AT CEDAR GROVE,2004,0,0,0,0,"8,367","8,837","11,169","12,341","7,907","3,568",0,0
TRAFFIC COUNT AT CEDAR GROVE,2003,0,0,0,"1,750","7,576","9,209","12,181","13,130","6,747","5,637",0,0
TRAFFIC COUNT AT CEDAR GROVE,2002,0,0,0,"2,294","7,336","8,789",0,"15,309","11,006","4,803","1,255",0
TRAFFIC COUNT AT CEDAR GROVE,2001,0,0,0,"1,778","7,838","30,708","10,301","12,554","8,172","3,635","1,710",0
TRAFFIC COUNT AT CEDAR GROVE,2000,0,0,0,0,"4,715","9,158","74,059","14,955","7,643","4,663",562,0
TRAFFIC COUNT AT CEDAR GROVE,1999,0,0,0,"1,525","7,338","7,494","12,677","13,195","9,240","5,762","1,083",0
TRAFFIC COUNT AT CEDAR GROVE,1998,0,0,0,776,"7,662","9,107","19,887","13,886","8,269","5,448",0,0
TRAFFIC COUNT AT CEDAR GROVE,1997,0,0,0,0,"3,465","7,136","11,280","24,979","27,860","5,147",0,0
TRAFFIC COUNT AT CEDAR GROVE,1996,0,0,0,"6,442","8,462","9,436","11,703","14,597","7,350","4,369","4,951",0
TRAFFIC COUNT AT CEDAR GROVE,1995,0,0,0,294,792,"10,900","13,214","12,890","8,767",0,0,0
TRAFFIC COUNT AT CEDAR GROVE,1994,0,0,0,955,"7,794","9,081","12,977","15,000","5,924","4,725",0,0
