Name,Textbox3
Lassen Volcanic NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
"TRAFFIC AT CROSSROADS 
",2020,0,0,0,0,0,"1,792","3,566","2,978","1,032",0,,
"TRAFFIC AT CROSSROADS 
",2019,0,0,0,0,971,"1,616","1,707","1,618","1,477","1,211",0,0
"TRAFFIC AT CROSSROADS 
",2018,0,0,0,0,"1,236","1,843","2,137","2,390","1,690",878,0,0
"TRAFFIC AT CROSSROADS 
",2017,0,0,0,0,"1,324","1,883","3,154","3,308","1,784","1,366",0,0
"TRAFFIC AT CROSSROADS 
",2016,0,0,0,0,"1,624","2,091","2,881","2,199","1,476","1,319",0,0
"TRAFFIC AT CROSSROADS 
",2015,0,0,0,176,"1,444","1,644","2,012","1,897","1,986","1,130",0,0
"TRAFFIC AT CROSSROADS 
",2014,0,0,0,328,973,"1,515","2,173","2,194","1,602","1,279",0,0
"TRAFFIC AT CROSSROADS 
",2013,0,0,0,0,819,"1,453","1,850","2,354","1,341",120,0,0
"TRAFFIC AT CROSSROADS 
",2012,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT BUTTE LAKE,2020,0,0,0,0,0,"3,309","5,508","6,721","1,972",0,,
TRAFFIC COUNT AT BUTTE LAKE,2019,0,0,0,0,"1,068","2,703","5,356","5,004","3,100","4,313",0,0
TRAFFIC COUNT AT BUTTE LAKE,2018,0,0,0,0,"1,314","2,516","5,237","4,876","3,288","4,073",0,0
TRAFFIC COUNT AT BUTTE LAKE,2017,0,0,0,0,0,"3,107","7,752","3,892","4,052",0,0,0
TRAFFIC COUNT AT BUTTE LAKE,2016,0,0,0,0,"1,188","3,316","5,855","5,025","3,623","1,267",0,0
TRAFFIC COUNT AT BUTTE LAKE,2015,0,0,0,0,"1,698","2,353","4,127","4,621","2,601","1,099",0,0
TRAFFIC COUNT AT BUTTE LAKE,2014,0,0,0,197,"1,140","1,864","3,809","6,606","1,938",855,0,0
TRAFFIC COUNT AT BUTTE LAKE,2013,0,0,0,0,"1,231","2,315","3,647","4,240","2,308",554,0,0
TRAFFIC COUNT AT BUTTE LAKE,2012,0,0,0,0,684,"2,131","3,690","4,064","1,933",947,0,0
TRAFFIC COUNT AT BUTTE LAKE,2011,0,0,0,0,147,"3,177","3,987","3,575","2,857",766,0,0
TRAFFIC COUNT AT BUTTE LAKE,2010,0,0,0,0,0,"6,022","5,697","3,653","2,018",0,0,0
TRAFFIC COUNT AT BUTTE LAKE,2009,0,0,0,0,0,"1,857",855,"2,951",977,258,0,0
TRAFFIC COUNT AT BUTTE LAKE,2008,0,0,0,0,0,"3,176",874,655,888,280,0,0
TRAFFIC COUNT AT BUTTE LAKE,2007,0,0,0,0,0,"3,324",988,"3,262",888,238,0,0
TRAFFIC COUNT AT BUTTE LAKE,2006,0,0,0,0,0,737,"1,030",652,215,452,24,0
TRAFFIC COUNT AT BUTTE LAKE,2005,0,0,0,0,94,740,908,666,289,166,29,0
TRAFFIC COUNT AT BUTTE LAKE,2004,0,0,0,0,0,661,779,623,284,159,28,0
TRAFFIC COUNT AT BUTTE LAKE,2003,0,0,0,0,0,810,"1,402",666,325,200,15,0
TRAFFIC COUNT AT BUTTE LAKE,2002,0,0,0,0,282,750,544,709,257,140,45,0
TRAFFIC COUNT AT BUTTE LAKE,2001,0,0,0,31,179,423,391,496,272,137,25,0
TRAFFIC COUNT AT BUTTE LAKE,2000,0,0,0,39,394,871,705,795,295,97,23,0
TRAFFIC COUNT AT BUTTE LAKE,1999,0,0,0,0,273,759,537,837,347,186,39,0
TRAFFIC COUNT AT BUTTE LAKE,1998,0,0,0,0,0,225,758,628,488,320,45,20
TRAFFIC COUNT AT BUTTE LAKE,1997,0,0,0,0,397,559,641,195,259,169,90,0
TRAFFIC COUNT AT BUTTE LAKE,1996,0,0,0,0,175,520,656,729,289,211,69,0
TRAFFIC COUNT AT BUTTE LAKE,1995,0,0,0,0,0,237,992,"1,794",817,205,78,0
TRAFFIC COUNT AT BUTTE LAKE,1994,0,0,0,0,278,607,751,826,413,195,15,0
TRAFFIC COUNT AT BUTTE LAKE,1993,0,0,0,0,0,461,966,959,513,268,141,12
TRAFFIC COUNT AT BUTTE LAKE,1992,0,0,0,0,848,984,"1,717","1,752",831,335,140,30
TRAFFIC COUNT AT BUTTE LAKE,1991,0,0,0,0,240,"1,052","4,050","6,984","1,127",435,75,0
TRAFFIC COUNT AT JUNIPER LAKE,2020,0,0,0,0,0,"1,989","3,729","4,007",779,0,,
TRAFFIC COUNT AT JUNIPER LAKE,2019,0,0,0,0,0,0,211,"2,107",923,"1,013",0,0
TRAFFIC COUNT AT JUNIPER LAKE,2018,0,0,0,0,0,590,"2,627","2,625","1,090",931,0,0
