Name,Textbox3
Mammoth Cave NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),2012,0,0,0,0,0,0,0,,,,,
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),2011,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),2010,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),2009,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),2008,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),2007,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),2006,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),2005,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),2004,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),2003,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),2002,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),2001,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),2000,0,0,0,0,"3,470","14,141","14,101","2,705",0,0,0,0
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),1999,"3,098","10,128",0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),1998,"5,700",0,"8,413",0,"13,760","18,096","22,826","10,907","13,822","13,575","8,851","6,239"
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),1997,"2,782","4,894","7,628","9,451","13,648","14,400",0,"5,336","5,351","13,252",0,"5,598"
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),1996,0,0,0,"7,415",0,0,0,"6,781",0,0,0,"3,816"
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),1995,"6,427","9,024","3,131","10,069","11,332","12,171","18,262","4,035","4,035","13,500",0,0
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),1994,0,"5,170","12,610","13,312","14,910","22,297","15,609","20,750","11,216","14,835","8,670","8,964"
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),1993,"9,159","9,085","14,681","17,292","12,400","22,297","15,609","20,750","11,216","14,835",188,0
TRAFFIC COUNT AT 3201 LANE 2 (S.H. 70 WESTBOUND LANE),1992,"2,000","2,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","5,000","5,000"
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),2012,0,0,0,0,0,0,0,,,,,
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),2011,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),2010,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),2009,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),2008,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),2007,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),2006,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),2005,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),2004,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),2003,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),2002,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),2001,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),2000,0,0,0,0,"3,291","13,583","14,014","2,624",0,0,0,0
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),1999,"4,298","5,967",0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),1998,"5,795",0,"8,798",0,"14,308","18,632","24,828","11,718","14,612","14,205","9,194","6,159"
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),1997,"2,745","4,863","8,031","10,169","14,462","15,144",0,"5,803","5,440","13,436",0,"5,309"
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),1996,0,0,0,109,0,0,0,"7,459",0,0,0,"3,585"
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),1995,"2,287","8,654","2,716","8,872","11,047","10,664","16,518","3,864","3,864","13,158",0,0
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),1994,"7,549","10,049","12,517","10,663","14,536","26,560","14,698","21,417","11,311","14,459","5,242",0
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),1993,"9,159","9,085","14,681","17,292","12,400","26,560","14,698","21,417","11,311","14,459","5,242","7,548"
TRAFFIC COUNT AT 3201 LANE 4 (S.H. 70 EASTBOUND LANE),1992,"2,000","2,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","5,000","5,000"
TRAFFIC COUNT AT 3202 LANE 2 (EAST ENTRANCE ROAD WESTBOUND LANE),2012,0,0,0,0,0,0,0,,,,,
TRAFFIC COUNT AT 3202 LANE 2 (EAST ENTRANCE ROAD WESTBOUND LANE),2011,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3202 LANE 2 (EAST ENTRANCE ROAD WESTBOUND LANE),2010,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3202 LANE 2 (EAST ENTRANCE ROAD WESTBOUND LANE),2009,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3202 LANE 2 (EAST ENTRANCE ROAD WESTBOUND LANE),2008,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3202 LANE 2 (EAST ENTRANCE ROAD WESTBOUND LANE),2007,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3202 LANE 2 (EAST ENTRANCE ROAD WESTBOUND LANE),2006,"1,307",890,689,"8,572","6,318","11,622","3,745","7,896",0,0,0,0
TRAFFIC COUNT AT 3202 LANE 2 (EAST ENTRANCE ROAD WESTBOUND LANE),2005,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3202 LANE 2 (EAST ENTRANCE ROAD WESTBOUND LANE),2004,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3202 LANE 2 (EAST ENTRANCE ROAD WESTBOUND LANE),2003,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3202 LANE 2 (EAST ENTRANCE ROAD WESTBOUND LANE),2002,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3202 LANE 2 (EAST ENTRANCE ROAD WESTBOUND LANE),2001,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT 3202 LANE 2 (EAST ENTRANCE ROAD WESTBOUND LANE),2000,"6,576","7,702","14,356","12,971","11,117","22,781","33,175","24,752","8,716",0,0,0
