Name,Textbox3
Mount Rainier NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC  COUNT AT WHITE RIVER ENTRANCE,2020,0,0,0,0,0,0,"30,000","40,000",0,0,,
TRAFFIC  COUNT AT WHITE RIVER ENTRANCE,2019,0,0,0,0,"3,600","13,700","61,000","59,000","16,358","1,935",0,0
TRAFFIC  COUNT AT WHITE RIVER ENTRANCE,2018,0,0,0,0,"4,500","13,700","61,000","59,370","19,500","12,200",0,0
TRAFFIC  COUNT AT WHITE RIVER ENTRANCE,2017,0,0,0,0,"4,538","13,591","59,370","50,000","20,000","10,000",0,0
TRAFFIC  COUNT AT WHITE RIVER ENTRANCE,2016,0,0,0,0,"6,259","18,971",0,0,0,0,0,0
TRAFFIC  COUNT AT WHITE RIVER ENTRANCE,2015,0,0,0,0,"11,890",0,0,0,0,0,0,0
TRAFFIC  COUNT AT WHITE RIVER ENTRANCE,2014,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC  COUNT AT WHITE RIVER ENTRANCE,2013,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC  COUNT AT WHITE RIVER ENTRANCE,2012,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC  COUNT AT WHITE RIVER ENTRANCE,2011,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC  COUNT AT WHITE RIVER ENTRANCE,2010,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC  COUNT AT WHITE RIVER ENTRANCE,2009,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC  COUNT AT WHITE RIVER ENTRANCE,2008,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC  COUNT AT WHITE RIVER ENTRANCE,2007,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC  COUNT AT WHITE RIVER ENTRANCE,2006,0,0,0,0,0,0,0,0,0,0,0,0
