Name,Textbox3
North Cascades NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2020,0,0,0,0,0,500,"1,223","4,703","1,172",577,0,
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2019,0,0,0,0,300,870,"1,826","2,599","2,381",0,29,33
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2018,10,10,15,75,453,598,"2,042",711,790,476,0,0
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2017,13,0,0,94,269,633,"1,508","1,953","1,066",227,40,15
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2016,5,5,25,0,75,976,954,"1,375",611,138,30,4
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2015,22,62,74,92,355,539,898,799,353,0,30,20
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2014,10,3,0,40,175,328,"1,087",920,600,367,82,30
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2013,0,0,0,35,175,382,931,756,464,136,50,9
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2012,0,0,0,34,193,217,"1,294","1,988","1,112",450,100,13
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2011,0,0,0,101,190,549,705,187,559,296,50,50
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2010,62,117,162,75,182,615,"1,238","1,604",606,397,0,0
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2009,0,0,0,0,0,0,"1,192","1,118",375,45,250,74
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2008,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2007,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2006,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2005,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2004,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2003,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2002,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2001,25,15,25,0,0,12,719,"1,428","1,137",0,0,5
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,2000,0,0,0,0,53,0,505,395,390,240,50,15
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,1999,0,0,0,0,0,0,336,294,388,203,0,0
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,1998,0,0,5,10,75,500,"1,250","1,500",750,75,5,15
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,1997,0,0,0,0,0,0,663,"1,163",757,112,5,5
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,1996,0,0,0,0,0,524,992,"1,693",662,66,0,0
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,1995,0,0,0,78,"1,882","1,882","3,904","4,526",724,"5,213",0,0
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,1994,0,0,0,13,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,1993,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,1992,0,0,0,0,0,31,0,0,0,0,0,0
TRAFFIC COUNT AT CASCADES RIVER ROAD ENTRANCE,1991,0,0,0,0,0,0,0,0,0,0,31,0

