Name,Textbox3
Olympic NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Traffic Count at Deer Park (Entrance Lane),2020,0,0,0,0,0,0,"1,457","3,120",457,56,,
Traffic Count at Deer Park (Entrance Lane),2019,0,0,0,0,0,"1,564","1,375","1,335",325,0,0,0
Traffic Count at Deer Park (Entrance Lane),2018,0,0,0,0,0,"1,423","1,517","1,326",726,136,17,0
Traffic Count at Deer Park (Entrance Lane),2017,0,0,0,0,0,"1,745",0,0,0,0,0,0
Traffic Count at Deer Park (Entrance Lane),2016,0,0,0,0,0,"1,690",0,"16,612",0,0,0,0
Traffic Count at Deer Park (Entrance Lane),2015,0,0,0,0,95,"1,636","1,391","1,408","1,002",0,0,0
Traffic Count at Deer Park (Entrance Lane),2014,0,0,0,0,0,192,"3,178","2,850","2,922",0,0,0
Traffic Count at Deer Park (Entrance Lane),2013,0,0,0,0,0,0,0,0,0,0,0,0
Traffic Count at Deer Park (Entrance Lane),2012,0,0,0,0,0,0,621,501,113,0,0,0
Traffic Count at Deer Park (Entrance Lane),2011,0,0,0,0,0,0,600,"1,597",865,210,0,0
Traffic Count at Deer Park (Entrance Lane),2010,0,0,0,0,0,80,"2,836","2,046","1,159",0,0,0
Traffic Count at Deer Park (Entrance Lane),2009,0,0,0,0,0,"1,326","2,468","2,428","1,485",0,0,0
Traffic Count at Deer Park (Entrance Lane),2008,0,0,0,0,0,0,"2,216","2,454","2,157",0,0,0
Traffic Count at Deer Park (Entrance Lane),2007,0,0,0,0,0,693,"1,087","2,089","1,434",0,0,0
Traffic Count at Deer Park (Entrance Lane),2006,0,0,0,0,0,"1,552",900,"2,174","1,634",681,0,0
Traffic Count at Deer Park (Entrance Lane),2005,0,0,0,0,0,485,"2,209","2,044","1,071",982,0,0
Traffic Count at Deer Park (Entrance Lane),2004,0,0,0,0,0,0,830,0,0,0,0,0
Traffic Count at Deer Park (Entrance Lane),2003,0,0,0,0,0,0,"2,000","1,250",0,0,0,0
Traffic Count at Deer Park (Entrance Lane),2002,0,100,100,120,520,775,"2,000","1,250",960,600,0,0
Traffic Count at Deer Park (Entrance Lane),2001,400,100,200,450,450,850,"1,900","1,050",960,500,0,0
Traffic Count at Deer Park (Entrance Lane),2000,400,100,200,350,450,850,"1,850","1,050",955,500,0,200
Traffic Count at Deer Park (Entrance Lane),1999,200,250,500,0,600,680,"1,850","1,800","1,100",400,150,400
Traffic Count at Deer Park (Entrance Lane),1998,105,200,300,100,300,650,"1,800","1,100",875,600,100,300
Traffic Count at Deer Park (Entrance Lane),1997,60,50,68,75,200,535,"1,900","1,500",600,300,100,100
Traffic Count at Deer Park (Entrance Lane),1996,40,50,68,54,112,535,"2,100","1,000","1,455",535,33,60
Traffic Count at Deer Park (Entrance Lane),1995,95,90,100,150,300,550,"1,800","1,000","2,800",360,45,55
Traffic Count at Deer Park (Entrance Lane),1994,60,60,160,300,"1,020","2,340","5,280","5,020","3,190",260,125,85
Traffic Count at Deer Park (Entrance Lane),1993,50,50,80,225,450,"1,456","1,092","1,200","1,500",800,110,60
Traffic Count at East Beach Road (Northbound Lane),2020,"1,478","1,573","3,540","5,222",0,"3,750","12,675",0,0,0,,
Traffic Count at East Beach Road (Northbound Lane),2019,856,"1,532","3,750","8,498","8,750","6,749","11,415","13,515","3,261","1,276","1,545","1,215"
Traffic Count at East Beach Road (Northbound Lane),2018,"2,350","2,300","4,136","8,577","9,200","6,718","11,314","13,328","3,250","1,329","1,532","1,201"
Traffic Count at East Beach Road (Northbound Lane),2017,"2,311","2,100","3,500","8,350","9,130","6,112","12,475","15,309","2,450","1,134","1,798","1,743"
Traffic Count at East Beach Road (Northbound Lane),2016,"2,323","2,184","2,950","3,446","8,228","5,816","15,021","16,466","3,300","1,345","1,946","1,576"
Traffic Count at East Beach Road (Northbound Lane),2015,550,"4,542","1,964","3,143","5,287","16,067","14,089","13,848","2,897","1,643","1,812","1,756"
Traffic Count at East Beach Road (Northbound Lane),2014,560,820,"1,575","2,750","3,367","6,904","12,216","12,452","5,911","2,523",898,"1,173"
Traffic Count at East Beach Road (Northbound Lane),2013,565,595,795,"2,250","4,505","6,585","7,580","7,248","5,126","2,520",785,750
