Name,Textbox3
Petrified Forest NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT I-40 COUNTER,2020,"9,693","9,473","12,364",0,500,"11,330","13,086","11,807","12,896","14,949","11,530",
TRAFFIC COUNT AT I-40 COUNTER,2019,"5,900","6,722","15,203","14,666","20,475","20,117","19,462","14,456","14,557","16,061","9,184","9,186"
TRAFFIC COUNT AT I-40 COUNTER,2018,"7,547","7,691","15,133","12,012","20,693","17,900","16,690","13,408","14,876","14,429","7,785","8,000"
TRAFFIC COUNT AT I-40 COUNTER,2017,"7,673","6,110","14,496","12,500","16,505","16,898","16,684","16,500","12,679","18,235","9,121","8,320"
TRAFFIC COUNT AT I-40 COUNTER,2016,"5,953","6,645","12,100","13,858","15,213","19,300","24,186","15,121","14,268","12,715","7,915","6,532"
TRAFFIC COUNT AT I-40 COUNTER,2015,"5,270","6,690","12,229","11,761","15,723","17,458","18,050","11,550","11,651","11,790","7,604","6,930"
TRAFFIC COUNT AT I-40 COUNTER,2014,"4,473","4,136","10,006","12,250","23,587","15,370","15,224","12,730","11,910","26,060","7,072","7,654"
TRAFFIC COUNT AT I-40 COUNTER,2013,"5,189","5,279","12,956","10,569","12,689","14,400","16,502","11,890","11,769","6,217","4,063","4,506"
TRAFFIC COUNT AT I-40 COUNTER,2012,"5,230","5,317","13,547","10,751","12,789","14,843","13,599","11,893","11,498","11,543","6,486","5,649"
TRAFFIC COUNT AT I-40 COUNTER,2011,"4,586","4,567","10,007","10,127","12,110","14,477","14,599","11,243","10,830","10,358","6,658","4,741"
TRAFFIC COUNT AT I-40 COUNTER,2010,"4,812","4,872","10,405","10,751","13,684","16,976","14,962","12,536","11,997","11,678","6,956","6,361"
TRAFFIC COUNT AT I-40 COUNTER,2009,"5,772","5,771","10,106","10,586","13,623","16,728","16,031","13,685","11,786","11,918","7,864","5,211"
TRAFFIC COUNT AT I-40 COUNTER,2008,"5,121","5,155","10,625","9,749","12,544","13,918","13,815","12,300","10,764","10,367","6,330","5,708"
TRAFFIC COUNT AT I-40 COUNTER,2007,"5,086","5,227","10,869","11,118","13,701","15,527","15,897","13,122","11,506","11,680","7,423","5,946"
TRAFFIC COUNT AT I-40 COUNTER,2006,"6,662","6,773","9,536","11,070","13,016","15,458","17,391","12,462","11,857","11,021","7,968","5,073"
TRAFFIC COUNT AT I-40 COUNTER,2005,"6,013","5,911","11,339","11,506","13,341","17,392","17,399","14,050","10,945","10,669","7,338","6,755"
TRAFFIC COUNT AT I-40 COUNTER,2004,"6,555","5,713","11,101","10,967","13,442","16,639","17,367","13,975","12,236","12,389","6,736","6,768"
TRAFFIC COUNT AT I-40 COUNTER,2003,"6,805","5,916","10,399","10,967","14,389","17,771","18,298","13,628","12,706","12,455","7,955","7,091"
TRAFFIC COUNT AT I-40 COUNTER,2002,"6,264","7,895","13,799","12,129","15,827","17,346","18,036","10,756","10,699","12,317","7,064","5,991"
TRAFFIC COUNT AT I-40 COUNTER,2001,"4,905","7,437","12,862","11,756","14,830","17,503","18,100","10,756","12,094","11,540","7,316","6,302"
TRAFFIC COUNT AT I-40 COUNTER,2000,"6,751","7,437","10,513","12,501","15,025","18,447","19,076","15,466","14,412","13,246","6,769","5,741"
TRAFFIC COUNT AT I-40 COUNTER,1999,"7,217","7,083","12,390","11,446","16,023","20,480","20,953","17,380","14,378","13,424","8,612","5,917"
TRAFFIC COUNT AT I-40 COUNTER,1998,"6,135","6,170","10,782","12,674","16,320","20,296","18,195","18,500","13,710","13,332","7,483","7,034"
TRAFFIC COUNT AT I-40 COUNTER,1997,"4,552","16,462","12,676","11,839","16,938","20,002","21,373","18,173","13,422","13,152","7,466","7,858"
TRAFFIC COUNT AT I-40 COUNTER,1996,"5,203","6,971","10,910","12,339","16,515","18,339","21,294","18,362","12,140","12,157","10,680","4,443"
TRAFFIC COUNT AT I-40 COUNTER,1995,"6,136","7,226","13,078","14,003","14,950","23,902","23,123","19,782","13,946","15,124","5,763","2,118"
TRAFFIC COUNT AT I-40 COUNTER,1994,"8,447","6,755","20,324","13,438","15,730","18,366","24,851","21,668","13,423","12,050","8,249","7,308"
TRAFFIC COUNT AT I-40 COUNTER,1993,"7,618","8,612","14,037","14,366","23,901","24,308","27,391","24,121","18,601","14,104","8,901","6,561"
TRAFFIC COUNT AT I-40 COUNTER,1992,"7,555","9,415","11,049","17,496","23,171","28,035","29,055","28,321","20,002","16,555","9,339","21,487"
TRAFFIC COUNT AT NORTH ENTRANCE (NORTH LANE #2),2020,"5,908","4,322","8,474",0,450,"9,347","9,382","7,711","9,095","11,112","8,404",
TRAFFIC COUNT AT NORTH ENTRANCE (NORTH LANE #2),2019,695,"3,581","10,823","10,439","13,891","13,600","13,334","10,680","10,960","10,960","5,990","5,244"
TRAFFIC COUNT AT NORTH ENTRANCE (NORTH LANE #2),2018,"4,454","4,750","9,391","10,045","11,600","13,887","12,035","11,000","10,893","11,046","6,444","2,900"
TRAFFIC COUNT AT NORTH ENTRANCE (NORTH LANE #2),2017,"3,655","4,187","10,083","9,317","12,383","12,690","12,500","12,000","9,651","13,678","5,567","4,990"
TRAFFIC COUNT AT NORTH ENTRANCE (NORTH LANE #2),2016,"3,622","4,259","10,151","8,510","11,856","14,565","13,562","8,141","10,219","10,010","5,941","4,369"
TRAFFIC COUNT AT NORTH ENTRANCE (NORTH LANE #2),2015,"2,736","3,722","8,480","8,162","11,362","12,831","12,931","9,716","9,597","8,910","4,571","3,926"
TRAFFIC COUNT AT NORTH ENTRANCE (NORTH LANE #2),2014,"2,295","2,147","8,677","9,922","9,372","10,989","10,718","8,711","8,492","8,145","4,097","3,551"
TRAFFIC COUNT AT NORTH ENTRANCE (NORTH LANE #2),2013,"3,222","3,069","6,846","6,738","9,545","10,889","10,800","8,648","8,950","2,882","2,763","2,295"
TRAFFIC COUNT AT NORTH ENTRANCE (NORTH LANE #2),2012,"3,091","3,083","6,200","6,733","9,411","10,877","10,669","9,657","7,771","7,519","2,991","3,448"
TRAFFIC COUNT AT NORTH ENTRANCE (NORTH LANE #2),2011,"2,715","2,493","6,574","6,602","8,780","10,444","10,382","7,549","9,086","7,143","3,781","2,680"
TRAFFIC COUNT AT NORTH ENTRANCE (NORTH LANE #2),2010,"2,523","2,578","7,008","7,398","9,878","12,444","12,204","9,491","8,771","8,350","4,016","3,019"
TRAFFIC COUNT AT NORTH ENTRANCE (NORTH LANE #2),2009,"3,156","3,172","7,050","7,091","9,009","11,327","13,483","8,974","8,478","8,075","4,252","2,926"
