Name,Textbox3
Pinnacles NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT EAST ENTRANCE,2020,"5,637","4,945","4,582",731,"1,357","1,027","1,034",750,651,"4,309","6,063",
TRAFFIC COUNT AT EAST ENTRANCE,2019,628,"3,278","6,562","4,123","4,842","4,866","3,224","4,480","4,834","4,863","4,939","3,281"
TRAFFIC COUNT AT EAST ENTRANCE,2018,"4,420","5,110","5,813","6,540","6,558","7,317","3,019","4,030","4,450","4,663","5,364","4,264"
TRAFFIC COUNT AT EAST ENTRANCE,2017,"3,352","3,747","7,258","8,656","6,253","5,240","5,170","3,995","4,235","5,272","4,971","5,046"
TRAFFIC COUNT AT EAST ENTRANCE,2016,"3,516","5,380","6,369","7,123","6,141","4,586","4,817","4,443","4,500","3,624","4,530","4,492"
TRAFFIC COUNT AT EAST ENTRANCE,2015,"4,885","4,494","6,427","6,819","5,886","4,282","4,831","3,422","3,752","4,286","4,310","3,851"
TRAFFIC COUNT AT EAST ENTRANCE,2014,"4,636","4,168","5,308","5,422","5,133","4,395","3,730","3,784","4,114","3,786","3,938","3,311"
TRAFFIC COUNT AT EAST ENTRANCE,2013,"4,779","4,297","5,472","5,590","5,292","5,174","4,984","4,506","2,828","4,420","3,510","3,640"
TRAFFIC COUNT AT EAST ENTRANCE,2012,"3,676","3,305","4,209","4,300","4,071","3,980","3,834","3,466","2,175","8,627","7,035","7,937"
TRAFFIC COUNT AT EAST ENTRANCE,2011,"2,548","7,949","5,249","5,035","15,851","8,807","11,305","14,050","13,685","8,627","7,035","7,937"
TRAFFIC COUNT AT EAST ENTRANCE,2010,"2,065","2,939","6,709","9,791","8,260","3,017","4,625","6,759","8,314","3,400","2,700","2,800"
TRAFFIC COUNT AT EAST ENTRANCE,2009,"2,857","2,463","5,701","5,170","3,738","2,761","3,025","3,095","3,534","2,959","3,581","2,902"
TRAFFIC COUNT AT EAST ENTRANCE,2008,"2,551","2,564","4,300","5,201","3,497","2,503","2,390","3,736","5,085","3,601","2,428","2,896"
TRAFFIC COUNT AT EAST ENTRANCE,2007,"2,717","2,751","4,286","5,146","3,636","2,493","2,488","3,414","2,485","4,285","2,614","2,289"
TRAFFIC COUNT AT EAST ENTRANCE,2006,"2,154","3,381","2,369","5,272","4,336","2,738","2,708","3,230","2,890","3,832","2,299","2,120"
TRAFFIC COUNT AT EAST ENTRANCE,2005,"2,831","2,604","5,640","4,260","4,478","2,916","2,908","2,668","3,004","3,425","2,709","1,708"
TRAFFIC COUNT AT EAST ENTRANCE,2004,"2,632","2,604","4,512","4,830","4,314","2,914","2,972","2,702","2,660","2,950","2,867","1,987"
TRAFFIC COUNT AT EAST ENTRANCE,2003,"1,927","2,353","4,424","4,310","5,474","2,360","2,941","3,434","3,343","2,153","2,990","2,052"
TRAFFIC COUNT AT EAST ENTRANCE,2002,"2,252","2,931","3,721","5,732","4,147","3,361","1,796","3,871","3,343",835,"3,691","2,050"
TRAFFIC COUNT AT EAST ENTRANCE,2001,"2,573","2,130","8,788","5,160","4,530","3,135","2,736","3,871","3,682","2,513","2,498","1,602"
TRAFFIC COUNT AT EAST ENTRANCE,2000,"2,565","2,130","3,523","5,468","3,686","2,937","3,415","2,676","3,003","3,111","2,780","2,503"
TRAFFIC COUNT AT EAST ENTRANCE,1999,"2,388","2,216","3,383","4,138","5,140","3,580","3,305","3,427","2,433","3,048","3,059","2,595"
TRAFFIC COUNT AT EAST ENTRANCE,1998,"1,159",519,250,"4,208","3,043","2,373","1,459","2,094","2,536","2,355","2,465","2,002"
TRAFFIC COUNT AT EAST ENTRANCE,1997,"1,953","3,500","5,913","7,192","4,682","3,651","2,245","3,222","2,327","2,837","2,548","1,929"
TRAFFIC COUNT AT EAST ENTRANCE,1996,"2,758","2,591","4,706","5,573","4,428","3,498","2,947","2,862","3,034","2,986","2,853","1,645"
TRAFFIC COUNT AT EAST ENTRANCE,1995,"3,644","3,636","2,832","6,079","5,716","4,338","3,522","3,002","3,182","3,415","2,238","1,336"
TRAFFIC COUNT AT EAST ENTRANCE,1994,"2,927","2,306","4,517","5,699","4,589","3,388","3,677","2,633","2,997","3,631","2,410","2,277"
TRAFFIC COUNT AT EAST ENTRANCE,1993,"2,407","3,180","4,513","6,867","6,219","3,654","3,877","3,482","3,407","3,542","2,872","2,257"
TRAFFIC COUNT AT EAST ENTRANCE,1992,"2,800","2,854","4,185","6,629","5,079","3,472","3,708","3,310","2,962","3,102","3,530","2,714"
TRAFFIC COUNT AT WEST ENTRANCE,2020,"2,467","2,579","1,440",0,393,"2,810","2,853","2,500","1,797","1,926","2,946",
TRAFFIC COUNT AT WEST ENTRANCE,2019,60,811,"1,230","1,175","1,419","1,118",985,739,856,827,980,917
TRAFFIC COUNT AT WEST ENTRANCE,2018,996,"1,238","1,294","1,680","1,241",948,"1,189",743,878,911,993,"1,360"
TRAFFIC COUNT AT WEST ENTRANCE,2017,"1,056",857,"1,765","2,253","1,613","1,132","1,299","1,025",838,977,"1,142",965
TRAFFIC COUNT AT WEST ENTRANCE,2016,997,"1,350","1,411","1,390","1,270",935,"1,066",833,900,742,"1,099","1,026"
