Name,Textbox3
Redwood NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT COASTAL DRIVE,2020,0,0,0,0,0,0,0,0,0,0,0,
TRAFFIC COUNT AT COASTAL DRIVE,2019,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT COASTAL DRIVE,2018,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT COASTAL DRIVE,2017,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT COASTAL DRIVE,2016,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT COASTAL DRIVE,2015,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT COASTAL DRIVE,2014,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT COASTAL DRIVE,2013,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT COASTAL DRIVE,2012,0,0,0,0,0,"2,500","3,000","4,500","2,000","1,000",0,0
TRAFFIC COUNT AT COASTAL DRIVE,2011,0,0,0,0,0,0,"3,500","4,100","2,300",0,0,0
TRAFFIC COUNT AT COASTAL DRIVE,2010,"1,300",550,"1,147","1,718","1,869","3,729","3,570","5,267","1,932","2,004",643,327
TRAFFIC COUNT AT COASTAL DRIVE,2009,754,577,"1,358",883,"3,368","2,042","5,822","2,836","2,679","1,579","1,088",552
TRAFFIC COUNT AT COASTAL DRIVE,2008,307,568,"1,320",883,"3,368","2,728","2,944","3,274","2,689","1,022","1,052",552
TRAFFIC COUNT AT COASTAL DRIVE,2007,390,791,951,"1,472","2,400","3,533","3,939","4,015","3,151","2,022",945,651
TRAFFIC COUNT AT COASTAL DRIVE,2006,882,213,812,"1,698","1,567","1,944","4,527","3,458","2,838","1,504",835,746
TRAFFIC COUNT AT COASTAL DRIVE,2005,753,784,"1,406","1,316","2,351","2,961","3,919","2,500","2,769","1,350",883,697
TRAFFIC COUNT AT COASTAL DRIVE,2004,804,740,"1,722","2,086","3,559","7,403","3,919","6,959","2,393","2,013","1,080",819
TRAFFIC COUNT AT COASTAL DRIVE,2003,978,"1,007","1,237","1,756","2,470","4,215","4,820","3,936","3,489","2,212","1,030",603
TRAFFIC COUNT AT COASTAL DRIVE,2002,816,"1,325","1,464","1,818","3,833","6,044","5,331","4,134","5,750","4,966","1,680",677
TRAFFIC COUNT AT COASTAL DRIVE,2001,"2,300","1,022","3,929","1,618","3,650","5,302","5,078","4,134","1,384","2,326","1,965",892
TRAFFIC COUNT AT COASTAL DRIVE,2000,"1,141",979,"1,543","1,383","7,553","2,990","5,459","3,732","3,550","4,516","2,859","3,500"
TRAFFIC COUNT AT COASTAL DRIVE,1999,746,"5,430","1,210","1,005","3,252","3,982","4,349","5,649","3,704","4,892","4,552","1,200"
TRAFFIC COUNT AT COASTAL DRIVE,1998,530,632,0,"1,836",883,"4,900","5,410","6,793","4,759","2,754",944,0
TRAFFIC COUNT AT COASTAL DRIVE,1997,0,0,0,0,0,0,0,0,0,0,0,216
TRAFFIC COUNT AT COASTAL DRIVE,1996,709,"1,174","1,673","2,000",883,"4,884","5,436","7,617","5,108","3,370","1,110",547
TRAFFIC COUNT AT COASTAL DRIVE,1995,708,"1,405","1,059","3,240","3,944","6,627","8,046","6,959","6,341","3,062","1,184",512
TRAFFIC COUNT AT COASTAL DRIVE,1994,989,759,"1,950","1,650","3,449","4,689","5,928","6,163","6,616","2,989","1,927",928
TRAFFIC COUNT AT COASTAL DRIVE,1993,805,"1,040","1,355","1,979","2,400","4,976","5,553","5,647","5,513","2,435","1,663","1,113"
TRAFFIC COUNT AT COASTAL DRIVE,1992,"1,163","1,114","1,845","1,975","2,312","4,046","5,167","5,586","3,091","2,566","1,184","1,032"
TRAFFIC COUNT AT COASTAL DRIVE,1991,803,949,"1,453","1,620","2,604","2,959","4,101","4,199","2,955","1,952","1,141","1,120"
TRAFFIC COUNT AT ENDERTS CRESCENT BEACH,2020,"9,012","7,764","4,012","1,600","8,436","8,768","8,500","7,032","7,631","7,135","6,479",
TRAFFIC COUNT AT ENDERTS CRESCENT BEACH,2019,"5,107","4,616","5,597","6,415","10,241","8,795","12,057","7,056","8,688","7,126","5,241","4,211"
TRAFFIC COUNT AT ENDERTS CRESCENT BEACH,2018,"7,531","4,522","5,796","8,520","9,684","10,250","12,369","10,268","7,102","6,214","4,721","4,851"
TRAFFIC COUNT AT ENDERTS CRESCENT BEACH,2017,"9,570","4,304","5,488","6,291","9,271","8,795","11,616","6,056","7,688","5,126","4,340","5,604"
TRAFFIC COUNT AT ENDERTS CRESCENT BEACH,2016,"2,078","2,271","5,735","6,292","8,568","13,784","13,607","6,217","7,813","6,059","4,899","8,096"
TRAFFIC COUNT AT ENDERTS CRESCENT BEACH,2015,"4,735","10,040","7,306","8,121","10,448","11,952","17,561","7,172","12,040","5,885","9,902","7,854"
TRAFFIC COUNT AT ENDERTS CRESCENT BEACH,2014,"4,467","4,262","4,939","7,425","5,053","8,264","12,204","14,275","3,128","7,005","7,226","4,723"
TRAFFIC COUNT AT ENDERTS CRESCENT BEACH,2013,"4,358","4,586","4,406","5,719","6,962","7,500","9,594","8,615","7,198","5,433","4,126","5,622"
TRAFFIC COUNT AT ENDERTS CRESCENT BEACH,2012,"4,358","4,586","4,406","5,719",0,"7,500","9,594","8,615","8,000","3,000","4,264","4,835"
TRAFFIC COUNT AT ENDERTS CRESCENT BEACH,2011,"3,570","3,817","5,439","4,693","5,676","8,684","14,892","8,500","8,200","1,049","2,306","4,137"
TRAFFIC COUNT AT ENDERTS CRESCENT BEACH,2010,"4,850","5,000","3,200","4,020","4,100","10,500","10,300","11,250","8,500","7,000","3,734","5,452"
