Name,Textbox3,,,,,,,,,,,,
Rocky Mountain NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts,,,,,,,,,,,,
,,,,,,,,,,,,,
GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT BEAVER MEADOWS,2020,"21,073","18,384","18,025",0,"8,611","83,526","110,886","89,023","85,509","52,693",,
TRAFFIC COUNT AT BEAVER MEADOWS,2019,"14,831","17,255","26,870","30,421","51,505","104,230","134,367","116,190","120,247","62,886","21,943","21,050"
TRAFFIC COUNT AT BEAVER MEADOWS,2018,"19,370","14,912","28,798","25,834","52,409","104,557","122,313","115,079","121,821","57,996","22,641","16,525"
TRAFFIC COUNT AT BEAVER MEADOWS,2017,"15,519","15,576","25,767","29,066","46,681","110,003","133,387","116,200","110,922","58,070","23,159","21,070"
TRAFFIC COUNT AT BEAVER MEADOWS,2016,"21,633","18,332","24,677","23,424","49,700","98,569","123,203","105,785","108,942","69,336","29,748","14,517"
TRAFFIC COUNT AT BEAVER MEADOWS,2015,"17,800","13,543","24,119","19,740","41,928","94,840","121,341","106,460","100,327","62,918","18,578","15,435"
TRAFFIC COUNT AT BEAVER MEADOWS,2014,"12,791","12,791","16,887","15,562","37,693","80,329","101,266","88,195","90,198","54,159","16,240","13,125"
TRAFFIC COUNT AT BEAVER MEADOWS,2013,"13,064","10,993","16,029","13,740","36,566","73,631","97,775","84,829","32,158","10,800","14,737","13,849"
TRAFFIC COUNT AT BEAVER MEADOWS,2012,"13,649","11,132","19,166","22,538","38,903","68,506","85,444","76,898","82,840","33,386","15,333","10,953"
TRAFFIC COUNT AT BEAVER MEADOWS,2011,"13,399","9,219","14,075","15,034","31,010","89,667","123,532","105,617","93,715","52,576","14,243","13,580"
TRAFFIC COUNT AT BEAVER MEADOWS,2010,"13,421","9,339","14,929","14,565","33,615","76,245","108,614","98,128","83,970","45,968","13,728","13,417"
TRAFFIC COUNT AT BEAVER MEADOWS,2009,"13,224","11,679","15,000","11,716","41,176","74,387","104,859","92,618","79,340","33,088","13,080","9,449"
TRAFFIC COUNT AT BEAVER MEADOWS,2008,"11,993","11,173","13,448","12,846","32,421","71,301","99,466","89,386","78,381","40,650","13,750","11,365"
TRAFFIC COUNT AT BEAVER MEADOWS,2007,"8,637","9,861","13,910","14,803","34,430","76,338","101,846","87,939","79,231","36,190","13,369","8,838"
TRAFFIC COUNT AT BEAVER MEADOWS,2006,"11,052","10,199","11,577","14,552","34,578","71,827","97,843","79,935","70,671","30,358","12,298","8,931"
TRAFFIC COUNT AT BEAVER MEADOWS,2005,"11,395","10,431","11,644","11,775","30,120","64,555","98,938","81,087","65,804","35,874","10,946","11,235"
TRAFFIC COUNT AT BEAVER MEADOWS,2004,"10,691","10,676","14,000","10,474","33,023","63,632","92,135","79,599","67,072","36,844","10,035","12,120"
TRAFFIC COUNT AT BEAVER MEADOWS,2003,"11,313","8,724","11,778","11,384","31,826","68,002","95,197","85,216","69,224","40,621","10,955","10,664"
TRAFFIC COUNT AT BEAVER MEADOWS,2002,"10,261","10,443","13,179","12,728","33,858","72,583","92,471","81,366","67,445","32,199","11,185","11,360"
TRAFFIC COUNT AT BEAVER MEADOWS,2001,"11,733","13,071","14,347","15,571","36,057","73,853","107,681","86,109","69,040","30,777","14,718","10,109"
TRAFFIC COUNT AT BEAVER MEADOWS,2000,"11,311","12,370","14,060","15,251","34,973","72,143","103,420","86,882","68,782","44,676","16,774","13,452"
TRAFFIC COUNT AT BEAVER MEADOWS,1999,"10,801","11,740","14,052","10,303","31,764","71,409","104,438","93,667","70,525","43,186","16,076","11,161"
TRAFFIC COUNT AT BEAVER MEADOWS,1998,"10,270","9,415","12,699","12,364","34,525","71,767","105,014","97,476","72,952","38,830","12,888","9,330"
TRAFFIC COUNT AT BEAVER MEADOWS,1997,"9,971","10,175","15,608","10,172","33,757","73,098","104,448","98,672","73,952","34,420","12,963","10,184"
TRAFFIC COUNT AT BEAVER MEADOWS,1996,"7,780","10,066","12,087","12,523","30,348","68,994","100,698","99,191","71,727","33,490","11,541","10,608"
TRAFFIC COUNT AT FALL RIVER,2020,"10,210","8,263","6,463",0,"2,727","32,907","44,786","39,567","41,050","25,962",,
TRAFFIC COUNT AT FALL RIVER,2019,"11,636","7,516","13,159","14,710","25,696","54,435","76,135","65,726","75,771","39,722","11,186","10,400"
TRAFFIC COUNT AT FALL RIVER,2018,"9,412","7,360","15,491","12,372","28,276","55,555","71,988","63,651","80,410","32,385","10,969","5,506"
TRAFFIC COUNT AT FALL RIVER,2017,"7,532","7,678","12,687","13,813","24,557","55,457","68,558","58,909","64,026","34,731","14,109","10,954"
TRAFFIC COUNT AT FALL RIVER,2016,"8,793","8,172","11,258","12,125","25,156","57,224","72,961","60,887","68,351","37,792","12,949","9,190"
TRAFFIC COUNT AT FALL RIVER,2015,"7,684","6,425","12,497","11,880","22,802","46,936","64,947","58,664","64,688","40,197","9,415","7,501"
TRAFFIC COUNT AT FALL RIVER,2014,"5,853","5,853","8,688","8,799","19,027","38,103","48,409","44,477","49,346","30,195","8,586","5,803"
TRAFFIC COUNT AT FALL RIVER,2013,"6,858","5,762","8,751","8,319","22,591","40,567","54,533","47,981","19,040","5,827","8,577","6,427"
TRAFFIC COUNT AT FALL RIVER,2012,"6,543","4,721","10,734","12,355","23,528","42,166","50,581","41,512","52,734","25,078","8,963","6,007"
TRAFFIC COUNT AT FALL RIVER,2011,"6,192","4,434","7,913","10,659","16,981","40,753","57,845","48,293","49,814","30,262","7,841","6,194"
TRAFFIC COUNT AT FALL RIVER,2010,"5,976","4,361","8,066","9,010","19,065","38,880","55,126","48,174","54,591","31,811","8,945","7,137"
TRAFFIC COUNT AT FALL RIVER,2009,"7,508","5,780","9,230","7,697","22,524","39,823","59,147","49,143","50,878","23,218","7,865","5,176"
TRAFFIC COUNT AT FALL RIVER,2008,"5,367","5,476","8,047","8,048","18,832","37,655","53,940","45,253","45,727","28,103","8,855","5,818"
TRAFFIC COUNT AT FALL RIVER,2007,"5,323","5,424","8,641","8,556","21,664","44,560","56,699","50,371","52,003","27,405","8,896","5,101"
TRAFFIC COUNT AT FALL RIVER,2006,"5,900","5,740","7,613","9,401","20,083","38,706","55,466","44,544","50,663","23,990","8,342","4,938"
TRAFFIC COUNT AT FALL RIVER,2005,"6,228","6,239","8,240","8,054","20,847","38,860","59,794","47,904","45,205","27,168","7,671","6,529"
TRAFFIC COUNT AT FALL RIVER,2004,"6,233","6,502","9,635","8,178","21,832","39,542","58,071","50,352","50,437","26,873","6,931","7,220"
TRAFFIC COUNT AT FALL RIVER,2003,"6,857","4,549","7,940","8,515","22,954","42,987","58,135","54,906","51,933","32,863","7,769","6,924"
TRAFFIC COUNT AT FALL RIVER,2002,"7,473","6,800","9,435","9,628","24,422","44,389","54,096","50,535","51,650","24,676","7,520","7,830"
TRAFFIC COUNT AT FALL RIVER,2001,"6,124","6,219","8,924","10,656","22,222","49,342","63,820","53,693","58,449","25,414","10,342","7,698"
TRAFFIC COUNT AT FALL RIVER,2000,"7,304","8,497","10,816","11,527","24,984","42,326","63,137","53,681","57,867","30,718","9,258","8,471"
TRAFFIC COUNT AT FALL RIVER,1999,"6,212","8,356","10,260","8,186","21,278","41,413","64,191","58,421","50,428","26,454","13,528","9,314"
TRAFFIC COUNT AT FALL RIVER,1998,"6,462","7,432","9,377","9,468","24,422","41,661","59,496","55,439","47,775","30,017","9,293","7,215"
TRAFFIC COUNT AT FALL RIVER,1997,"6,566","6,198","11,491","7,725","20,778","40,934","55,966","53,445","42,055","29,584","8,422","6,289"
TRAFFIC COUNT AT FALL RIVER,1996,"7,742","8,053","9,639","10,955","20,837","43,761","58,933","60,278","46,459","24,869","9,114","8,143"
