Name,Textbox3
Sequoia NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2020,"11,347","11,401","5,150",0,0,"19,214","26,621","25,596","10,604","12,572",,
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2019,"8,268","9,199","15,409","19,303","20,323","20,924","24,261","23,488","21,216","18,376","14,240","11,609"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2018,"11,724","11,923","15,445","18,585","21,448","20,854","23,898","21,938","19,678","16,757","12,245","16,239"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2017,"9,771","8,645","15,000","21,799","22,750","25,035","29,371","27,229","24,334","18,745","14,561","12,597"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2016,"14,400","12,892","18,094","17,831","21,980","23,477","27,636","24,856","22,523","18,346","13,784","11,632"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2015,"9,403","8,806","13,720","20,493","27,826","32,782","42,685","36,735","28,872","18,455","14,865","14,447"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2014,"7,217","7,726","10,931","15,880","15,728","22,286","25,091","29,164","19,975","14,839","11,627","9,766"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2013,"6,982","5,948","10,056","12,084","16,500","18,967","22,171","20,926","17,114","5,500","9,443","7,411"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2012,"6,601","6,462","7,802","11,895","15,716","18,043","23,041","21,154","15,909","11,069","7,267","6,677"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2011,"6,647","5,193","6,859","12,354","14,969","17,303","22,118","22,053","15,183","11,230","7,509","6,282"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2010,"7,147","5,464","8,786","11,737","16,118","19,439","25,132","20,430","17,738","11,691","8,172","5,965"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2009,"6,051","5,731","7,763","11,594","16,060","17,387","21,873","20,981","14,808","11,489","7,241","6,796"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2008,"5,882","6,003","8,968","9,737","13,370","15,232","18,981","20,324","13,005","10,511","7,114","6,081"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2007,"5,894","5,332","7,732","10,306","13,064","15,650","19,103","18,863","13,367","9,642","6,929","6,403"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2006,"6,609","6,270","8,084","10,576","13,511","16,219","20,762","20,320","13,853","15,942","5,518","6,111"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2005,"10,391","9,143","13,385","10,103","15,890","18,071","25,258","24,234","14,742","9,983","7,184","5,891"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2004,"11,827","10,861","12,980","17,282","23,275","25,577","42,246","31,463","22,251","15,606","10,740","9,395"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2003,"11,744","9,095","12,020","15,345","22,053","25,978","32,612","34,437","21,008","17,828","10,780","10,828"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2002,"5,560","6,390","9,163","10,393","15,426","19,081","23,849","30,848","21,250","16,482","11,920","11,788"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2001,"6,201","6,174","7,476","10,917","15,660","19,798","24,929","26,584","16,372","9,698","7,377","5,351"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),2000,"5,392","6,109","8,122","11,440","17,336","20,082","27,512","21,525","15,752","10,391","6,998","5,477"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),1999,"5,948","5,847","7,171","9,961","16,838","17,193","26,421","26,524","18,613","13,141","7,738","5,230"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),1998,"6,185","6,211","7,612","10,521","15,447","18,550","24,592","27,352","19,106","11,924","6,900","5,349"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),1997,"4,831","5,502","9,707","10,790","17,638","19,728","25,258","26,473","16,250","11,886","7,462","5,592"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),1996,"7,735","5,899","9,744","11,769","17,792","19,405","25,003","27,269","17,504","11,894","7,363","6,340"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),1995,"6,607","6,515","7,403","12,267","16,668","21,437","28,931","28,505","11,943","13,046","7,735","3,783"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),1994,"5,000","5,000","6,000","6,500","14,000","20,000","30,000","28,000","20,000","14,000","5,000","5,000"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),1993,"6,946","6,429","7,721","14,500","19,151","22,052","30,011","30,389","21,756","13,709","7,000","5,000"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 1),1992,"7,407","7,212","8,669","13,735","21,155","22,294","29,877","31,143","24,222","14,310","8,343","6,510"
TRAFFIC COUNT AT ASH MOUNTAIN ENTRANCE (Lane 2),2020,"3,925","4,181",0,0,0,0,"15,620","13,898","3,610","2,646",,
