Name,Textbox3
Shenandoah NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,2020,"3,247","5,197","15,001","1,856","9,331","22,654","26,682","22,945","23,033","47,092","16,943",
TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,2019,"3,163","1,763","4,427","13,948","18,324","18,773","14,474","18,658","22,814","31,431","17,142","3,136"
TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,2018,"3,329","2,856","5,217","12,313","15,744","16,327","19,620","18,008","13,777","26,327","16,474","3,033"
TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,2017,"3,169","6,137","5,816","15,408","16,449","18,340","21,226","20,224","18,485","32,876","16,341","3,533"
TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,2016,"2,414","2,750","7,418","12,027","15,955","17,013","21,651","19,301","19,041","38,682","19,341","3,623"
TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,2015,"1,265","1,206","4,274","12,738","19,970","14,947","18,156","21,197","17,236","39,817","11,628","3,731"
TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,2014,830,"1,081","3,657","11,938","17,950","17,033","19,810","19,938","16,722","37,255","9,054","2,393"
TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,2013,"1,724","1,260","4,009","17,145","14,986","16,130","18,773","18,959","17,739","17,711","14,173","1,838"
TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,2012,"2,497","2,365","6,597","11,685","16,361","16,892","17,032","16,107","17,381","34,591","7,461","1,853"
TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,2011,"1,583","1,908","4,870","10,550","15,103","15,109","20,312","15,214","13,934","34,285","11,747","2,613"
TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,2010,393,77,"5,257","12,729","17,277","15,983","21,431","18,649","18,033","40,618","11,026",887
TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,2009,"2,321","2,838","4,538","10,493","15,911","14,978","20,809","18,710","16,652","31,094","9,993",655
TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,2008,"2,450","2,099","6,092","8,585","15,373","15,032","17,120","19,077","12,504","31,663","13,928","2,237"
TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,2007,"2,840",776,"4,700","9,993","16,283","16,223","20,319","16,350","18,523","29,391","13,871","2,045"
TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,2006,"2,564","2,251","5,397","11,143","15,304","14,440","19,119","17,334","15,158","34,258","10,071","3,303"
TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,2005,"2,106","2,119","3,855","9,500","15,794","15,801","19,181","15,165","14,430","22,596","16,648",547
TRAFFIC COUNT AT FRONT ROYAL ENTRANCE,2004,"1,488","2,887","5,006","14,500","22,000","19,408","18,782","17,780","14,267","34,116","8,248","2,347"
