Name,Textbox3
Theodore Roosevelt NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT PAINTED CANYON REST AREA,2020,0,0,0,0,0,"20,960","16,977","16,977","10,613","7,846",,
TRAFFIC COUNT AT PAINTED CANYON REST AREA,2019,0,0,0,0,"15,586","24,670","25,652","20,467","18,506","7,131",0,0
TRAFFIC COUNT AT PAINTED CANYON REST AREA,2018,0,0,0,0,"15,985","23,012","30,857","26,024","18,563","8,113",0,0
TRAFFIC COUNT AT PAINTED CANYON REST AREA,2017,0,0,0,0,"18,222","17,600","29,205","31,291","15,701","9,417",0,0
TRAFFIC COUNT AT PAINTED CANYON REST AREA,2016,0,0,0,0,"14,426","22,213","30,099","25,621","18,855","18,714",0,0
TRAFFIC COUNT AT PAINTED CANYON REST AREA,2015,0,0,0,0,"5,491","18,876","22,257","20,034","13,109","17,013",0,0
TRAFFIC COUNT AT PAINTED CANYON REST AREA,2014,0,0,0,0,"12,051","18,983","21,648","19,584","12,956","7,726",327,0
TRAFFIC COUNT AT PAINTED CANYON REST AREA,2013,0,0,0,0,"3,763","17,485","23,496","20,017","11,053","6,533",0,0
TRAFFIC COUNT AT PAINTED CANYON REST AREA,2012,0,0,0,"7,492","11,423","17,893","21,996","20,460","11,686","13,456","2,987",0
TRAFFIC COUNT AT PAINTED CANYON REST AREA,2011,0,0,0,"4,979","12,182","15,728","21,883","20,643","11,987","12,569","2,464",0
TRAFFIC COUNT AT PAINTED CANYON REST AREA,2010,0,0,0,"9,985","16,980","24,290","22,230","19,466","11,469","19,743","2,568",0
TRAFFIC COUNT AT PAINTED CANYON REST AREA,2009,0,0,0,"8,014","16,966","17,909","25,611","20,632","12,251","17,622","2,507",0
TRAFFIC COUNT AT PAINTED CANYON REST AREA,2008,0,0,0,"10,275","11,782","15,710","22,107","18,098","8,751","21,675","1,914",0
TRAFFIC COUNT AT PAINTED CANYON REST AREA,2007,0,0,0,"4,664","8,905","16,874","22,532","21,285","12,006","8,672",709,0
