Name,Textbox3
Wind Cave NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT HIGHWAY 385 SOUTH (COUNTER #5),2020,"9,950","8,538","8,635","8,958","11,267","14,386","22,324","18,886","19,609","12,508","8,190",
TRAFFIC COUNT AT HIGHWAY 385 SOUTH (COUNTER #5),2019,"8,500",654,"12,618","18,124","15,803","34,182","36,194","22,675","16,545","12,749","7,995","8,120"
TRAFFIC COUNT AT HIGHWAY 385 SOUTH (COUNTER #5),2018,"8,854","11,488","14,672","12,586","14,994","31,946","33,826","31,911","24,230","17,378","11,505","8,452"
TRAFFIC COUNT AT HIGHWAY 385 SOUTH (COUNTER #5),2017,"8,854","11,488","14,672","12,586","14,994","31,946","31,911","26,813","23,755","16,031","11,740","8,841"
TRAFFIC COUNT AT HIGHWAY 385 SOUTH (COUNTER #5),2016,"7,975","10,131","14,279","12,610","16,873","29,369","31,911","26,813","23,755","16,031","11,740","8,841"
TRAFFIC COUNT AT HIGHWAY 385 SOUTH (COUNTER #5),2015,"19,409","11,352","12,432","13,048","24,712","31,237","31,500","25,000","22,935","14,033","10,875","8,607"
TRAFFIC COUNT AT HIGHWAY 385 SOUTH (COUNTER #5),2014,"8,705","4,269","9,835","11,556","12,169","31,237","31,574","23,325","22,935","14,483","5,995","9,500"
TRAFFIC COUNT AT HIGHWAY 385 SOUTH (COUNTER #5),2013,"7,920","8,497","9,504","11,833","16,172","34,030","17,781","22,740","21,500","7,000","9,500","9,500"
TRAFFIC COUNT AT HIGHWAY 385 SOUTH (COUNTER #5),2012,"9,592","8,167","10,275","10,278","18,377","23,192","29,186","25,226","21,216","10,826","9,095","9,654"
TRAFFIC COUNT AT HIGHWAY 385 SOUTH (COUNTER #5),2011,"7,963","5,290","12,200","9,778","13,033","23,500","26,499","26,499","18,365","12,450","11,013","7,809"
