Name,Textbox3
Yellowstone NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT EAST GATE,2020,0,0,0,0,"8,490","27,724","43,432","41,329","33,634","12,182",0,
TRAFFIC COUNT AT EAST GATE,2019,0,0,0,0,"18,801","34,648","42,513","36,209","29,618","6,473",181,0
TRAFFIC COUNT AT EAST GATE,2018,0,0,0,0,"21,220","37,213","44,370","37,559","33,889","6,280",21,0
TRAFFIC COUNT AT EAST GATE,2017,0,0,0,0,"18,050","40,951","49,506","43,342","25,808","8,018",32,0
TRAFFIC COUNT AT EAST GATE,2016,0,0,0,0,"19,711","40,217","49,411","41,213","33,982","9,334",980,0
TRAFFIC COUNT AT EAST GATE,2015,0,0,0,0,"19,845","37,881","48,656","42,820","30,552","11,609",170,0
TRAFFIC COUNT AT EAST GATE,2014,0,0,0,0,"16,138","34,279","43,935","39,096","25,734","9,544",328,0
TRAFFIC COUNT AT EAST GATE,2013,0,0,0,0,"15,586","33,771","43,159","37,500","26,102","2,396",358,0
TRAFFIC COUNT AT EAST GATE,2012,0,0,0,0,"12,682","32,156","42,738","36,552","26,820","7,874",537,0
TRAFFIC COUNT AT EAST GATE,2011,0,0,0,0,"3,514","29,730","42,144","35,601","25,941","7,600",265,0
TRAFFIC COUNT AT EAST GATE,2010,0,0,0,0,"10,877","35,118","47,636","40,917","28,531","9,206",900,0
TRAFFIC COUNT AT EAST GATE,2009,0,0,0,0,"14,579","31,672","43,746","38,288","24,170","4,498",124,0
TRAFFIC COUNT AT EAST GATE,2008,0,0,0,0,"11,904","26,624","37,612","32,525","22,445","6,876",272,0
TRAFFIC COUNT AT EAST GATE,2007,0,0,0,0,"11,732","27,305","36,362","28,905","23,720","6,577",481,0
TRAFFIC COUNT AT EAST GATE,2006,0,0,0,0,"11,752","20,324","26,491","28,071","19,611","6,028",436,0
TRAFFIC COUNT AT EAST GATE,2005,0,0,0,0,"10,771","21,780","26,849","25,005","16,445","6,460",201,0
TRAFFIC COUNT AT EAST GATE,2004,0,0,0,0,"9,448","26,810","28,663","30,909","15,231",812,0,0
TRAFFIC COUNT AT EAST GATE,2003,0,0,0,0,"11,427","28,347","45,572","21,384","21,899","8,969",127,0
TRAFFIC COUNT AT EAST GATE,2002,0,0,0,0,"11,544","30,504","41,650","34,733","23,289","6,994",239,0
TRAFFIC COUNT AT EAST GATE,2001,0,0,0,0,"11,943","25,312","31,216","14,458","18,744","5,234",234,0
TRAFFIC COUNT AT EAST GATE,2000,0,0,0,0,"9,251","23,208","33,234","29,843","16,180","6,166",216,0
TRAFFIC COUNT AT EAST GATE,1999,0,0,0,0,"8,107","27,946","38,593","32,987","16,762",816,0,0
TRAFFIC COUNT AT EAST GATE,1998,0,0,0,0,"10,095","26,089","37,022","32,572","19,738","5,612",62,0
TRAFFIC COUNT AT EAST GATE,1997,0,0,0,0,"6,859","20,480","29,760","25,400","11,208","2,850",140,0
TRAFFIC COUNT AT EAST GATE,1996,0,0,0,0,"5,478","23,370","35,073","29,894","13,199","3,388",75,0
TRAFFIC COUNT AT EAST GATE,1995,0,0,0,0,"10,904","31,450","35,407","30,452","13,213","3,224",114,0
TRAFFIC COUNT AT EAST GATE,1994,0,0,0,702,"22,727","31,549","41,897","34,759","12,806",0,0,0
TRAFFIC COUNT AT EAST GATE,1993,0,0,0,0,"13,694","33,122","48,669","43,993","24,260","7,323",705,0
TRAFFIC COUNT AT EAST GATE,1992,0,0,0,"2,599","17,677","34,776","52,742","48,428","32,735","8,650",0,0
TRAFFIC COUNT AT EAST GATE,1991,,,,,,,,,,,,779
TRAFFIC COUNT AT NORTH GATE,2020,"6,581","9,251","12,385",0,"12,406","41,895","64,833","64,150","65,705","36,779",0,
TRAFFIC COUNT AT NORTH GATE,2019,"6,833","6,903","10,339","12,903","37,418","54,819","63,701","60,152","54,903","20,203","6,262","7,502"
TRAFFIC COUNT AT NORTH GATE,2018,"5,752","6,598","7,372","9,361","38,993","60,351","72,030","66,947","61,645","23,860","6,421","6,067"
TRAFFIC COUNT AT NORTH GATE,2017,"6,237","6,904","8,347","11,812","38,577","62,205","71,086","70,316","52,688","21,504","5,430","5,525"
TRAFFIC COUNT AT NORTH GATE,2016,"7,965","8,538","8,201","12,672","41,289","64,283","73,277","66,969","57,131","21,439","6,976","5,191"
TRAFFIC COUNT AT NORTH GATE,2015,"7,059","8,226","9,164","11,085","33,664","62,417","75,822","63,426","56,310","25,178","5,156","6,510"
TRAFFIC COUNT AT NORTH GATE,2014,"6,546","5,756","6,362","9,411","31,108","54,152","66,492","60,691","51,525","21,758","4,564","6,088"
TRAFFIC COUNT AT NORTH GATE,2013,"5,338","6,631","6,139","7,537","30,127","51,336","63,628","56,317","48,408","12,244","4,420","5,711"
TRAFFIC COUNT AT NORTH GATE,2012,"6,107","5,868","5,841","6,231","26,676","49,937","58,559","55,423","50,263","18,900","4,867","5,588"
TRAFFIC COUNT AT NORTH GATE,2011,"5,695","5,574","5,288","6,453","20,247","47,962","61,484","60,572","54,364","18,098","4,257","5,410"
TRAFFIC COUNT AT NORTH GATE,2010,"5,711","5,957","6,289","7,346","21,142","37,710","48,927","47,807","40,611","17,595","4,045","4,588"
TRAFFIC COUNT AT NORTH GATE,2009,"9,962","8,972","5,176","7,031","21,763","34,362","45,204","39,303","35,695","10,446","3,671","8,039"
TRAFFIC COUNT AT NORTH GATE,2008,"9,181","10,189","9,331","11,825","19,567","33,522","41,795","40,148","32,610","13,830","7,053","7,371"
TRAFFIC COUNT AT NORTH GATE,2007,"8,465","9,154","9,107","11,452","24,569","32,739","42,076","38,059","32,433","16,435","7,614","8,418"
TRAFFIC COUNT AT NORTH GATE,2006,"8,247","8,469","8,734","11,503","22,074","29,898","39,092","28,329","31,413","15,264","6,280","7,994"
TRAFFIC COUNT AT NORTH GATE,2005,"8,688","9,242","8,813","10,468","21,931","31,877","37,193","34,427","30,282","16,284","6,544","7,567"
TRAFFIC COUNT AT NORTH GATE,2004,"9,330","9,518","10,115","12,201","21,976","32,108","36,957","33,767","31,238","16,069","7,232","8,164"
TRAFFIC COUNT AT NORTH GATE,2003,"8,508","9,256","9,080","12,762","22,865","34,661","40,925","40,340","31,260","17,486","7,212","8,001"
TRAFFIC COUNT AT NORTH GATE,2002,"8,637","9,356","9,499","12,710","23,797","31,838","41,444","37,218","32,333","16,944","6,972","8,018"
TRAFFIC COUNT AT NORTH GATE,2001,"9,353","8,729","8,738","12,247","20,934","30,198","39,410","36,891","30,836","15,478","7,900","8,737"
TRAFFIC COUNT AT NORTH GATE,2000,"10,081","5,627","8,520","7,323","20,465","32,729","39,101","34,567","28,485","16,497","6,739","7,921"
TRAFFIC COUNT AT NORTH GATE,1999,"9,641","9,025","10,171","10,103","19,972","32,942","43,086","40,314","35,839","16,946","8,047","9,044"
TRAFFIC COUNT AT NORTH GATE,1998,"10,391","10,755","10,337","14,423","20,899","32,138","43,845","42,923","35,799","17,299","7,470","8,316"
TRAFFIC COUNT AT NORTH GATE,1997,"7,149","8,215","9,231","10,647","19,441","32,105","41,736","42,417","33,818","14,462","8,432","9,396"
TRAFFIC COUNT AT NORTH GATE,1996,"3,834","5,595","4,059","5,940","22,507","32,645","44,953","42,752","35,811","15,561","7,741","9,222"
TRAFFIC COUNT AT NORTH GATE,1995,"5,285","5,537","4,404","6,390","17,793","32,756","47,879","44,386","36,397","14,427","3,969","3,225"
TRAFFIC COUNT AT NORTH GATE,1994,"5,256","4,958","5,405","6,814","18,468","31,895","47,200","44,192","34,347","13,522","3,138","4,512"
TRAFFIC COUNT AT NORTH GATE,1993,"4,231","4,511","3,935","4,599","13,711","27,683","42,481","39,499","29,523","11,992","3,570","4,825"
TRAFFIC COUNT AT NORTH GATE,1992,"3,837","4,068","3,321","4,452","18,024","27,984","40,183","38,294","32,587","16,646","4,012","4,033"
TRAFFIC COUNT AT NORTH GATE,1991,,,,,,,,,,,,"2,867"
TRAFFIC COUNT AT NORTHEAST GATE,2020,0,0,0,0,"1,219","17,151","27,164","23,974","22,514","7,448",0,
TRAFFIC COUNT AT NORTHEAST GATE,2019,0,0,0,0,"8,630","21,362","27,731","25,555","20,884","4,078",0,0
TRAFFIC COUNT AT NORTHEAST GATE,2018,0,0,0,0,"8,051","20,285","23,857","21,364","21,282","5,433",0,0
TRAFFIC COUNT AT NORTHEAST GATE,2017,0,0,0,0,"10,091","20,710","25,100","23,828","17,168","4,625",0,0
TRAFFIC COUNT AT NORTHEAST GATE,2016,0,0,0,0,"9,681","21,809","26,082","23,480","17,903","5,027",0,0
TRAFFIC COUNT AT NORTHEAST GATE,2015,0,0,0,0,"8,719","20,366","26,221","25,285","18,991","5,106",0,0
TRAFFIC COUNT AT NORTHEAST GATE,2014,0,0,0,0,"8,264","17,552","24,262","22,461","16,817","4,495",0,0
TRAFFIC COUNT AT NORTHEAST GATE,2013,0,0,0,0,"6,499","17,522","23,159","22,046","16,525","1,148",24,0
TRAFFIC COUNT AT NORTHEAST GATE,2012,0,0,0,0,"6,452","16,003","23,504","22,598","17,719","4,425",0,0
TRAFFIC COUNT AT NORTHEAST GATE,2011,0,0,0,0,"5,958","12,753","22,863","22,100","17,352","5,101",0,0
TRAFFIC COUNT AT NORTHEAST GATE,2010,0,0,0,0,"6,183","16,320","23,716","22,750","16,601","4,997",0,0
