Name,Textbox3
Zion NP,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Traffic%20Counts

GroupDescription,Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
TRAFFIC COUNT AT CANYON DRIVE,2020,0,0,0,0,0,0,0,0,0,0,,
TRAFFIC COUNT AT CANYON DRIVE,2019,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2018,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2017,"15,604","18,652","21,695","13,222",0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2016,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2015,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2014,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2013,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2012,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2011,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2010,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2009,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2008,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2007,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2006,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2005,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2004,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2003,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2002,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2001,0,0,0,0,0,0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,2000,"16,087","18,842","28,187","47,516","48,784",0,0,0,0,0,0,0
TRAFFIC COUNT AT CANYON DRIVE,1999,"16,087","14,956","23,485","44,800","49,749","72,288","74,312","65,800","53,300","60,110","32,011","19,174"
TRAFFIC COUNT AT CANYON DRIVE,1998,"8,470","14,090","25,304","34,509","52,400","57,500","57,700","65,758","53,264","50,601","20,999","11,056"
TRAFFIC COUNT AT CANYON DRIVE,1997,"8,470","14,090","25,304","41,509","45,813","48,291","52,363","66,350","58,598","49,359","17,552","5,800"
TRAFFIC COUNT AT CANYON DRIVE,1996,"8,058","13,678","22,704","37,045","43,592","49,903","53,251","71,696","60,132","48,000","17,552","5,800"
TRAFFIC COUNT AT CANYON DRIVE,1995,"7,646","13,196","21,680","17,140","2,165","58,958","68,074","87,761","52,351","20,265","17,552","5,024"
TRAFFIC COUNT AT CANYON DRIVE,1994,"8,341","8,677","18,337","32,917","39,198","53,352","50,787","54,604","49,998","36,100","14,416","6,652"
TRAFFIC COUNT AT CANYON DRIVE,1993,"6,093","8,619","18,177","36,852","42,473","47,746","54,934","57,492","51,885","36,100","15,121","5,838"
TRAFFIC COUNT AT CANYON DRIVE,1992,"6,179","10,211","12,253","33,920","35,052","46,378","49,493","52,374","45,183","36,016","14,001","5,406"
TRAFFIC COUNT AT CANYON DRIVE,1991,"7,243","10,510","13,841","22,015","36,517","52,581","63,444","62,283","55,916","45,238","11,214","5,658"
TRAFFIC COUNT AT EAST ENTRANCE,2020,"9,924","11,267","17,400","5,612","20,920","35,479","40,999","37,154","47,517","47,600",,
TRAFFIC COUNT AT EAST ENTRANCE,2019,"9,265","8,216","17,030","19,375","46,110","47,365","47,206","43,265","46,395","41,956","18,949","13,708"
TRAFFIC COUNT AT EAST ENTRANCE,2018,"9,942","10,864","28,036","37,878","50,475","48,334","46,189","42,133","46,176","39,514","19,942","13,664"
TRAFFIC COUNT AT EAST ENTRANCE,2017,"8,365","10,122","28,842","45,766","50,058","49,835","51,639","50,539","46,958","40,030","20,570","13,872"
TRAFFIC COUNT AT EAST ENTRANCE,2016,"8,544","10,690","29,056","35,831","47,170","48,971","50,713","42,263","47,400","42,841","22,024","11,204"
TRAFFIC COUNT AT EAST ENTRANCE,2015,"7,539","9,653","22,976","38,318","45,439","46,753","49,643","46,254","43,719","36,126","16,463","10,245"
TRAFFIC COUNT AT EAST ENTRANCE,2014,"6,794","5,186","17,833","27,467","42,933","40,842","41,124","35,720","39,311","33,430","15,582","14,287"
TRAFFIC COUNT AT EAST ENTRANCE,2013,"5,340","5,998","17,075","27,714","34,211","35,239","38,550","34,153","37,371","25,282","12,590","9,378"
TRAFFIC COUNT AT EAST ENTRANCE,2012,"7,372","7,091","12,171","27,837","37,401","36,654","40,676","38,876","38,131","27,859","12,486","7,181"
TRAFFIC COUNT AT EAST ENTRANCE,2011,"5,849","6,894","15,095","19,825","32,943","37,819","38,424","35,442","29,486","23,391","11,870","8,644"
TRAFFIC COUNT AT EAST ENTRANCE,2010,"5,186","5,098","15,095","22,653","30,939","19,998","31,957","29,130","29,486","20,468","8,997","6,288"
TRAFFIC COUNT AT EAST ENTRANCE,2009,"5,983","7,022","13,861","22,218","28,713","31,236","37,217","36,804","26,382","21,982","12,349","6,287"
TRAFFIC COUNT AT EAST ENTRANCE,2008,"5,983","6,216","16,327","21,123","32,809","33,099","36,389","34,203","31,489","24,539","11,179","4,982"
TRAFFIC COUNT AT EAST ENTRANCE,2007,"10,056","7,367","15,103","23,203","30,120","33,009","31,236","33,364","31,489","26,526","12,937","7,069"
TRAFFIC COUNT AT EAST ENTRANCE,2006,"10,056","7,367","12,491","22,453","27,297","30,519","33,565","31,472","29,706","23,251","11,014","6,629"
TRAFFIC COUNT AT EAST ENTRANCE,2005,"5,441","5,797","14,974","19,007","29,412","31,288","31,937","33,334","28,950","23,958","10,216","7,170"
TRAFFIC COUNT AT EAST ENTRANCE,2004,"6,313","6,008","13,090","20,995","27,823","29,820","28,873","31,347","30,015","22,935","9,012","6,240"
TRAFFIC COUNT AT EAST ENTRANCE,2003,"6,460","6,212","11,522","17,430","20,586","29,156","30,259","29,203","25,644","23,834","10,057","7,004"
TRAFFIC COUNT AT EAST ENTRANCE,2002,"5,626","6,819","12,295","18,716","25,441","28,940","28,854","22,622","26,740","22,900","9,715","6,977"
TRAFFIC COUNT AT EAST ENTRANCE,2001,"6,793","4,550","6,959","18,318","22,444","29,000","30,334","32,000","25,540","21,888","10,903","5,948"
TRAFFIC COUNT AT EAST ENTRANCE,2000,"7,674","6,787","10,357","18,232","25,315","32,014","33,079","33,789","28,949","23,233","10,295","5,948"
TRAFFIC COUNT AT EAST ENTRANCE,1999,"7,585","6,165","7,554","19,344","21,681","16,885","34,820","39,040","35,345","27,094","11,787","6,270"
TRAFFIC COUNT AT EAST ENTRANCE,1998,"6,787","6,160","8,584","18,414","25,812","33,274","34,068","37,573","31,897","22,820","11,235","6,314"
TRAFFIC COUNT AT EAST ENTRANCE,1997,"6,975","6,397","10,634","20,019","26,540","32,106","32,194","39,544","36,619","26,524","8,538","5,764"
TRAFFIC COUNT AT EAST ENTRANCE,1996,"6,840","6,105","10,112","21,175","26,546","33,391","33,421","40,393","36,402","27,251","10,912","6,604"
TRAFFIC COUNT AT EAST ENTRANCE,1995,"5,819","6,098","10,117","16,059","25,884","32,358","38,658","41,256","36,768","24,377","12,454","6,176"
TRAFFIC COUNT AT EAST ENTRANCE,1994,"6,011","5,102","9,410","18,113","23,519","32,414","34,482","41,109","33,138","26,189","8,544","4,535"
TRAFFIC COUNT AT EAST ENTRANCE,1993,"6,024","4,689","9,994","21,339","26,644","37,480","40,160","44,073","29,833","26,829","10,643","5,741"
TRAFFIC COUNT AT EAST ENTRANCE,1992,"5,371","6,538","8,431","13,759","22,958","32,849","36,382","39,638","33,624","24,465","10,594","5,731"
TRAFFIC COUNT AT EAST ENTRANCE,1991,"6,166","7,803","10,008","14,111","25,061","36,945","36,690","36,054","31,679","25,641","8,523","3,428"
TRAFFIC COUNT AT KOLOB CANYON,2020,"3,135","3,740","7,341","1,966",395,0,0,"5,822","32,620","34,820",,
TRAFFIC COUNT AT KOLOB CANYON,2019,0,0,"8,907","13,959","13,076","11,881","9,718","8,535","10,801","10,660","5,654","3,203"
TRAFFIC COUNT AT KOLOB CANYON,2018,"6,939","4,536","10,633","12,081",0,0,0,0,0,0,0,0
TRAFFIC COUNT AT KOLOB CANYON,2017,"3,675","3,778","8,594","12,722","13,852","1,582","11,578","10,412","12,245","12,122","7,080","4,490"
TRAFFIC COUNT AT KOLOB CANYON,2016,"3,716","4,606","8,953","9,879","12,365","11,189","10,746","11,066","12,164","10,492","5,847","3,954"
TRAFFIC COUNT AT KOLOB CANYON,2015,"3,127","4,857","7,131","9,833","11,480","9,898","9,934","9,273","10,358","9,387","4,805","3,707"
TRAFFIC COUNT AT KOLOB CANYON,2014,"2,693","3,030","7,208","8,956","21,094","11,189","9,858","9,360","9,210","9,504","4,993","2,728"
TRAFFIC COUNT AT KOLOB CANYON,2013,"3,108","2,444","5,692","7,055","8,927","8,256","7,769","7,708","8,792","7,978","5,608","3,581"
TRAFFIC COUNT AT KOLOB CANYON,2012,"2,348","2,364","4,601","6,747","8,985","7,353","7,380","7,161","7,851","8,136","3,959","2,471"
TRAFFIC COUNT AT KOLOB CANYON,2011,"2,089","2,161","3,995","6,623","8,277","13,564","8,112","7,150","7,837","7,675","3,386","2,325"
TRAFFIC COUNT AT KOLOB CANYON,2010,"2,324","2,315","4,810","6,819","9,048","9,127","8,937","7,958","8,569","7,308","3,405","2,008"
TRAFFIC COUNT AT KOLOB CANYON,2009,"2,300","2,318","5,103","6,101","9,774","9,741","8,362","8,174","7,996","7,561","3,824","2,328"
TRAFFIC COUNT AT KOLOB CANYON,2008,"1,916","1,643","5,300","6,086","8,185","6,977","7,185","7,130","7,049","7,156","3,430","2,658"
TRAFFIC COUNT AT KOLOB CANYON,2007,"2,140","2,545","5,161","12,230","7,467","7,690","6,971","6,914","7,626","7,460","3,279","1,763"
TRAFFIC COUNT AT KOLOB CANYON,2006,"2,410","2,561","3,984","6,444","7,471","7,073","7,477","12,920","7,478","6,850","4,598","2,353"
TRAFFIC COUNT AT KOLOB CANYON,2005,"4,132","3,862","6,610","5,300","7,198","7,801","7,436","6,522","6,654","5,961","3,237","2,192"
TRAFFIC COUNT AT KOLOB CANYON,2004,"3,148","8,363","13,445","19,816","14,294","9,008","12,279","9,766","18,242","7,116","4,027","4,586"
TRAFFIC COUNT AT KOLOB CANYON,2003,"2,705","2,525","4,701","5,769","7,652","7,533","8,431","6,330","14,465","7,750","6,136","2,799"
TRAFFIC COUNT AT KOLOB CANYON,2002,"1,758","3,046","4,721","4,521","6,943","6,685","7,184","7,098","8,582","6,363","3,651","2,545"
TRAFFIC COUNT AT KOLOB CANYON,2001,"2,842","2,524","3,593","5,697","6,492","7,067","7,910","7,268","6,274","5,473","3,711","1,796"
TRAFFIC COUNT AT KOLOB CANYON,2000,"2,860","2,779","4,297","6,684","7,115","7,933","7,468","7,234","6,865","6,848","3,111","1,784"
TRAFFIC COUNT AT KOLOB CANYON,1999,"3,366","2,818","4,864","6,629","7,400","9,251","8,504","8,917","8,560","7,768","3,986","2,422"
